‾	Überstrich
👂🏾	Körperteil, Ohr, Ohr: mitteldunkle Hautfarbe, hören, mitteldunkle Hautfarbe
👂🏿	Körperteil, Ohr, Ohr: dunkle Hautfarbe, dunkle Hautfarbe, hören
🦻	Barrierefreiheit, Hilfsgerät, Hörgerät, Hörhilfe, Ohr, Ohr mit Hörgerät, gehörlos, schwerhörig, taub
🦻🏻	Barrierefreiheit, Hilfsgerät, Hörgerät, Hörhilfe, Ohr, Ohr mit Hörgerät: helle Hautfarbe, gehörlos, helle Hautfarbe, schwerhörig, taub
🦻🏼	Barrierefreiheit, Hilfsgerät, Hörgerät, Hörhilfe, Ohr, Ohr mit Hörgerät: mittelhelle Hautfarbe, gehörlos, mittelhelle Hautfarbe, schwerhörig, taub
🦻🏽	Barrierefreiheit, Hilfsgerät, Hörgerät, Hörhilfe, Ohr, Ohr mit Hörgerät: mittlere Hautfarbe, gehörlos, mittlere Hautfarbe, schwerhörig, taub
🦻🏾	Barrierefreiheit, Hilfsgerät, Hörgerät, Hörhilfe, Ohr, Ohr mit Hörgerät: mitteldunkle Hautfarbe, gehörlos, mitteldunkle Hautfarbe, schwerhörig, taub
🦻🏿	Barrierefreiheit, Hilfsgerät, Hörgerät, Hörhilfe, Ohr, Ohr mit Hörgerät: dunkle Hautfarbe, dunkle Hautfarbe, gehörlos, schwerhörig, taub
👃	Körperteil, Nase, riechen
👃🏻	Körperteil, Nase, Nase: helle Hautfarbe, helle Hautfarbe, riechen
👃🏼	Körperteil, Nase, Nase: mittelhelle Hautfarbe, mittelhelle Hautfarbe, riechen
👃🏽	Körperteil, Nase, Nase: mittlere Hautfarbe, mittlere Hautfarbe, riechen
👃🏾	Körperteil, Nase, Nase: mitteldunkle Hautfarbe, mitteldunkle Hautfarbe, riechen
👃🏿	Körperteil, Nase, Nase: dunkle Hautfarbe, dunkle Hautfarbe, riechen
🧠	Gehirn, Hirn, Intelligenz, intelligent, klug, schlau
🫀	Anatomie, Herz, Herz (Organ), Herzschlag, Körper, Körperteil, Mensch, Organ, Puls, schlagen
🫁	Atem, Körper, Körperteil, Lunge, Lungenflügel, Mensch, Organ, atmen, ausatmen, einatmen
🦷	Zahn, Zahnarzt, Zahnärztin, Zähne, perlweiß, weiß
🦴	Hund, Hundeknochen, Kauknochen, Knochen, Skelett
👀	Auge, Augen, Gesicht, gucken, schauen, sehen
👁️	Auge, Blick, Körper, Körperteil, schauen, sehen
👅	Körperteil, Zunge, hmm, lecken, lecker, mmh, ätsch
👄	Kuss, Körperteil, Lippen, Lippenstift, Mund
🫦	Angst, Kuss, Lippenstift, Mund, Zähne, auf Lippe beißen, beißen, besorgt, flirten, flirtend, nervös, sexy, unbehaglich, ängstlich
👶	Baby, Gesicht, Kind, Kleinkind, Locke, jung
👶🏻	Baby, Baby: helle Hautfarbe, Gesicht, Kind, Kleinkind, Locke, helle Hautfarbe, jung
👶🏼	Baby, Baby: mittelhelle Hautfarbe, Gesicht, Kind, Kleinkind, Locke, jung, mittelhelle Hautfarbe
👶🏽	Baby, Baby: mittlere Hautfarbe, Gesicht, Kind, Kleinkind, Locke, jung, mittlere Hautfarbe
👶🏾	Baby, Baby: mitteldunkle Hautfarbe, Gesicht, Kind, Kleinkind, Locke, jung, mitteldunkle Hautfarbe
👶🏿	Baby, Baby: dunkle Hautfarbe, Gesicht, Kind, Kleinkind, Locke, dunkle Hautfarbe, jung
🧒	Enkelkind, Kind, jung, jünger, munter, strahlend
🧒🏻	Enkelkind, Kind, Kind: helle Hautfarbe, helle Hautfarbe, jung, jünger, munter, strahlend
🧒🏼	Enkelkind, Kind, Kind: mittelhelle Hautfarbe, jung, jünger, mittelhelle Hautfarbe, munter, strahlend
🧒🏽	Enkelkind, Kind, Kind: mittlere Hautfarbe, jung, jünger, mittlere Hautfarbe, munter, strahlend
🧒🏾	Enkelkind, Kind, Kind: mitteldunkle Hautfarbe, jung, jünger, mitteldunkle Hautfarbe, munter, strahlend
🧒🏿	Enkelkind, Kind, Kind: dunkle Hautfarbe, dunkle Hautfarbe, jung, jünger, munter, strahlend
👦	Enkelsohn, Gesicht, Junge, Kind, Sohn, jung, jünger, munter, strahlend
👦🏻	Enkelsohn, Gesicht, Junge, Junge: helle Hautfarbe, Kind, Sohn, helle Hautfarbe, jung, jünger, munter, strahlend
👦🏼	Enkelsohn, Gesicht, Junge, Junge: mittelhelle Hautfarbe, Kind, Sohn, jung, jünger, mittelhelle Hautfarbe, munter, strahlend
👦🏽	Enkelsohn, Gesicht, Junge, Junge: mittlere Hautfarbe, Kind, Sohn, jung, jünger, mittlere Hautfarbe, munter, strahlend
👦🏾	Enkelsohn, Gesicht, Junge, Junge: mitteldunkle Hautfarbe, Kind, Sohn, jung, jünger, mitteldunkle Hautfarbe, munter, strahlend
👦🏿	Enkelsohn, Gesicht, Junge, Junge: dunkle Hautfarbe, Kind, Sohn, dunkle Hautfarbe, jung, jünger, munter, strahlend
👧	Enkeltochter, Gesicht, Kind, Mädchen, Tochter, jung, jünger, munter, strahlend
👧🏻	Enkeltochter, Gesicht, Kind, Mädchen, Mädchen: helle Hautfarbe, Tochter, helle Hautfarbe, jung, jünger, munter, strahlend
👧🏼	Enkeltochter, Gesicht, Kind, Mädchen, Mädchen: mittelhelle Hautfarbe, Tochter, jung, jünger, mittelhelle Hautfarbe, munter, strahlend
👧🏽	Enkeltochter, Gesicht, Kind, Mädchen, Mädchen: mittlere Hautfarbe, Tochter, jung, jünger, mittlere Hautfarbe, munter, strahlend
👧🏾	Enkeltochter, Gesicht, Kind, Mädchen, Mädchen: mitteldunkle Hautfarbe, Tochter, jung, jünger, mitteldunkle Hautfarbe, munter, strahlend
👧🏿	Enkeltochter, Gesicht, Kind, Mädchen, Mädchen: dunkle Hautfarbe, Tochter, dunkle Hautfarbe, jung, jünger, munter, strahlend
🧑	Mensch, Person, erwachsen, erwachsene Person
🧑🏻	Mensch, Person, Person: helle Hautfarbe, erwachsen, erwachsene Person, helle Hautfarbe
🧑🏼	Mensch, Person, Person: mittelhelle Hautfarbe, erwachsen, erwachsene Person, mittelhelle Hautfarbe
🧑🏽	Mensch, Person, Person: mittlere Hautfarbe, erwachsen, erwachsene Person, mittlere Hautfarbe
🧑🏾	Mensch, Person, Person: mitteldunkle Hautfarbe, erwachsen, erwachsene Person, mitteldunkle Hautfarbe
🧑🏿	Mensch, Person, Person: dunkle Hautfarbe, dunkle Hautfarbe, erwachsen, erwachsene Person
👱	Gesicht, Mensch, Person, Person: blondes Haar, blond, blondhaarig
👱🏻	Gesicht, Mensch, Person, Person: helle Hautfarbe, blondes Haar, blond, blondes Haar, blondhaarig, helle Hautfarbe
👱🏼	Gesicht, Mensch, Person, Person: mittelhelle Hautfarbe, blondes Haar, blond, blondes Haar, blondhaarig, mittelhelle Hautfarbe
👱🏽	Gesicht, Mensch, Person, Person: mittlere Hautfarbe, blondes Haar, blond, blondes Haar, blondhaarig, mittlere Hautfarbe
👱🏾	Gesicht, Mensch, Person, Person: mitteldunkle Hautfarbe, blondes Haar, blond, blondes Haar, blondhaarig, mitteldunkle Hautfarbe
👱🏿	Gesicht, Mensch, Person, Person: dunkle Hautfarbe, blondes Haar, blond, blondes Haar, blondhaarig, dunkle Hautfarbe
🧑🏻‍❤‍💋‍🧑🏼	Frau, Herz, Kuss, Küssendes Paar, Mann, Person, helle Hautfarbe, küssen, mittelhelle Hautfarbe, sich küssendes Paar, sich küssendes Paar: Person, Person, helle Hautfarbe und mittelhelle Hautfarbe
🧑🏻‍❤‍💋‍🧑🏽	Frau, Herz, Kuss, Küssendes Paar, Mann, Person, helle Hautfarbe, küssen, mittlere Hautfarbe, sich küssendes Paar, sich küssendes Paar: Person, Person, helle Hautfarbe und mittlere Hautfarbe
🧑🏻‍❤‍💋‍🧑🏾	Frau, Herz, Kuss, Küssendes Paar, Mann, Person, helle Hautfarbe, küssen, mitteldunkle Hautfarbe, sich küssendes Paar, sich küssendes Paar: Person, Person, helle Hautfarbe und mitteldunkle Hautfarbe
🧑🏻‍❤‍💋‍🧑🏿	Frau, Herz, Kuss, Küssendes Paar, Mann, Person, dunkle Hautfarbe, helle Hautfarbe, küssen, sich küssendes Paar, sich küssendes Paar: Person, Person, helle Hautfarbe und dunkle Hautfarbe
🧑🏼‍❤‍💋‍🧑🏻	Frau, Herz, Kuss, Küssendes Paar, Mann, Person, helle Hautfarbe, küssen, mittelhelle Hautfarbe, sich küssendes Paar, sich küssendes Paar: Person, Person, mittelhelle Hautfarbe und helle Hautfarbe
🧑🏼‍❤‍💋‍🧑🏽	Frau, Herz, Kuss, Küssendes Paar, Mann, Person, küssen, mittelhelle Hautfarbe, mittlere Hautfarbe, sich küssendes Paar, sich küssendes Paar: Person, Person, mittelhelle Hautfarbe und mittlere Hautfarbe
🧑🏼‍❤‍💋‍🧑🏾	Frau, Herz, Kuss, Küssendes Paar, Mann, Person, küssen, mitteldunkle Hautfarbe, mittelhelle Hautfarbe, sich küssendes Paar, sich küssendes Paar: Person, Person, mittelhelle Hautfarbe und mitteldunkle Hautfarbe
🧑🏼‍❤‍💋‍🧑🏿	Frau, Herz, Kuss, Küssendes Paar, Mann, Person, dunkle Hautfarbe, küssen, mittelhelle Hautfarbe, sich küssendes Paar, sich küssendes Paar: Person, Person, mittelhelle Hautfarbe und dunkle Hautfarbe
🧑🏽‍❤‍💋‍🧑🏻	Frau, Herz, Kuss, Küssendes Paar, Mann, Person, helle Hautfarbe, küssen, mittlere Hautfarbe, sich küssendes Paar, sich küssendes Paar: Person, Person, mittlere Hautfarbe und helle Hautfarbe
🧑🏽‍❤‍💋‍🧑🏼	Frau, Herz, Kuss, Küssendes Paar, Mann, Person, küssen, mittelhelle Hautfarbe, mittlere Hautfarbe, sich küssendes Paar, sich küssendes Paar: Person, Person, mittlere Hautfarbe und mittelhelle Hautfarbe
🧑🏽‍❤‍💋‍🧑🏾	Frau, Herz, Kuss, Küssendes Paar, Mann, Person, küssen, mitteldunkle Hautfarbe, mittlere Hautfarbe, sich küssendes Paar, sich küssendes Paar: Person, Person, mittlere Hautfarbe und mitteldunkle Hautfarbe
🧑🏽‍❤‍💋‍🧑🏿	Frau, Herz, Kuss, Küssendes Paar, Mann, Person, dunkle Hautfarbe, küssen, mittlere Hautfarbe, sich küssendes Paar, sich küssendes Paar: Person, Person, mittlere Hautfarbe und dunkle Hautfarbe
🧑🏾‍❤‍💋‍🧑🏻	Frau, Herz, Kuss, Küssendes Paar, Mann, Person, helle Hautfarbe, küssen, mitteldunkle Hautfarbe, sich küssendes Paar, sich küssendes Paar: Person, Person, mitteldunkle Hautfarbe und helle Hautfarbe
🧑🏾‍❤‍💋‍🧑🏼	Frau, Herz, Kuss, Küssendes Paar, Mann, Person, küssen, mitteldunkle Hautfarbe, mittelhelle Hautfarbe, sich küssendes Paar, sich küssendes Paar: Person, Person, mitteldunkle Hautfarbe und mittelhelle Hautfarbe
🧑🏾‍❤‍💋‍🧑🏽	Frau, Herz, Kuss, Küssendes Paar, Mann, Person, küssen, mitteldunkle Hautfarbe, mittlere Hautfarbe, sich küssendes Paar, sich küssendes Paar: Person, Person, mitteldunkle Hautfarbe und mittlere Hautfarbe
🧑🏾‍❤‍💋‍🧑🏿	Frau, Herz, Kuss, Küssendes Paar, Mann, Person, dunkle Hautfarbe, küssen, mitteldunkle Hautfarbe, sich küssendes Paar, sich küssendes Paar: Person, Person, mitteldunkle Hautfarbe und dunkle Hautfarbe
🧑🏿‍❤‍💋‍🧑🏻	Frau, Herz, Kuss, Küssendes Paar, Mann, Person, dunkle Hautfarbe, helle Hautfarbe, küssen, sich küssendes Paar, sich küssendes Paar: Person, Person, dunkle Hautfarbe und helle Hautfarbe
🧑🏿‍❤‍💋‍🧑🏼	Frau, Herz, Kuss, Küssendes Paar, Mann, Person, dunkle Hautfarbe, küssen, mittelhelle Hautfarbe, sich küssendes Paar, sich küssendes Paar: Person, Person, dunkle Hautfarbe und mittelhelle Hautfarbe
🧑🏿‍❤‍💋‍🧑🏽	Frau, Herz, Kuss, Küssendes Paar, Mann, Person, dunkle Hautfarbe, küssen, mittlere Hautfarbe, sich küssendes Paar, sich küssendes Paar: Person, Person, dunkle Hautfarbe und mittlere Hautfarbe
🧑🏿‍❤‍💋‍🧑🏾	Frau, Herz, Kuss, Küssendes Paar, Mann, Person, dunkle Hautfarbe, küssen, mitteldunkle Hautfarbe, sich küssendes Paar, sich küssendes Paar: Person, Person, dunkle Hautfarbe und mitteldunkle Hautfarbe
🧑🏻‍❤‍🧑🏼	Frau, Herz, Liebe, Liebespaar, Liebespaar: Person, Person, helle Hautfarbe und mittelhelle Hautfarbe, Mann, Paar, Person, helle Hautfarbe, mittelhelle Hautfarbe
🧑🏻‍❤‍🧑🏽	Frau, Herz, Liebe, Liebespaar, Liebespaar: Person, Person, helle Hautfarbe und mittlere Hautfarbe, Mann, Paar, Person, helle Hautfarbe, mittlere Hautfarbe
🧑🏻‍❤‍🧑🏾	Frau, Herz, Liebe, Liebespaar, Liebespaar: Person, Person, helle Hautfarbe und mitteldunkle Hautfarbe, Mann, Paar, Person, helle Hautfarbe, mitteldunkle Hautfarbe
🧑🏻‍❤‍🧑🏿	Frau, Herz, Liebe, Liebespaar, Liebespaar: Person, Person, helle Hautfarbe und dunkle Hautfarbe, Mann, Paar, Person, dunkle Hautfarbe, helle Hautfarbe
🧑🏼‍❤‍🧑🏻	Frau, Herz, Liebe, Liebespaar, Liebespaar: Person, Person, mittelhelle Hautfarbe und helle Hautfarbe, Mann, Paar, Person, helle Hautfarbe, mittelhelle Hautfarbe
🧑🏼‍❤‍🧑🏽	Frau, Herz, Liebe, Liebespaar, Liebespaar: Person, Person, mittelhelle Hautfarbe und mittlere Hautfarbe, Mann, Paar, Person, mittelhelle Hautfarbe, mittlere Hautfarbe
🧑🏼‍❤‍🧑🏾	Frau, Herz, Liebe, Liebespaar, Liebespaar: Person, Person, mittelhelle Hautfarbe und mitteldunkle Hautfarbe, Mann, Paar, Person, mitteldunkle Hautfarbe, mittelhelle Hautfarbe
🧑🏼‍❤‍🧑🏿	Frau, Herz, Liebe, Liebespaar, Liebespaar: Person, Person, mittelhelle Hautfarbe und dunkle Hautfarbe, Mann, Paar, Person, dunkle Hautfarbe, mittelhelle Hautfarbe
🧑🏽‍❤‍🧑🏻	Frau, Herz, Liebe, Liebespaar, Liebespaar: Person, Person, mittlere Hautfarbe und helle Hautfarbe, Mann, Paar, Person, helle Hautfarbe, mittlere Hautfarbe
🧑🏽‍❤‍🧑🏼	Frau, Herz, Liebe, Liebespaar, Liebespaar: Person, Person, mittlere Hautfarbe und mittelhelle Hautfarbe, Mann, Paar, Person, mittelhelle Hautfarbe, mittlere Hautfarbe
🧑🏽‍❤‍🧑🏾	Frau, Herz, Liebe, Liebespaar, Liebespaar: Person, Person, mittlere Hautfarbe und mitteldunkle Hautfarbe, Mann, Paar, Person, mitteldunkle Hautfarbe, mittlere Hautfarbe
🧑🏽‍❤‍🧑🏿	Frau, Herz, Liebe, Liebespaar, Liebespaar: Person, Person, mittlere Hautfarbe und dunkle Hautfarbe, Mann, Paar, Person, dunkle Hautfarbe, mittlere Hautfarbe
🧑🏾‍❤‍🧑🏻	Frau, Herz, Liebe, Liebespaar, Liebespaar: Person, Person, mitteldunkle Hautfarbe und helle Hautfarbe, Mann, Paar, Person, helle Hautfarbe, mitteldunkle Hautfarbe
🧑🏾‍❤‍🧑🏼	Frau, Herz, Liebe, Liebespaar, Liebespaar: Person, Person, mitteldunkle Hautfarbe und mittelhelle Hautfarbe, Mann, Paar, Person, mitteldunkle Hautfarbe, mittelhelle Hautfarbe
🧑🏾‍❤‍🧑🏽	Frau, Herz, Liebe, Liebespaar, Liebespaar: Person, Person, mitteldunkle Hautfarbe und mittlere Hautfarbe, Mann, Paar, Person, mitteldunkle Hautfarbe, mittlere Hautfarbe
🧑🏾‍❤‍🧑🏿	Frau, Herz, Liebe, Liebespaar, Liebespaar: Person, Person, mitteldunkle Hautfarbe und dunkle Hautfarbe, Mann, Paar, Person, dunkle Hautfarbe, mitteldunkle Hautfarbe
🧑🏿‍❤‍🧑🏻	Frau, Herz, Liebe, Liebespaar, Liebespaar: Person, Person, dunkle Hautfarbe und helle Hautfarbe, Mann, Paar, Person, dunkle Hautfarbe, helle Hautfarbe
🧑🏿‍❤‍🧑🏼	Frau, Herz, Liebe, Liebespaar, Liebespaar: Person, Person, dunkle Hautfarbe und mittelhelle Hautfarbe, Mann, Paar, Person, dunkle Hautfarbe, mittelhelle Hautfarbe
🧑🏿‍❤‍🧑🏽	Frau, Herz, Liebe, Liebespaar, Liebespaar: Person, Person, dunkle Hautfarbe und mittlere Hautfarbe, Mann, Paar, Person, dunkle Hautfarbe, mittlere Hautfarbe
🧑🏿‍❤‍🧑🏾	Frau, Herz, Liebe, Liebespaar, Liebespaar: Person, Person, dunkle Hautfarbe und mitteldunkle Hautfarbe, Mann, Paar, Person, dunkle Hautfarbe, mitteldunkle Hautfarbe
🧑‍🦰	Mensch, Person, Person: rotes Haar, erwachsen, erwachsene Person, rotes Haar
🧑🏻‍🦰	Mensch, Person, Person: helle Hautfarbe, rotes Haar, erwachsen, erwachsene Person, helle Hautfarbe, rotes Haar
🧑🏼‍🦰	Mensch, Person, Person: mittelhelle Hautfarbe, rotes Haar, erwachsen, erwachsene Person, mittelhelle Hautfarbe, rotes Haar
🧑🏽‍🦰	Mensch, Person, Person: mittlere Hautfarbe, rotes Haar, erwachsen, erwachsene Person, mittlere Hautfarbe, rotes Haar
🧑🏾‍🦰	Mensch, Person, Person: mitteldunkle Hautfarbe, rotes Haar, erwachsen, erwachsene Person, mitteldunkle Hautfarbe, rotes Haar
🧑🏿‍🦰	Mensch, Person, Person: dunkle Hautfarbe, rotes Haar, dunkle Hautfarbe, erwachsen, erwachsene Person, rotes Haar
🧑‍🦱	Mensch, Person, Person: lockiges Haar, erwachsen, erwachsene Person, lockiges Haar
🧑🏻‍🦱	Mensch, Person, Person: helle Hautfarbe, lockiges Haar, erwachsen, erwachsene Person, helle Hautfarbe, lockiges Haar
🧑🏼‍🦱	Mensch, Person, Person: mittelhelle Hautfarbe, lockiges Haar, erwachsen, erwachsene Person, lockiges Haar, mittelhelle Hautfarbe
🧑🏽‍🦱	Mensch, Person, Person: mittlere Hautfarbe, lockiges Haar, erwachsen, erwachsene Person, lockiges Haar, mittlere Hautfarbe
🧑🏾‍🦱	Mensch, Person, Person: mitteldunkle Hautfarbe, lockiges Haar, erwachsen, erwachsene Person, lockiges Haar, mitteldunkle Hautfarbe
🧑🏿‍🦱	Mensch, Person, Person: dunkle Hautfarbe, lockiges Haar, dunkle Hautfarbe, erwachsen, erwachsene Person, lockiges Haar
🧑‍🦳	Mensch, Person, Person: weißes Haar, erwachsen, erwachsene Person, weißes Haar
🧑🏻‍🦳	Mensch, Person, Person: helle Hautfarbe, weißes Haar, erwachsen, erwachsene Person, helle Hautfarbe, weißes Haar
🧑🏼‍🦳	Mensch, Person, Person: mittelhelle Hautfarbe, weißes Haar, erwachsen, erwachsene Person, mittelhelle Hautfarbe, weißes Haar
🧑🏽‍🦳	Mensch, Person, Person: mittlere Hautfarbe, weißes Haar, erwachsen, erwachsene Person, mittlere Hautfarbe, weißes Haar
🧑🏾‍🦳	Mensch, Person, Person: mitteldunkle Hautfarbe, weißes Haar, erwachsen, erwachsene Person, mitteldunkle Hautfarbe, weißes Haar
🧑🏿‍🦳	Mensch, Person, Person: dunkle Hautfarbe, weißes Haar, dunkle Hautfarbe, erwachsen, erwachsene Person, weißes Haar
🧑‍🦲	Glatze, Mensch, Person, Person: Glatze, erwachsen, erwachsene Person
🧑🏻‍🦲	Glatze, Mensch, Person, Person: helle Hautfarbe, Glatze, erwachsen, erwachsene Person, helle Hautfarbe
🧑🏼‍🦲	Glatze, Mensch, Person, Person: mittelhelle Hautfarbe, Glatze, erwachsen, erwachsene Person, mittelhelle Hautfarbe
🧑🏽‍🦲	Glatze, Mensch, Person, Person: mittlere Hautfarbe, Glatze, erwachsen, erwachsene Person, mittlere Hautfarbe
🧑🏾‍🦲	Glatze, Mensch, Person, Person: mitteldunkle Hautfarbe, Glatze, erwachsen, erwachsene Person, mitteldunkle Hautfarbe
🧑🏿‍🦲	Glatze, Mensch, Person, Person: dunkle Hautfarbe, Glatze, dunkle Hautfarbe, erwachsen, erwachsene Person
👨	Gesicht, Mann, erwachsen
👨🏻	Gesicht, Mann, Mann: helle Hautfarbe, erwachsen, helle Hautfarbe
👨🏼	Gesicht, Mann, Mann: mittelhelle Hautfarbe, erwachsen, mittelhelle Hautfarbe
👨🏽	Gesicht, Mann, Mann: mittlere Hautfarbe, erwachsen, mittlere Hautfarbe
👨🏾	Gesicht, Mann, Mann: mitteldunkle Hautfarbe, erwachsen, mitteldunkle Hautfarbe
👨🏿	Gesicht, Mann, Mann: dunkle Hautfarbe, dunkle Hautfarbe, erwachsen
🧔	Bart, Person, Person: Bart, Schnurrbart, bärtig
🧔🏻	Bart, Person, Person: helle Hautfarbe, Bart, Schnurrbart, bärtig, helle Hautfarbe
🧔🏼	Bart, Person, Person: mittelhelle Hautfarbe, Bart, Schnurrbart, bärtig, mittelhelle Hautfarbe
🧔🏽	Bart, Person, Person: mittlere Hautfarbe, Bart, Schnurrbart, bärtig, mittlere Hautfarbe
🧔🏾	Bart, Person, Person: mitteldunkle Hautfarbe, Bart, Schnurrbart, bärtig, mitteldunkle Hautfarbe
🧔🏿	Bart, Person, Person: dunkle Hautfarbe, Bart, Schnurrbart, bärtig, dunkle Hautfarbe
🧔‍♂	Bart, Mann, Mann mit Bart, Mann: Bart
🧔🏻‍♂	Bart, Mann, Mann mit Bart, Mann: Bart, Mann: helle Hautfarbe, Bart, helle Hautfarbe
🧔🏼‍♂	Bart, Mann, Mann mit Bart, Mann: Bart, Mann: mittelhelle Hautfarbe, Bart, mittelhelle Hautfarbe
🧔🏽‍♂	Bart, Mann, Mann mit Bart, Mann: Bart, Mann: mittlere Hautfarbe, Bart, mittlere Hautfarbe
🧔🏾‍♂	Bart, Mann, Mann mit Bart, Mann: Bart, Mann: mitteldunkle Hautfarbe, Bart, mitteldunkle Hautfarbe
🧔🏿‍♂	Bart, Mann, Mann mit Bart, Mann: Bart, Mann: dunkle Hautfarbe, Bart, dunkle Hautfarbe
👱‍♂	Gesicht, Haar, Mann, Mann: blond, blond, blonder Mann
👱🏻‍♂	Gesicht, Haar, Mann, Mann: blond, Mann: helle Hautfarbe, blond, blond, blonder Mann, helle Hautfarbe
👱🏼‍♂	Gesicht, Haar, Mann, Mann: blond, Mann: mittelhelle Hautfarbe, blond, blond, blonder Mann, mittelhelle Hautfarbe
👱🏽‍♂	Gesicht, Haar, Mann, Mann: blond, Mann: mittlere Hautfarbe, blond, blond, blonder Mann, mittlere Hautfarbe
👱🏾‍♂	Gesicht, Haar, Mann, Mann: blond, Mann: mitteldunkle Hautfarbe, blond, blond, blonder Mann, mitteldunkle Hautfarbe
👱🏿‍♂	Gesicht, Haar, Mann, Mann: blond, Mann: dunkle Hautfarbe, blond, blond, blonder Mann, dunkle Hautfarbe
👨🏻‍❤‍💋‍👨🏻	Frau, Herz, Kuss, Küssendes Paar, Mann, helle Hautfarbe, küssen, sich küssendes Paar, sich küssendes Paar: Mann, Mann und helle Hautfarbe
👨🏻‍❤‍💋‍👨🏼	Frau, Herz, Kuss, Küssendes Paar, Mann, helle Hautfarbe, küssen, mittelhelle Hautfarbe, sich küssendes Paar, sich küssendes Paar: Mann, Mann, helle Hautfarbe und mittelhelle Hautfarbe
👨🏻‍❤‍💋‍👨🏽	Frau, Herz, Kuss, Küssendes Paar, Mann, helle Hautfarbe, küssen, mittlere Hautfarbe, sich küssendes Paar, sich küssendes Paar: Mann, Mann, helle Hautfarbe und mittlere Hautfarbe
👨🏻‍❤‍💋‍👨🏾	Frau, Herz, Kuss, Küssendes Paar, Mann, helle Hautfarbe, küssen, mitteldunkle Hautfarbe, sich küssendes Paar, sich küssendes Paar: Mann, Mann, helle Hautfarbe und mitteldunkle Hautfarbe
👨🏻‍❤‍💋‍👨🏿	Frau, Herz, Kuss, Küssendes Paar, Mann, dunkle Hautfarbe, helle Hautfarbe, küssen, sich küssendes Paar, sich küssendes Paar: Mann, Mann, helle Hautfarbe und dunkle Hautfarbe
👨🏼‍❤‍💋‍👨🏻	Frau, Herz, Kuss, Küssendes Paar, Mann, helle Hautfarbe, küssen, mittelhelle Hautfarbe, sich küssendes Paar, sich küssendes Paar: Mann, Mann, mittelhelle Hautfarbe und helle Hautfarbe
👨🏼‍❤‍💋‍👨🏼	Frau, Herz, Kuss, Küssendes Paar, Mann, küssen, mittelhelle Hautfarbe, sich küssendes Paar, sich küssendes Paar: Mann, Mann und mittelhelle Hautfarbe
👨🏼‍❤‍💋‍👨🏽	Frau, Herz, Kuss, Küssendes Paar, Mann, küssen, mittelhelle Hautfarbe, mittlere Hautfarbe, sich küssendes Paar, sich küssendes Paar: Mann, Mann, mittelhelle Hautfarbe und mittlere Hautfarbe
👨🏼‍❤‍💋‍👨🏾	Frau, Herz, Kuss, Küssendes Paar, Mann, küssen, mitteldunkle Hautfarbe, mittelhelle Hautfarbe, sich küssendes Paar, sich küssendes Paar: Mann, Mann, mittelhelle Hautfarbe und mitteldunkle Hautfarbe
👨🏼‍❤‍💋‍👨🏿	Frau, Herz, Kuss, Küssendes Paar, Mann, dunkle Hautfarbe, küssen, mittelhelle Hautfarbe, sich küssendes Paar, sich küssendes Paar: Mann, Mann, mittelhelle Hautfarbe und dunkle Hautfarbe
👨🏽‍❤‍💋‍👨🏻	Frau, Herz, Kuss, Küssendes Paar, Mann, helle Hautfarbe, küssen, mittlere Hautfarbe, sich küssendes Paar, sich küssendes Paar: Mann, Mann, mittlere Hautfarbe und helle Hautfarbe
👨🏽‍❤‍💋‍👨🏼	Frau, Herz, Kuss, Küssendes Paar, Mann, küssen, mittelhelle Hautfarbe, mittlere Hautfarbe, sich küssendes Paar, sich küssendes Paar: Mann, Mann, mittlere Hautfarbe und mittelhelle Hautfarbe
👨🏽‍❤‍💋‍👨🏽	Frau, Herz, Kuss, Küssendes Paar, Mann, küssen, mittlere Hautfarbe, sich küssendes Paar, sich küssendes Paar: Mann, Mann und mittlere Hautfarbe
👨🏽‍❤‍💋‍👨🏾	Frau, Herz, Kuss, Küssendes Paar, Mann, küssen, mitteldunkle Hautfarbe, mittlere Hautfarbe, sich küssendes Paar, sich küssendes Paar: Mann, Mann, mittlere Hautfarbe und mitteldunkle Hautfarbe
👨🏽‍❤‍💋‍👨🏿	Frau, Herz, Kuss, Küssendes Paar, Mann, dunkle Hautfarbe, küssen, mittlere Hautfarbe, sich küssendes Paar, sich küssendes Paar: Mann, Mann, mittlere Hautfarbe und dunkle Hautfarbe
👨🏾‍❤‍💋‍👨🏻	Frau, Herz, Kuss, Küssendes Paar, Mann, helle Hautfarbe, küssen, mitteldunkle Hautfarbe, sich küssendes Paar, sich küssendes Paar: Mann, Mann, mitteldunkle Hautfarbe und helle Hautfarbe
👨🏾‍❤‍💋‍👨🏼	Frau, Herz, Kuss, Küssendes Paar, Mann, küssen, mitteldunkle Hautfarbe, mittelhelle Hautfarbe, sich küssendes Paar, sich küssendes Paar: Mann, Mann, mitteldunkle Hautfarbe und mittelhelle Hautfarbe
👨🏾‍❤‍💋‍👨🏽	Frau, Herz, Kuss, Küssendes Paar, Mann, küssen, mitteldunkle Hautfarbe, mittlere Hautfarbe, sich küssendes Paar, sich küssendes Paar: Mann, Mann, mitteldunkle Hautfarbe und mittlere Hautfarbe
