‾	nadčrtano
🧑🏻‍❤‍💋‍🧑🏼	obletnica, odrasla oseba, par, poljub, poljub: odrasla oseba, odrasla oseba, svetel ten kože in srednje svetel ten kože, romanca, srednje svetel ten kože, srček, svetel ten kože
🧑🏻‍❤‍💋‍🧑🏽	obletnica, odrasla oseba, par, poljub, poljub: odrasla oseba, odrasla oseba, svetel ten kože in srednji ten kože, romanca, srednji ten kože, srček, svetel ten kože
🧑🏻‍❤‍💋‍🧑🏾	obletnica, odrasla oseba, par, poljub, poljub: odrasla oseba, odrasla oseba, svetel ten kože in srednje temen ten kože, romanca, srednje temen ten kože, srček, svetel ten kože
🧑🏻‍❤‍💋‍🧑🏿	obletnica, odrasla oseba, par, poljub, poljub: odrasla oseba, odrasla oseba, svetel ten kože in temen ten kože, romanca, srček, svetel ten kože, temen ten kože
🧑🏼‍❤‍💋‍🧑🏻	obletnica, odrasla oseba, par, poljub, poljub: odrasla oseba, odrasla oseba, srednje svetel ten kože in svetel ten kože, romanca, srednje svetel ten kože, srček, svetel ten kože
🧑🏼‍❤‍💋‍🧑🏽	obletnica, odrasla oseba, par, poljub, poljub: odrasla oseba, odrasla oseba, srednje svetel ten kože in srednji ten kože, romanca, srednje svetel ten kože, srednji ten kože, srček
🧑🏼‍❤‍💋‍🧑🏾	obletnica, odrasla oseba, par, poljub, poljub: odrasla oseba, odrasla oseba, srednje svetel ten kože in srednje temen ten kože, romanca, srednje svetel ten kože, srednje temen ten kože, srček
🧑🏼‍❤‍💋‍🧑🏿	obletnica, odrasla oseba, par, poljub, poljub: odrasla oseba, odrasla oseba, srednje svetel ten kože in temen ten kože, romanca, srednje svetel ten kože, srček, temen ten kože
🧑🏽‍❤‍💋‍🧑🏻	obletnica, odrasla oseba, par, poljub, poljub: odrasla oseba, odrasla oseba, srednji ten kože in svetel ten kože, romanca, srednji ten kože, srček, svetel ten kože
🧑🏽‍❤‍💋‍🧑🏼	obletnica, odrasla oseba, par, poljub, poljub: odrasla oseba, odrasla oseba, srednji ten kože in srednje svetel ten kože, romanca, srednje svetel ten kože, srednji ten kože, srček
🧑🏽‍❤‍💋‍🧑🏾	obletnica, odrasla oseba, par, poljub, poljub: odrasla oseba, odrasla oseba, srednji ten kože in srednje temen ten kože, romanca, srednje temen ten kože, srednji ten kože, srček
🧑🏽‍❤‍💋‍🧑🏿	obletnica, odrasla oseba, par, poljub, poljub: odrasla oseba, odrasla oseba, srednji ten kože in temen ten kože, romanca, srednji ten kože, srček, temen ten kože
🧑🏾‍❤‍💋‍🧑🏻	obletnica, odrasla oseba, par, poljub, poljub: odrasla oseba, odrasla oseba, srednje temen ten kože in svetel ten kože, romanca, srednje temen ten kože, srček, svetel ten kože
🧑🏾‍❤‍💋‍🧑🏼	obletnica, odrasla oseba, par, poljub, poljub: odrasla oseba, odrasla oseba, srednje temen ten kože in srednje svetel ten kože, romanca, srednje svetel ten kože, srednje temen ten kože, srček
🧑🏾‍❤‍💋‍🧑🏽	obletnica, odrasla oseba, par, poljub, poljub: odrasla oseba, odrasla oseba, srednje temen ten kože in srednji ten kože, romanca, srednje temen ten kože, srednji ten kože, srček
🧑🏾‍❤‍💋‍🧑🏿	obletnica, odrasla oseba, par, poljub, poljub: odrasla oseba, odrasla oseba, srednje temen ten kože in temen ten kože, romanca, srednje temen ten kože, srček, temen ten kože
🧑🏿‍❤‍💋‍🧑🏻	obletnica, odrasla oseba, par, poljub, poljub: odrasla oseba, odrasla oseba, temen ten kože in svetel ten kože, romanca, srček, svetel ten kože, temen ten kože
🧑🏿‍❤‍💋‍🧑🏼	obletnica, odrasla oseba, par, poljub, poljub: odrasla oseba, odrasla oseba, temen ten kože in srednje svetel ten kože, romanca, srednje svetel ten kože, srček, temen ten kože
🧑🏿‍❤‍💋‍🧑🏽	obletnica, odrasla oseba, par, poljub, poljub: odrasla oseba, odrasla oseba, temen ten kože in srednji ten kože, romanca, srednji ten kože, srček, temen ten kože
🧑🏿‍❤‍💋‍🧑🏾	obletnica, odrasla oseba, par, poljub, poljub: odrasla oseba, odrasla oseba, temen ten kože in srednje temen ten kože, romanca, srednje temen ten kože, srček, temen ten kože
🧑🏻‍❤‍🧑🏼	ljubezen, odrasla oseba, par, par s srčkom, par s srčkom: odrasla oseba, odrasla oseba, svetel ten kože in srednje svetel ten kože, romanca, srce, srednje svetel ten kože, svetel ten kože
🧑🏻‍❤‍🧑🏽	ljubezen, odrasla oseba, par, par s srčkom, par s srčkom: odrasla oseba, odrasla oseba, svetel ten kože in srednji ten kože, romanca, srce, srednji ten kože, svetel ten kože
🧑🏻‍❤‍🧑🏾	ljubezen, odrasla oseba, par, par s srčkom, par s srčkom: odrasla oseba, odrasla oseba, svetel ten kože in srednje temen ten kože, romanca, srce, srednje temen ten kože, svetel ten kože
🧑🏻‍❤‍🧑🏿	ljubezen, odrasla oseba, par, par s srčkom, par s srčkom: odrasla oseba, odrasla oseba, svetel ten kože in temen ten kože, romanca, srce, svetel ten kože, temen ten kože
🧑🏼‍❤‍🧑🏻	ljubezen, odrasla oseba, par, par s srčkom, par s srčkom: odrasla oseba, odrasla oseba, srednje svetel ten kože in svetel ten kože, romanca, srce, srednje svetel ten kože, svetel ten kože
🧑🏼‍❤‍🧑🏽	ljubezen, odrasla oseba, par, par s srčkom, par s srčkom: odrasla oseba, odrasla oseba, srednje svetel ten kože in srednji ten kože, romanca, srce, srednje svetel ten kože, srednji ten kože
🧑🏼‍❤‍🧑🏾	ljubezen, odrasla oseba, par, par s srčkom, par s srčkom: odrasla oseba, odrasla oseba, srednje svetel ten kože in srednje temen ten kože, romanca, srce, srednje svetel ten kože, srednje temen ten kože
🧑🏼‍❤‍🧑🏿	ljubezen, odrasla oseba, par, par s srčkom, par s srčkom: odrasla oseba, odrasla oseba, srednje svetel ten kože in temen ten kože, romanca, srce, srednje svetel ten kože, temen ten kože
🧑🏽‍❤‍🧑🏻	ljubezen, odrasla oseba, par, par s srčkom, par s srčkom: odrasla oseba, odrasla oseba, srednji ten kože in svetel ten kože, romanca, srce, srednji ten kože, svetel ten kože
🧑🏽‍❤‍🧑🏼	ljubezen, odrasla oseba, par, par s srčkom, par s srčkom: odrasla oseba, odrasla oseba, srednji ten kože in srednje svetel ten kože, romanca, srce, srednje svetel ten kože, srednji ten kože
🧑🏽‍❤‍🧑🏾	ljubezen, odrasla oseba, par, par s srčkom, par s srčkom: odrasla oseba, odrasla oseba, srednji ten kože in srednje temen ten kože, romanca, srce, srednje temen ten kože, srednji ten kože
🧑🏽‍❤‍🧑🏿	ljubezen, odrasla oseba, par, par s srčkom, par s srčkom: odrasla oseba, odrasla oseba, srednji ten kože in temen ten kože, romanca, srce, srednji ten kože, temen ten kože
🧑🏾‍❤‍🧑🏻	ljubezen, odrasla oseba, par, par s srčkom, par s srčkom: odrasla oseba, odrasla oseba, srednje temen ten kože in svetel ten kože, romanca, srce, srednje temen ten kože, svetel ten kože
🧑🏾‍❤‍🧑🏼	ljubezen, odrasla oseba, par, par s srčkom, par s srčkom: odrasla oseba, odrasla oseba, srednje temen ten kože in srednje svetel ten kože, romanca, srce, srednje svetel ten kože, srednje temen ten kože
🧑🏾‍❤‍🧑🏽	ljubezen, odrasla oseba, par, par s srčkom, par s srčkom: odrasla oseba, odrasla oseba, srednje temen ten kože in srednji ten kože, romanca, srce, srednje temen ten kože, srednji ten kože
🧑🏾‍❤‍🧑🏿	ljubezen, odrasla oseba, par, par s srčkom, par s srčkom: odrasla oseba, odrasla oseba, srednje temen ten kože in temen ten kože, romanca, srce, srednje temen ten kože, temen ten kože
🧑🏿‍❤‍🧑🏻	ljubezen, odrasla oseba, par, par s srčkom, par s srčkom: odrasla oseba, odrasla oseba, temen ten kože in svetel ten kože, romanca, srce, svetel ten kože, temen ten kože
🧑🏿‍❤‍🧑🏼	ljubezen, odrasla oseba, par, par s srčkom, par s srčkom: odrasla oseba, odrasla oseba, temen ten kože in srednje svetel ten kože, romanca, srce, srednje svetel ten kože, temen ten kože
🧑🏿‍❤‍🧑🏽	ljubezen, odrasla oseba, par, par s srčkom, par s srčkom: odrasla oseba, odrasla oseba, temen ten kože in srednji ten kože, romanca, srce, srednji ten kože, temen ten kože
🧑🏿‍❤‍🧑🏾	ljubezen, odrasla oseba, par, par s srčkom, par s srčkom: odrasla oseba, odrasla oseba, temen ten kože in srednje temen ten kože, romanca, srce, srednje temen ten kože, temen ten kože
🧑‍🦰	odrasla oseba, odrasla oseba: rdeči lasje, rdeči lasje, spolno nevtralen
🧑🏻‍🦰	odrasla oseba, odrasla oseba: svetel ten kože in rdeči lasje, rdeči lasje, spolno nevtralen, svetel ten kože
🧑🏼‍🦰	odrasla oseba, odrasla oseba: srednje svetel ten kože in rdeči lasje, rdeči lasje, spolno nevtralen, srednje svetel ten kože
🧑🏽‍🦰	odrasla oseba, odrasla oseba: srednji ten kože in rdeči lasje, rdeči lasje, spolno nevtralen, srednji ten kože
🧑🏾‍🦰	odrasla oseba, odrasla oseba: srednje temen ten kože in rdeči lasje, rdeči lasje, spolno nevtralen, srednje temen ten kože
🧑🏿‍🦰	odrasla oseba, odrasla oseba: temen ten kože in rdeči lasje, rdeči lasje, spolno nevtralen, temen ten kože
🧑‍🦱	kodrasti lasje, odrasla oseba, odrasla oseba: kodrasti lasje, spolno nevtralen
🧑🏻‍🦱	kodrasti lasje, odrasla oseba, odrasla oseba: svetel ten kože in kodrasti lasje, spolno nevtralen, svetel ten kože
🧑🏼‍🦱	kodrasti lasje, odrasla oseba, odrasla oseba: srednje svetel ten kože in kodrasti lasje, spolno nevtralen, srednje svetel ten kože
🧑🏽‍🦱	kodrasti lasje, odrasla oseba, odrasla oseba: srednji ten kože in kodrasti lasje, spolno nevtralen, srednji ten kože
🧑🏾‍🦱	kodrasti lasje, odrasla oseba, odrasla oseba: srednje temen ten kože in kodrasti lasje, spolno nevtralen, srednje temen ten kože
🧑🏿‍🦱	kodrasti lasje, odrasla oseba, odrasla oseba: temen ten kože in kodrasti lasje, spolno nevtralen, temen ten kože
🧑‍🦳	odrasla oseba, odrasla oseba: sivi lasje, sivi lasje, spolno nevtralen
🧑🏻‍🦳	odrasla oseba, odrasla oseba: svetel ten kože in sivi lasje, sivi lasje, spolno nevtralen, svetel ten kože
🧑🏼‍🦳	odrasla oseba, odrasla oseba: srednje svetel ten kože in sivi lasje, sivi lasje, spolno nevtralen, srednje svetel ten kože
🧑🏽‍🦳	odrasla oseba, odrasla oseba: srednji ten kože in sivi lasje, sivi lasje, spolno nevtralen, srednji ten kože
🧑🏾‍🦳	odrasla oseba, odrasla oseba: srednje temen ten kože in sivi lasje, sivi lasje, spolno nevtralen, srednje temen ten kože
🧑🏿‍🦳	odrasla oseba, odrasla oseba: temen ten kože in sivi lasje, sivi lasje, spolno nevtralen, temen ten kože
🧑‍🦲	odrasla oseba, odrasla oseba: plešast, plešast, spolno nevtralen
🧑🏻‍🦲	odrasla oseba, odrasla oseba: svetel ten kože in plešast, plešast, spolno nevtralen, svetel ten kože
🧑🏼‍🦲	odrasla oseba, odrasla oseba: srednje svetel ten kože in plešast, plešast, spolno nevtralen, srednje svetel ten kože
🧑🏽‍🦲	odrasla oseba, odrasla oseba: srednji ten kože in plešast, plešast, spolno nevtralen, srednji ten kože
🧑🏾‍🦲	odrasla oseba, odrasla oseba: srednje temen ten kože in plešast, plešast, spolno nevtralen, srednje temen ten kože
🧑🏿‍🦲	odrasla oseba, odrasla oseba: temen ten kože in plešast, plešast, spolno nevtralen, temen ten kože
👨	brat, fant, moški, prijatelj
👨🏻	brat, fant, moški, moški: svetel ten kože, prijatelj, svetel ten kože
👨🏼	brat, fant, moški, moški: srednje svetel ten kože, prijatelj, srednje svetel ten kože
👨🏽	brat, fant, moški, moški: srednji ten kože, prijatelj, srednji ten kože
👨🏾	brat, fant, moški, moški: srednje temen ten kože, prijatelj, srednje temen ten kože
👨🏿	brat, fant, moški, moški: temen ten kože, prijatelj, temen ten kože
🧔	brada, moški, moški z brado, moški: brada, oseba, oseba: brada
🧔🏻	brada, moški, moški z brado, moški: brada, oseba, oseba: brada, oseba: svetel ten kože in brada, svetel ten kože
🧔🏼	brada, moški, moški z brado, moški: brada, oseba, oseba: brada, oseba: srednje svetel ten kože in brada, srednje svetel ten kože
🧔🏽	brada, moški, moški z brado, moški: brada, oseba, oseba: brada, oseba: srednji ten kože in brada, srednji ten kože
🧔🏾	brada, moški, moški z brado, moški: brada, oseba, oseba: brada, oseba: srednje temen ten kože in brada, srednje temen ten kože
🧔🏿	brada, moški, moški z brado, moški: brada, oseba, oseba: brada, oseba: temen ten kože in brada, temen ten kože
🧔‍♂	brada, moški, moški: brada
🧔🏻‍♂	brada, moški, moški: brada, moški: svetel ten kože in brada, svetel ten kože
🧔🏼‍♂	brada, moški, moški: brada, moški: srednje svetel ten kože in brada, srednje svetel ten kože
🧔🏽‍♂	brada, moški, moški: brada, moški: srednji ten kože in brada, srednji ten kože
🧔🏾‍♂	brada, moški, moški: brada, moški: srednje temen ten kože in brada, srednje temen ten kože
🧔🏿‍♂	brada, moški, moški: brada, moški: temen ten kože in brada, temen ten kože
👱‍♂	blondinec, fant, lasje, moški, moški: blondinec
👱🏻‍♂	blondinec, fant, lasje, moški, moški: blondinec, moški: svetel ten kože in blondinec, svetel ten kože
👱🏼‍♂	blondinec, fant, lasje, moški, moški: blondinec, moški: srednje svetel ten kože in blondinec, srednje svetel ten kože
👱🏽‍♂	blondinec, fant, lasje, moški, moški: blondinec, moški: srednji ten kože in blondinec, srednji ten kože
👱🏾‍♂	blondinec, fant, lasje, moški, moški: blondinec, moški: srednje temen ten kože in blondinec, srednje temen ten kože
👱🏿‍♂	blondinec, fant, lasje, moški, moški: blondinec, moški: temen ten kože in blondinec, temen ten kože
👨🏻‍❤‍💋‍👨🏻	moški, obletnica, par, poljub, poljub: moški, moški in svetel ten kože, romanca, srček, svetel ten kože
👨🏻‍❤‍💋‍👨🏼	moški, obletnica, par, poljub, poljub: moški, moški, svetel ten kože in srednje svetel ten kože, romanca, srednje svetel ten kože, srček, svetel ten kože
👨🏻‍❤‍💋‍👨🏽	moški, obletnica, par, poljub, poljub: moški, moški, svetel ten kože in srednji ten kože, romanca, srednji ten kože, srček, svetel ten kože
👨🏻‍❤‍💋‍👨🏾	moški, obletnica, par, poljub, poljub: moški, moški, svetel ten kože in srednje temen ten kože, romanca, srednje temen ten kože, srček, svetel ten kože
👨🏻‍❤‍💋‍👨🏿	moški, obletnica, par, poljub, poljub: moški, moški, svetel ten kože in temen ten kože, romanca, srček, svetel ten kože, temen ten kože
👨🏼‍❤‍💋‍👨🏻	moški, obletnica, par, poljub, poljub: moški, moški, srednje svetel ten kože in svetel ten kože, romanca, srednje svetel ten kože, srček, svetel ten kože
👨🏼‍❤‍💋‍👨🏼	moški, obletnica, par, poljub, poljub: moški, moški in srednje svetel ten kože, romanca, srednje svetel ten kože, srček
👨🏼‍❤‍💋‍👨🏽	moški, obletnica, par, poljub, poljub: moški, moški, srednje svetel ten kože in srednji ten kože, romanca, srednje svetel ten kože, srednji ten kože, srček
👨🏼‍❤‍💋‍👨🏾	moški, obletnica, par, poljub, poljub: moški, moški, srednje svetel ten kože in srednje temen ten kože, romanca, srednje svetel ten kože, srednje temen ten kože, srček
👨🏼‍❤‍💋‍👨🏿	moški, obletnica, par, poljub, poljub: moški, moški, srednje svetel ten kože in temen ten kože, romanca, srednje svetel ten kože, srček, temen ten kože
👨🏽‍❤‍💋‍👨🏻	moški, obletnica, par, poljub, poljub: moški, moški, srednji ten kože in svetel ten kože, romanca, srednji ten kože, srček, svetel ten kože
👨🏽‍❤‍💋‍👨🏼	moški, obletnica, par, poljub, poljub: moški, moški, srednji ten kože in srednje svetel ten kože, romanca, srednje svetel ten kože, srednji ten kože, srček
👨🏽‍❤‍💋‍👨🏽	moški, obletnica, par, poljub, poljub: moški, moški in srednji ten kože, romanca, srednji ten kože, srček
👨🏽‍❤‍💋‍👨🏾	moški, obletnica, par, poljub, poljub: moški, moški, srednji ten kože in srednje temen ten kože, romanca, srednje temen ten kože, srednji ten kože, srček
👨🏽‍❤‍💋‍👨🏿	moški, obletnica, par, poljub, poljub: moški, moški, srednji ten kože in temen ten kože, romanca, srednji ten kože, srček, temen ten kože
👨🏾‍❤‍💋‍👨🏻	moški, obletnica, par, poljub, poljub: moški, moški, srednje temen ten kože in svetel ten kože, romanca, srednje temen ten kože, srček, svetel ten kože
👨🏾‍❤‍💋‍👨🏼	moški, obletnica, par, poljub, poljub: moški, moški, srednje temen ten kože in srednje svetel ten kože, romanca, srednje svetel ten kože, srednje temen ten kože, srček
👨🏾‍❤‍💋‍👨🏽	moški, obletnica, par, poljub, poljub: moški, moški, srednje temen ten kože in srednji ten kože, romanca, srednje temen ten kože, srednji ten kože, srček
👨🏾‍❤‍💋‍👨🏾	moški, obletnica, par, poljub, poljub: moški, moški in srednje temen ten kože, romanca, srednje temen ten kože, srček
👨🏾‍❤‍💋‍👨🏿	moški, obletnica, par, poljub, poljub: moški, moški, srednje temen ten kože in temen ten kože, romanca, srednje temen ten kože, srček, temen ten kože
👨🏿‍❤‍💋‍👨🏻	moški, obletnica, par, poljub, poljub: moški, moški, temen ten kože in svetel ten kože, romanca, srček, svetel ten kože, temen ten kože
👨🏿‍❤‍💋‍👨🏼	moški, obletnica, par, poljub, poljub: moški, moški, temen ten kože in srednje svetel ten kože, romanca, srednje svetel ten kože, srček, temen ten kože
👨🏿‍❤‍💋‍👨🏽	moški, obletnica, par, poljub, poljub: moški, moški, temen ten kože in srednji ten kože, romanca, srednji ten kože, srček, temen ten kože
👨🏿‍❤‍💋‍👨🏾	moški, obletnica, par, poljub, poljub: moški, moški, temen ten kože in srednje temen ten kože, romanca, srednje temen ten kože, srček, temen ten kože
👨🏿‍❤‍💋‍👨🏿	moški, obletnica, par, poljub, poljub: moški, moški in temen ten kože, romanca, srček, temen ten kože
👨🏻‍❤‍👨🏻	ljubezen, moški, par, par s srčkom, par s srčkom: moški, moški in svetel ten kože, romanca, srce, svetel ten kože
👨🏻‍❤‍👨🏼	ljubezen, moški, par, par s srčkom, par s srčkom: moški, moški, svetel ten kože in srednje svetel ten kože, romanca, srce, srednje svetel ten kože, svetel ten kože
👨🏻‍❤‍👨🏽	ljubezen, moški, par, par s srčkom, par s srčkom: moški, moški, svetel ten kože in srednji ten kože, romanca, srce, srednji ten kože, svetel ten kože
👨🏻‍❤‍👨🏾	ljubezen, moški, par, par s srčkom, par s srčkom: moški, moški, svetel ten kože in srednje temen ten kože, romanca, srce, srednje temen ten kože, svetel ten kože
👨🏻‍❤‍👨🏿	ljubezen, moški, par, par s srčkom, par s srčkom: moški, moški, svetel ten kože in temen ten kože, romanca, srce, svetel ten kože, temen ten kože
👨🏼‍❤‍👨🏻	ljubezen, moški, par, par s srčkom, par s srčkom: moški, moški, srednje svetel ten kože in svetel ten kože, romanca, srce, srednje svetel ten kože, svetel ten kože
👨🏼‍❤‍👨🏼	ljubezen, moški, par, par s srčkom, par s srčkom: moški, moški in srednje svetel ten kože, romanca, srce, srednje svetel ten kože
👨🏼‍❤‍👨🏽	ljubezen, moški, par, par s srčkom, par s srčkom: moški, moški, srednje svetel ten kože in srednji ten kože, romanca, srce, srednje svetel ten kože, srednji ten kože
👨🏼‍❤‍👨🏾	ljubezen, moški, par, par s srčkom, par s srčkom: moški, moški, srednje svetel ten kože in srednje temen ten kože, romanca, srce, srednje svetel ten kože, srednje temen ten kože
👨🏼‍❤‍👨🏿	ljubezen, moški, par, par s srčkom, par s srčkom: moški, moški, srednje svetel ten kože in temen ten kože, romanca, srce, srednje svetel ten kože, temen ten kože
👨🏽‍❤‍👨🏻	ljubezen, moški, par, par s srčkom, par s srčkom: moški, moški, srednji ten kože in svetel ten kože, romanca, srce, srednji ten kože, svetel ten kože
👨🏽‍❤‍👨🏼	ljubezen, moški, par, par s srčkom, par s srčkom: moški, moški, srednji ten kože in srednje svetel ten kože, romanca, srce, srednje svetel ten kože, srednji ten kože
👨🏽‍❤‍👨🏽	ljubezen, moški, par, par s srčkom, par s srčkom: moški, moški in srednji ten kože, romanca, srce, srednji ten kože
👨🏽‍❤‍👨🏾	ljubezen, moški, par, par s srčkom, par s srčkom: moški, moški, srednji ten kože in srednje temen ten kože, romanca, srce, srednje temen ten kože, srednji ten kože
👨🏽‍❤‍👨🏿	ljubezen, moški, par, par s srčkom, par s srčkom: moški, moški, srednji ten kože in temen ten kože, romanca, srce, srednji ten kože, temen ten kože
👨🏾‍❤‍👨🏻	ljubezen, moški, par, par s srčkom, par s srčkom: moški, moški, srednje temen ten kože in svetel ten kože, romanca, srce, srednje temen ten kože, svetel ten kože
👨🏾‍❤‍👨🏼	ljubezen, moški, par, par s srčkom, par s srčkom: moški, moški, srednje temen ten kože in srednje svetel ten kože, romanca, srce, srednje svetel ten kože, srednje temen ten kože
👨🏾‍❤‍👨🏽	ljubezen, moški, par, par s srčkom, par s srčkom: moški, moški, srednje temen ten kože in srednji ten kože, romanca, srce, srednje temen ten kože, srednji ten kože
👨🏾‍❤‍👨🏾	ljubezen, moški, par, par s srčkom, par s srčkom: moški, moški in srednje temen ten kože, romanca, srce, srednje temen ten kože
👨🏾‍❤‍👨🏿	ljubezen, moški, par, par s srčkom, par s srčkom: moški, moški, srednje temen ten kože in temen ten kože, romanca, srce, srednje temen ten kože, temen ten kože
👨🏿‍❤‍👨🏻	ljubezen, moški, par, par s srčkom, par s srčkom: moški, moški, temen ten kože in svetel ten kože, romanca, srce, svetel ten kože, temen ten kože
👨🏿‍❤‍👨🏼	ljubezen, moški, par, par s srčkom, par s srčkom: moški, moški, temen ten kože in srednje svetel ten kože, romanca, srce, srednje svetel ten kože, temen ten kože
👨🏿‍❤‍👨🏽	ljubezen, moški, par, par s srčkom, par s srčkom: moški, moški, temen ten kože in srednji ten kože, romanca, srce, srednji ten kože, temen ten kože
👨🏿‍❤‍👨🏾	ljubezen, moški, par, par s srčkom, par s srčkom: moški, moški, temen ten kože in srednje temen ten kože, romanca, srce, srednje temen ten kože, temen ten kože
👨🏿‍❤‍👨🏿	ljubezen, moški, par, par s srčkom, par s srčkom: moški, moški in temen ten kože, romanca, srce, temen ten kože
👨‍🦰	brat, fant, moški, moški: rdeči lasje, prijatelj, rdeči lasje
👨🏻‍🦰	brat, fant, moški, moški: svetel ten kože in rdeči lasje, prijatelj, rdeči lasje, svetel ten kože
👨🏼‍🦰	brat, fant, moški, moški: srednje svetel ten kože in rdeči lasje, prijatelj, rdeči lasje, srednje svetel ten kože
👨🏽‍🦰	brat, fant, moški, moški: srednji ten kože in rdeči lasje, prijatelj, rdeči lasje, srednji ten kože
👨🏾‍🦰	brat, fant, moški, moški: srednje temen ten kože in rdeči lasje, prijatelj, rdeči lasje, srednje temen ten kože
👨🏿‍🦰	brat, fant, moški, moški: temen ten kože in rdeči lasje, prijatelj, rdeči lasje, temen ten kože
👨‍🦱	brat, fant, kodrasti lasje, moški, moški: kodrasti lasje, prijatelj
👨🏻‍🦱	brat, fant, kodrasti lasje, moški, moški: svetel ten kože in kodrasti lasje, prijatelj, svetel ten kože
👨🏼‍🦱	brat, fant, kodrasti lasje, moški, moški: srednje svetel ten kože in kodrasti lasje, prijatelj, srednje svetel ten kože
👨🏽‍🦱	brat, fant, kodrasti lasje, moški, moški: srednji ten kože in kodrasti lasje, prijatelj, srednji ten kože
👨🏾‍🦱	brat, fant, kodrasti lasje, moški, moški: srednje temen ten kože in kodrasti lasje, prijatelj, srednje temen ten kože
👨🏿‍🦱	brat, fant, kodrasti lasje, moški, moški: temen ten kože in kodrasti lasje, prijatelj, temen ten kože
👨‍🦳	brat, fant, moški, moški: sivi lasje, prijatelj, sivi lasje
👨🏻‍🦳	brat, fant, moški, moški: svetel ten kože in sivi lasje, prijatelj, sivi lasje, svetel ten kože
👨🏼‍🦳	brat, fant, moški, moški: srednje svetel ten kože in sivi lasje, prijatelj, sivi lasje, srednje svetel ten kože
👨🏽‍🦳	brat, fant, moški, moški: srednji ten kože in sivi lasje, prijatelj, sivi lasje, srednji ten kože
👨🏾‍🦳	brat, fant, moški, moški: srednje temen ten kože in sivi lasje, prijatelj, sivi lasje, srednje temen ten kože
👨🏿‍🦳	brat, fant, moški, moški: temen ten kože in sivi lasje, prijatelj, sivi lasje, temen ten kože
👨‍🦲	brat, fant, moški, moški: plešast, plešast, prijatelj
👨🏻‍🦲	brat, fant, moški, moški: svetel ten kože in plešast, plešast, prijatelj, svetel ten kože
👨🏼‍🦲	brat, fant, moški, moški: srednje svetel ten kože in plešast, plešast, prijatelj, srednje svetel ten kože
👨🏽‍🦲	brat, fant, moški, moški: srednji ten kože in plešast, plešast, prijatelj, srednji ten kože
👨🏾‍🦲	brat, fant, moški, moški: srednje temen ten kože in plešast, plešast, prijatelj, srednje temen ten kože
👨🏿‍🦲	brat, fant, moški, moški: temen ten kože in plešast, plešast, prijatelj, temen ten kože
👩	dekle, pričeska, svetlolaska, ženska
👩🏻	dekle, pričeska, svetel ten kože, svetlolaska, ženska, ženska: svetel ten kože
👩🏼	dekle, pričeska, srednje svetel ten kože, svetlolaska, ženska, ženska: srednje svetel ten kože
👩🏽	dekle, pričeska, srednji ten kože, svetlolaska, ženska, ženska: srednji ten kože
👩🏾	dekle, pričeska, srednje temen ten kože, svetlolaska, ženska, ženska: srednje temen ten kože
👩🏿	dekle, pričeska, svetlolaska, temen ten kože, ženska, ženska: temen ten kože
🧔‍♀	brada, ženska, ženska: brada
🧔🏻‍♀	brada, svetel ten kože, ženska, ženska: brada, ženska: svetel ten kože in brada
🧔🏼‍♀	brada, srednje svetel ten kože, ženska, ženska: brada, ženska: srednje svetel ten kože in brada
🧔🏽‍♀	brada, srednji ten kože, ženska, ženska: brada, ženska: srednji ten kože in brada
🧔🏾‍♀	brada, srednje temen ten kože, ženska, ženska: brada, ženska: srednje temen ten kože in brada
🧔🏿‍♀	brada, temen ten kože, ženska, ženska: brada, ženska: temen ten kože in brada
👱‍♀	blondinka, dekle, lasje, ženska, ženska: blondinka
👱🏻‍♀	blondinka, dekle, lasje, svetel ten kože, ženska, ženska: blondinka, ženska: svetel ten kože in blondinka
👱🏼‍♀	blondinka, dekle, lasje, srednje svetel ten kože, ženska, ženska: blondinka, ženska: srednje svetel ten kože in blondinka
👱🏽‍♀	blondinka, dekle, lasje, srednji ten kože, ženska, ženska: blondinka, ženska: srednji ten kože in blondinka
👱🏾‍♀	blondinka, dekle, lasje, srednje temen ten kože, ženska, ženska: blondinka, ženska: srednje temen ten kože in blondinka
👱🏿‍♀	blondinka, dekle, lasje, temen ten kože, ženska, ženska: blondinka, ženska: temen ten kože in blondinka
👩🏻‍❤‍💋‍👨🏻	moški, obletnica, par, poljub, poljub: ženska, moški in svetel ten kože, romanca, srček, svetel ten kože, ženska
👩🏻‍❤‍💋‍👨🏼	moški, obletnica, par, poljub, poljub: ženska, moški, svetel ten kože in srednje svetel ten kože, romanca, srednje svetel ten kože, srček, svetel ten kože, ženska
👩🏻‍❤‍💋‍👨🏽	moški, obletnica, par, poljub, poljub: ženska, moški, svetel ten kože in srednji ten kože, romanca, srednji ten kože, srček, svetel ten kože, ženska
👩🏻‍❤‍💋‍👨🏾	moški, obletnica, par, poljub, poljub: ženska, moški, svetel ten kože in srednje temen ten kože, romanca, srednje temen ten kože, srček, svetel ten kože, ženska
👩🏻‍❤‍💋‍👨🏿	moški, obletnica, par, poljub, poljub: ženska, moški, svetel ten kože in temen ten kože, romanca, srček, svetel ten kože, temen ten kože, ženska
👩🏼‍❤‍💋‍👨🏻	moški, obletnica, par, poljub, poljub: ženska, moški, srednje svetel ten kože in svetel ten kože, romanca, srednje svetel ten kože, srček, svetel ten kože, ženska
