‾	horná čiara
🤝🏿	dohoda, dohodnuté, míting, podať, potrasenie rukami, potrasenie rukami: tmavý tón pleti, potriasť, ruka, rukou, stretnutie, súhlas, telo, tmavý tón pleti
🙏	daj mi päť, gesto, modliace sa ruky, modlitba, modliť sa, poklonenie sa, prosba, prosiť, prosím, ruka, telo, vďaka, zopäté ruky, ďakovať, ďakujem
🙏🏻	daj mi päť, gesto, modliace sa ruky, modlitba, modliť sa, poklonenie sa, prosba, prosiť, prosím, ruka, svetlý tón pleti, telo, vďaka, zopäté ruky, zopäté ruky: svetlý tón pleti, ďakovať, ďakujem
🙏🏼	daj mi päť, gesto, modliace sa ruky, modlitba, modliť sa, poklonenie sa, prosba, prosiť, prosím, ruka, stredne svetlý tón pleti, telo, vďaka, zopäté ruky, zopäté ruky: stredne svetlý tón pleti, ďakovať, ďakujem
🙏🏽	daj mi päť, gesto, modliace sa ruky, modlitba, modliť sa, poklonenie sa, prosba, prosiť, prosím, ruka, stredný tón pleti, telo, vďaka, zopäté ruky, zopäté ruky: stredný tón pleti, ďakovať, ďakujem
🙏🏾	daj mi päť, gesto, modliace sa ruky, modlitba, modliť sa, poklonenie sa, prosba, prosiť, prosím, ruka, stredne tmavý tón pleti, telo, vďaka, zopäté ruky, zopäté ruky: stredne tmavý tón pleti, ďakovať, ďakujem
🙏🏿	daj mi päť, gesto, modliace sa ruky, modlitba, modliť sa, poklonenie sa, prosba, prosiť, prosím, ruka, telo, tmavý tón pleti, vďaka, zopäté ruky, zopäté ruky: tmavý tón pleti, ďakovať, ďakujem
✍️	ceruzka, pero, písať, píšuca ruka, ruka, telo
✍🏻	ceruzka, pero, písať, píšuca ruka, píšuca ruka: svetlý tón pleti, ruka, svetlý tón pleti, telo
✍🏼	ceruzka, pero, písať, píšuca ruka, píšuca ruka: stredne svetlý tón pleti, ruka, stredne svetlý tón pleti, telo
✍🏽	ceruzka, pero, písať, píšuca ruka, píšuca ruka: stredný tón pleti, ruka, stredný tón pleti, telo
✍🏾	ceruzka, pero, písať, píšuca ruka, píšuca ruka: stredne tmavý tón pleti, ruka, stredne tmavý tón pleti, telo
✍🏿	ceruzka, pero, písať, píšuca ruka, píšuca ruka: tmavý tón pleti, ruka, telo, tmavý tón pleti
💅	kozmetika, lak, lakovanie nechtov, manikúra, necht, nuda, starostlivosť, telo
💅🏻	kozmetika, lak, lakovanie nechtov, lakovanie nechtov: svetlý tón pleti, manikúra, necht, nuda, starostlivosť, svetlý tón pleti, telo
💅🏼	kozmetika, lak, lakovanie nechtov, lakovanie nechtov: stredne svetlý tón pleti, manikúra, necht, nuda, starostlivosť, stredne svetlý tón pleti, telo
💅🏽	kozmetika, lak, lakovanie nechtov, lakovanie nechtov: stredný tón pleti, manikúra, necht, nuda, starostlivosť, stredný tón pleti, telo
💅🏾	kozmetika, lak, lakovanie nechtov, lakovanie nechtov: stredne tmavý tón pleti, manikúra, necht, nuda, starostlivosť, stredne tmavý tón pleti, telo
💅🏿	kozmetika, lak, lakovanie nechtov, lakovanie nechtov: tmavý tón pleti, manikúra, necht, nuda, starostlivosť, telo, tmavý tón pleti
🤳	fotoaparát, ruka, selfie, telefón, telo
🤳🏻	fotoaparát, ruka, selfie, selfie: svetlý tón pleti, svetlý tón pleti, telefón, telo
🤳🏼	fotoaparát, ruka, selfie, selfie: stredne svetlý tón pleti, stredne svetlý tón pleti, telefón, telo
🤳🏽	fotoaparát, ruka, selfie, selfie: stredný tón pleti, stredný tón pleti, telefón, telo
🤳🏾	fotoaparát, ruka, selfie, selfie: stredne tmavý tón pleti, stredne tmavý tón pleti, telefón, telo
🤳🏿	fotoaparát, ruka, selfie, selfie: tmavý tón pleti, telefón, telo, tmavý tón pleti
💪	biceps, cvičenie, komixové, napnuté, napnutý biceps, napínanie, posiľňovňa, ruka, sila, sval, telo, vzpieranie
💪🏻	biceps, cvičenie, komixové, napnuté, napnutý biceps, napnutý biceps: svetlý tón pleti, napínanie, posiľňovňa, ruka, sila, sval, svetlý tón pleti, telo, vzpieranie
💪🏼	biceps, cvičenie, komixové, napnuté, napnutý biceps, napnutý biceps: stredne svetlý tón pleti, napínanie, posiľňovňa, ruka, sila, stredne svetlý tón pleti, sval, telo, vzpieranie
💪🏽	biceps, cvičenie, komixové, napnuté, napnutý biceps, napnutý biceps: stredný tón pleti, napínanie, posiľňovňa, ruka, sila, stredný tón pleti, sval, telo, vzpieranie
💪🏾	biceps, cvičenie, komixové, napnuté, napnutý biceps, napnutý biceps: stredne tmavý tón pleti, napínanie, posiľňovňa, ruka, sila, stredne tmavý tón pleti, sval, telo, vzpieranie
💪🏿	biceps, cvičenie, komixové, napnuté, napnutý biceps, napnutý biceps: tmavý tón pleti, napínanie, posiľňovňa, ruka, sila, sval, telo, tmavý tón pleti, vzpieranie
🦾	handicap, hendikep, invalidné, mechanická paža, pomôcka, postihnutie, protéza
🦿	handicap, hendikep, invalidné, mechanická noha, pomôcka, postihnutie, protéza
🦵	chodidlo, koleno, končatina, kopať, kopnúť, nakopnúť, noha, ohnuté koleno, stehno, zohnuté koleno
🦵🏻	chodidlo, koleno, končatina, kopať, kopnúť, nakopnúť, noha, noha: svetlý tón pleti, ohnuté koleno, stehno, svetlý tón pleti, zohnuté koleno
🦵🏼	chodidlo, koleno, končatina, kopať, kopnúť, nakopnúť, noha, noha: stredne svetlý tón pleti, ohnuté koleno, stehno, stredne svetlý tón pleti, zohnuté koleno
🦵🏽	chodidlo, koleno, končatina, kopať, kopnúť, nakopnúť, noha, noha: stredný tón pleti, ohnuté koleno, stehno, stredný tón pleti, zohnuté koleno
🦵🏾	chodidlo, koleno, končatina, kopať, kopnúť, nakopnúť, noha, noha: stredne tmavý tón pleti, ohnuté koleno, stehno, stredne tmavý tón pleti, zohnuté koleno
🦵🏿	chodidlo, koleno, končatina, kopať, kopnúť, nakopnúť, noha, noha: tmavý tón pleti, ohnuté koleno, stehno, tmavý tón pleti, zohnuté koleno
🦶	chodidlo, chodidlá, dupať, kopanec, kopať, kopnúť, nakopnúť, noha, nohy, päta, členok
🦶🏻	chodidlo, chodidlo: svetlý tón pleti, chodidlá, dupať, kopanec, kopať, kopnúť, nakopnúť, noha, nohy, päta, svetlý tón pleti, členok
🦶🏼	chodidlo, chodidlo: stredne svetlý tón pleti, chodidlá, dupať, kopanec, kopať, kopnúť, nakopnúť, noha, nohy, päta, stredne svetlý tón pleti, členok
🦶🏽	chodidlo, chodidlo: stredný tón pleti, chodidlá, dupať, kopanec, kopať, kopnúť, nakopnúť, noha, nohy, päta, stredný tón pleti, členok
🦶🏾	chodidlo, chodidlo: stredne tmavý tón pleti, chodidlá, dupať, kopanec, kopať, kopnúť, nakopnúť, noha, nohy, päta, stredne tmavý tón pleti, členok
🦶🏿	chodidlo, chodidlo: tmavý tón pleti, chodidlá, dupať, kopanec, kopať, kopnúť, nakopnúť, noha, nohy, päta, tmavý tón pleti, členok
👂️	načúvať, počúvať, sluch, telo, ucho, uši, zmysel, zvuk
👂🏻	načúvať, počúvať, sluch, svetlý tón pleti, telo, ucho, ucho: svetlý tón pleti, uši, zmysel, zvuk
👂🏼	načúvať, počúvať, sluch, stredne svetlý tón pleti, telo, ucho, ucho: stredne svetlý tón pleti, uši, zmysel, zvuk
👂🏽	načúvať, počúvať, sluch, stredný tón pleti, telo, ucho, ucho: stredný tón pleti, uši, zmysel, zvuk
👂🏾	načúvať, počúvať, sluch, stredne tmavý tón pleti, telo, ucho, ucho: stredne tmavý tón pleti, uši, zmysel, zvuk
👂🏿	načúvať, počúvať, sluch, telo, tmavý tón pleti, ucho, ucho: tmavý tón pleti, uši, zmysel, zvuk
🦻	handicap, hendikep, načúvadlo, nedoslýchavosť, pomôcka, postihnutie, ucho s načúvadlom
🦻🏻	handicap, hendikep, načúvadlo, nedoslýchavosť, pomôcka, postihnutie, svetlý tón pleti, ucho s načúvadlom, ucho s načúvadlom: svetlý tón pleti
🦻🏼	handicap, hendikep, načúvadlo, nedoslýchavosť, pomôcka, postihnutie, stredne svetlý tón pleti, ucho s načúvadlom, ucho s načúvadlom: stredne svetlý tón pleti
🦻🏽	handicap, hendikep, načúvadlo, nedoslýchavosť, pomôcka, postihnutie, stredný tón pleti, ucho s načúvadlom, ucho s načúvadlom: stredný tón pleti
🦻🏾	handicap, hendikep, načúvadlo, nedoslýchavosť, pomôcka, postihnutie, stredne tmavý tón pleti, ucho s načúvadlom, ucho s načúvadlom: stredne tmavý tón pleti
🦻🏿	handicap, hendikep, načúvadlo, nedoslýchavosť, pomôcka, postihnutie, tmavý tón pleti, ucho s načúvadlom, ucho s načúvadlom: tmavý tón pleti
👃	aróma, dýchať, nos, nozdry, telo, vôňa, zápach
👃🏻	aróma, dýchať, nos, nos: svetlý tón pleti, nozdry, svetlý tón pleti, telo, vôňa, zápach
👃🏼	aróma, dýchať, nos, nos: stredne svetlý tón pleti, nozdry, stredne svetlý tón pleti, telo, vôňa, zápach
👃🏽	aróma, dýchať, nos, nos: stredný tón pleti, nozdry, stredný tón pleti, telo, vôňa, zápach
👃🏾	aróma, dýchať, nos, nos: stredne tmavý tón pleti, nozdry, stredne tmavý tón pleti, telo, vôňa, zápach
👃🏿	aróma, dýchať, nos, nos: tmavý tón pleti, nozdry, telo, tmavý tón pleti, vôňa, zápach
🧠	IQ, bystrý, inteligentný, kôra, mozog, múdrosť, múdry
🫀	anatómia, kardiológia, orgán, orgán srdca, pulz, srdce, tlkot
🫁	dýchanie, dýchať, nádych, orgán, pľúca, výdych
🦷	biele, biely, dentista, perla, perleťový, perlička, perličky, perlový, perly, stomatológ, zub, zubná lekárka, zubná technička, zubný, zubný lekár, zubný technik, zuby, zubár
🦴	kosti, kostička, kostra, kosť, kôstka, pes, skelet
👀	hľadieť, kuk, nakuknúť, oko, oči, pozerať, telo, tvár
👁️	1 oko, hnedé, jedno oko, oko, telo
👅	jazyk, lízať, srkať, telo
👄	bozk, pery, rúž, telo, zuby, ústa
🫦	flirt, flirtovanie, koketovanie, napätie, nepohodlie, nervy, obavy, pera, rúž, sexy, strach, zahryznutie do pery, úzkosť
👶	bábo, bábä, bábätko, deti, dieťa, mladosť, novorodenec, osoba, tehotná
👶🏻	bábo, bábä, bábätko, bábätko: svetlý tón pleti, deti, dieťa, mladosť, novorodenec, osoba, svetlý tón pleti, tehotná
👶🏼	bábo, bábä, bábätko, bábätko: stredne svetlý tón pleti, deti, dieťa, mladosť, novorodenec, osoba, stredne svetlý tón pleti, tehotná
👶🏽	bábo, bábä, bábätko, bábätko: stredný tón pleti, deti, dieťa, mladosť, novorodenec, osoba, stredný tón pleti, tehotná
👶🏾	bábo, bábä, bábätko, bábätko: stredne tmavý tón pleti, deti, dieťa, mladosť, novorodenec, osoba, stredne tmavý tón pleti, tehotná
👶🏿	bábo, bábä, bábätko, bábätko: tmavý tón pleti, deti, dieťa, mladosť, novorodenec, osoba, tehotná, tmavý tón pleti
🧒	decko, dieťa, mladý
🧒🏻	decko, dieťa, dieťa: svetlý tón pleti, mladý, svetlý tón pleti
🧒🏼	decko, dieťa, dieťa: stredne svetlý tón pleti, mladý, stredne svetlý tón pleti
🧒🏽	decko, dieťa, dieťa: stredný tón pleti, mladý, stredný tón pleti
🧒🏾	decko, dieťa, dieťa: stredne tmavý tón pleti, mladý, stredne tmavý tón pleti
🧒🏿	decko, dieťa, dieťa: tmavý tón pleti, mladý, tmavý tón pleti
👦	chalan, chlapec, dieťa, malý, osoba
👦🏻	chalan, chlapec, chlapec: svetlý tón pleti, dieťa, malý, osoba, svetlý tón pleti
👦🏼	chalan, chlapec, chlapec: stredne svetlý tón pleti, dieťa, malý, osoba, stredne svetlý tón pleti
👦🏽	chalan, chlapec, chlapec: stredný tón pleti, dieťa, malý, osoba, stredný tón pleti
👦🏾	chalan, chlapec, chlapec: stredne tmavý tón pleti, dieťa, malý, osoba, stredne tmavý tón pleti
👦🏿	chalan, chlapec, chlapec: tmavý tón pleti, dieťa, malý, osoba, tmavý tón pleti
👧	copíky, dcéra, dievča, mladá, ofina, osoba, panna, slečna, vrkoče, žena
👧🏻	copíky, dcéra, dievča, dievča: svetlý tón pleti, mladá, ofina, osoba, panna, slečna, svetlý tón pleti, vrkoče, žena
👧🏼	copíky, dcéra, dievča, dievča: stredne svetlý tón pleti, mladá, ofina, osoba, panna, slečna, stredne svetlý tón pleti, vrkoče, žena
👧🏽	copíky, dcéra, dievča, dievča: stredný tón pleti, mladá, ofina, osoba, panna, slečna, stredný tón pleti, vrkoče, žena
👧🏾	copíky, dcéra, dievča, dievča: stredne tmavý tón pleti, mladá, ofina, osoba, panna, slečna, stredne tmavý tón pleti, vrkoče, žena
👧🏿	copíky, dcéra, dievča, dievča: tmavý tón pleti, mladá, ofina, osoba, panna, slečna, tmavý tón pleti, vrkoče, žena
🧑	dospelá, dospelý, osoba, človek
🧑🏻	dospelá, dospelý, dospelý: svetlý tón pleti, osoba, svetlý tón pleti, človek
🧑🏼	dospelá, dospelý, dospelý: stredne svetlý tón pleti, osoba, stredne svetlý tón pleti, človek
🧑🏽	dospelá, dospelý, dospelý: stredný tón pleti, osoba, stredný tón pleti, človek
🧑🏾	dospelá, dospelý, dospelý: stredne tmavý tón pleti, osoba, stredne tmavý tón pleti, človek
🧑🏿	dospelá, dospelý, dospelý: tmavý tón pleti, osoba, tmavý tón pleti, človek
👱	blond, blonďák, muž, osoba, osoba s blond vlasmi, osoba so svetlými vlasmi, svetlovlasý človek, tvár, človek
👱🏻	blond, blonďák, muž, osoba, osoba s blond vlasmi, osoba so svetlými vlasmi, svetlovlasý človek, svetlovlasý človek: svetlý tón pleti, svetlý tón pleti, tvár, človek
👱🏼	blond, blonďák, muž, osoba, osoba s blond vlasmi, osoba so svetlými vlasmi, stredne svetlý tón pleti, svetlovlasý človek, svetlovlasý človek: stredne svetlý tón pleti, tvár, človek
👱🏽	blond, blonďák, muž, osoba, osoba s blond vlasmi, osoba so svetlými vlasmi, stredný tón pleti, svetlovlasý človek, svetlovlasý človek: stredný tón pleti, tvár, človek
👱🏾	blond, blonďák, muž, osoba, osoba s blond vlasmi, osoba so svetlými vlasmi, stredne tmavý tón pleti, svetlovlasý človek, svetlovlasý človek: stredne tmavý tón pleti, tvár, človek
👱🏿	blond, blonďák, muž, osoba, osoba s blond vlasmi, osoba so svetlými vlasmi, svetlovlasý človek, svetlovlasý človek: tmavý tón pleti, tmavý tón pleti, tvár, človek
🧑🏻‍❤‍💋‍🧑🏼	bozk, bozk: dospelý, dospelý, svetlý tón pleti, stredne svetlý tón pleti, dospelý, láska, pusa, pár, rande, romanca, romantika, srdce, stredne svetlý tón pleti, svetlý tón pleti, výročie
🧑🏻‍❤‍💋‍🧑🏽	bozk, bozk: dospelý, dospelý, svetlý tón pleti, stredný tón pleti, dospelý, láska, pusa, pár, rande, romanca, romantika, srdce, stredný tón pleti, svetlý tón pleti, výročie
🧑🏻‍❤‍💋‍🧑🏾	bozk, bozk: dospelý, dospelý, svetlý tón pleti, stredne tmavý tón pleti, dospelý, láska, pusa, pár, rande, romanca, romantika, srdce, stredne tmavý tón pleti, svetlý tón pleti, výročie
🧑🏻‍❤‍💋‍🧑🏿	bozk, bozk: dospelý, dospelý, svetlý tón pleti, tmavý tón pleti, dospelý, láska, pusa, pár, rande, romanca, romantika, srdce, svetlý tón pleti, tmavý tón pleti, výročie
🧑🏼‍❤‍💋‍🧑🏻	bozk, bozk: dospelý, dospelý, stredne svetlý tón pleti, svetlý tón pleti, dospelý, láska, pusa, pár, rande, romanca, romantika, srdce, stredne svetlý tón pleti, svetlý tón pleti, výročie
🧑🏼‍❤‍💋‍🧑🏽	bozk, bozk: dospelý, dospelý, stredne svetlý tón pleti, stredný tón pleti, dospelý, láska, pusa, pár, rande, romanca, romantika, srdce, stredne svetlý tón pleti, stredný tón pleti, výročie
🧑🏼‍❤‍💋‍🧑🏾	bozk, bozk: dospelý, dospelý, stredne svetlý tón pleti, stredne tmavý tón pleti, dospelý, láska, pusa, pár, rande, romanca, romantika, srdce, stredne svetlý tón pleti, stredne tmavý tón pleti, výročie
🧑🏼‍❤‍💋‍🧑🏿	bozk, bozk: dospelý, dospelý, stredne svetlý tón pleti, tmavý tón pleti, dospelý, láska, pusa, pár, rande, romanca, romantika, srdce, stredne svetlý tón pleti, tmavý tón pleti, výročie
🧑🏽‍❤‍💋‍🧑🏻	bozk, bozk: dospelý, dospelý, stredný tón pleti, svetlý tón pleti, dospelý, láska, pusa, pár, rande, romanca, romantika, srdce, stredný tón pleti, svetlý tón pleti, výročie
🧑🏽‍❤‍💋‍🧑🏼	bozk, bozk: dospelý, dospelý, stredný tón pleti, stredne svetlý tón pleti, dospelý, láska, pusa, pár, rande, romanca, romantika, srdce, stredne svetlý tón pleti, stredný tón pleti, výročie
🧑🏽‍❤‍💋‍🧑🏾	bozk, bozk: dospelý, dospelý, stredný tón pleti, stredne tmavý tón pleti, dospelý, láska, pusa, pár, rande, romanca, romantika, srdce, stredne tmavý tón pleti, stredný tón pleti, výročie
🧑🏽‍❤‍💋‍🧑🏿	bozk, bozk: dospelý, dospelý, stredný tón pleti, tmavý tón pleti, dospelý, láska, pusa, pár, rande, romanca, romantika, srdce, stredný tón pleti, tmavý tón pleti, výročie
🧑🏾‍❤‍💋‍🧑🏻	bozk, bozk: dospelý, dospelý, stredne tmavý tón pleti, svetlý tón pleti, dospelý, láska, pusa, pár, rande, romanca, romantika, srdce, stredne tmavý tón pleti, svetlý tón pleti, výročie
🧑🏾‍❤‍💋‍🧑🏼	bozk, bozk: dospelý, dospelý, stredne tmavý tón pleti, stredne svetlý tón pleti, dospelý, láska, pusa, pár, rande, romanca, romantika, srdce, stredne svetlý tón pleti, stredne tmavý tón pleti, výročie
🧑🏾‍❤‍💋‍🧑🏽	bozk, bozk: dospelý, dospelý, stredne tmavý tón pleti, stredný tón pleti, dospelý, láska, pusa, pár, rande, romanca, romantika, srdce, stredne tmavý tón pleti, stredný tón pleti, výročie
🧑🏾‍❤‍💋‍🧑🏿	bozk, bozk: dospelý, dospelý, stredne tmavý tón pleti, tmavý tón pleti, dospelý, láska, pusa, pár, rande, romanca, romantika, srdce, stredne tmavý tón pleti, tmavý tón pleti, výročie
🧑🏿‍❤‍💋‍🧑🏻	bozk, bozk: dospelý, dospelý, tmavý tón pleti, svetlý tón pleti, dospelý, láska, pusa, pár, rande, romanca, romantika, srdce, svetlý tón pleti, tmavý tón pleti, výročie
🧑🏿‍❤‍💋‍🧑🏼	bozk, bozk: dospelý, dospelý, tmavý tón pleti, stredne svetlý tón pleti, dospelý, láska, pusa, pár, rande, romanca, romantika, srdce, stredne svetlý tón pleti, tmavý tón pleti, výročie
🧑🏿‍❤‍💋‍🧑🏽	bozk, bozk: dospelý, dospelý, tmavý tón pleti, stredný tón pleti, dospelý, láska, pusa, pár, rande, romanca, romantika, srdce, stredný tón pleti, tmavý tón pleti, výročie
🧑🏿‍❤‍💋‍🧑🏾	bozk, bozk: dospelý, dospelý, tmavý tón pleti, stredne tmavý tón pleti, dospelý, láska, pusa, pár, rande, romanca, romantika, srdce, stredne tmavý tón pleti, tmavý tón pleti, výročie
🧑🏻‍❤‍🧑🏼	bozk, dospelý, dvojica, láska, pusa, pár, pár so srdcom, pár so srdcom: dospelý, dospelý, svetlý tón pleti, stredne svetlý tón pleti, rande, romanca, srdce, stredne svetlý tón pleti, svetlý tón pleti, výročie
🧑🏻‍❤‍🧑🏽	bozk, dospelý, dvojica, láska, pusa, pár, pár so srdcom, pár so srdcom: dospelý, dospelý, svetlý tón pleti, stredný tón pleti, rande, romanca, srdce, stredný tón pleti, svetlý tón pleti, výročie
🧑🏻‍❤‍🧑🏾	bozk, dospelý, dvojica, láska, pusa, pár, pár so srdcom, pár so srdcom: dospelý, dospelý, svetlý tón pleti, stredne tmavý tón pleti, rande, romanca, srdce, stredne tmavý tón pleti, svetlý tón pleti, výročie
🧑🏻‍❤‍🧑🏿	bozk, dospelý, dvojica, láska, pusa, pár, pár so srdcom, pár so srdcom: dospelý, dospelý, svetlý tón pleti, tmavý tón pleti, rande, romanca, srdce, svetlý tón pleti, tmavý tón pleti, výročie
🧑🏼‍❤‍🧑🏻	bozk, dospelý, dvojica, láska, pusa, pár, pár so srdcom, pár so srdcom: dospelý, dospelý, stredne svetlý tón pleti, svetlý tón pleti, rande, romanca, srdce, stredne svetlý tón pleti, svetlý tón pleti, výročie
🧑🏼‍❤‍🧑🏽	bozk, dospelý, dvojica, láska, pusa, pár, pár so srdcom, pár so srdcom: dospelý, dospelý, stredne svetlý tón pleti, stredný tón pleti, rande, romanca, srdce, stredne svetlý tón pleti, stredný tón pleti, výročie
🧑🏼‍❤‍🧑🏾	bozk, dospelý, dvojica, láska, pusa, pár, pár so srdcom, pár so srdcom: dospelý, dospelý, stredne svetlý tón pleti, stredne tmavý tón pleti, rande, romanca, srdce, stredne svetlý tón pleti, stredne tmavý tón pleti, výročie
🧑🏼‍❤‍🧑🏿	bozk, dospelý, dvojica, láska, pusa, pár, pár so srdcom, pár so srdcom: dospelý, dospelý, stredne svetlý tón pleti, tmavý tón pleti, rande, romanca, srdce, stredne svetlý tón pleti, tmavý tón pleti, výročie
🧑🏽‍❤‍🧑🏻	bozk, dospelý, dvojica, láska, pusa, pár, pár so srdcom, pár so srdcom: dospelý, dospelý, stredný tón pleti, svetlý tón pleti, rande, romanca, srdce, stredný tón pleti, svetlý tón pleti, výročie
🧑🏽‍❤‍🧑🏼	bozk, dospelý, dvojica, láska, pusa, pár, pár so srdcom, pár so srdcom: dospelý, dospelý, stredný tón pleti, stredne svetlý tón pleti, rande, romanca, srdce, stredne svetlý tón pleti, stredný tón pleti, výročie
🧑🏽‍❤‍🧑🏾	bozk, dospelý, dvojica, láska, pusa, pár, pár so srdcom, pár so srdcom: dospelý, dospelý, stredný tón pleti, stredne tmavý tón pleti, rande, romanca, srdce, stredne tmavý tón pleti, stredný tón pleti, výročie
🧑🏽‍❤‍🧑🏿	bozk, dospelý, dvojica, láska, pusa, pár, pár so srdcom, pár so srdcom: dospelý, dospelý, stredný tón pleti, tmavý tón pleti, rande, romanca, srdce, stredný tón pleti, tmavý tón pleti, výročie
🧑🏾‍❤‍🧑🏻	bozk, dospelý, dvojica, láska, pusa, pár, pár so srdcom, pár so srdcom: dospelý, dospelý, stredne tmavý tón pleti, svetlý tón pleti, rande, romanca, srdce, stredne tmavý tón pleti, svetlý tón pleti, výročie
🧑🏾‍❤‍🧑🏼	bozk, dospelý, dvojica, láska, pusa, pár, pár so srdcom, pár so srdcom: dospelý, dospelý, stredne tmavý tón pleti, stredne svetlý tón pleti, rande, romanca, srdce, stredne svetlý tón pleti, stredne tmavý tón pleti, výročie
🧑🏾‍❤‍🧑🏽	bozk, dospelý, dvojica, láska, pusa, pár, pár so srdcom, pár so srdcom: dospelý, dospelý, stredne tmavý tón pleti, stredný tón pleti, rande, romanca, srdce, stredne tmavý tón pleti, stredný tón pleti, výročie
🧑🏾‍❤‍🧑🏿	bozk, dospelý, dvojica, láska, pusa, pár, pár so srdcom, pár so srdcom: dospelý, dospelý, stredne tmavý tón pleti, tmavý tón pleti, rande, romanca, srdce, stredne tmavý tón pleti, tmavý tón pleti, výročie
🧑🏿‍❤‍🧑🏻	bozk, dospelý, dvojica, láska, pusa, pár, pár so srdcom, pár so srdcom: dospelý, dospelý, tmavý tón pleti, svetlý tón pleti, rande, romanca, srdce, svetlý tón pleti, tmavý tón pleti, výročie
🧑🏿‍❤‍🧑🏼	bozk, dospelý, dvojica, láska, pusa, pár, pár so srdcom, pár so srdcom: dospelý, dospelý, tmavý tón pleti, stredne svetlý tón pleti, rande, romanca, srdce, stredne svetlý tón pleti, tmavý tón pleti, výročie
🧑🏿‍❤‍🧑🏽	bozk, dospelý, dvojica, láska, pusa, pár, pár so srdcom, pár so srdcom: dospelý, dospelý, tmavý tón pleti, stredný tón pleti, rande, romanca, srdce, stredný tón pleti, tmavý tón pleti, výročie
🧑🏿‍❤‍🧑🏾	bozk, dospelý, dvojica, láska, pusa, pár, pár so srdcom, pár so srdcom: dospelý, dospelý, tmavý tón pleti, stredne tmavý tón pleti, rande, romanca, srdce, stredne tmavý tón pleti, tmavý tón pleti, výročie
🧑‍🦰	dospelá, dospelý, dospelý: ryšavé vlasy, osoba, ryšavé vlasy, človek
🧑🏻‍🦰	dospelá, dospelý, dospelý: svetlý tón pleti, ryšavé vlasy, osoba, ryšavé vlasy, svetlý tón pleti, človek
🧑🏼‍🦰	dospelá, dospelý, dospelý: stredne svetlý tón pleti, ryšavé vlasy, osoba, ryšavé vlasy, stredne svetlý tón pleti, človek
🧑🏽‍🦰	dospelá, dospelý, dospelý: stredný tón pleti, ryšavé vlasy, osoba, ryšavé vlasy, stredný tón pleti, človek
🧑🏾‍🦰	dospelá, dospelý, dospelý: stredne tmavý tón pleti, ryšavé vlasy, osoba, ryšavé vlasy, stredne tmavý tón pleti, človek
🧑🏿‍🦰	dospelá, dospelý, dospelý: tmavý tón pleti, ryšavé vlasy, osoba, ryšavé vlasy, tmavý tón pleti, človek
🧑‍🦱	dospelá, dospelý, dospelý: kučeravé vlasy, kučeravé vlasy, osoba, človek
🧑🏻‍🦱	dospelá, dospelý, dospelý: svetlý tón pleti, kučeravé vlasy, kučeravé vlasy, osoba, svetlý tón pleti, človek
🧑🏼‍🦱	dospelá, dospelý, dospelý: stredne svetlý tón pleti, kučeravé vlasy, kučeravé vlasy, osoba, stredne svetlý tón pleti, človek
🧑🏽‍🦱	dospelá, dospelý, dospelý: stredný tón pleti, kučeravé vlasy, kučeravé vlasy, osoba, stredný tón pleti, človek
🧑🏾‍🦱	dospelá, dospelý, dospelý: stredne tmavý tón pleti, kučeravé vlasy, kučeravé vlasy, osoba, stredne tmavý tón pleti, človek
🧑🏿‍🦱	dospelá, dospelý, dospelý: tmavý tón pleti, kučeravé vlasy, kučeravé vlasy, osoba, tmavý tón pleti, človek
🧑‍🦳	dospelá, dospelý, dospelý: sivé vlasy, osoba, sivé vlasy, človek
🧑🏻‍🦳	dospelá, dospelý, dospelý: svetlý tón pleti, sivé vlasy, osoba, sivé vlasy, svetlý tón pleti, človek
🧑🏼‍🦳	dospelá, dospelý, dospelý: stredne svetlý tón pleti, sivé vlasy, osoba, sivé vlasy, stredne svetlý tón pleti, človek
🧑🏽‍🦳	dospelá, dospelý, dospelý: stredný tón pleti, sivé vlasy, osoba, sivé vlasy, stredný tón pleti, človek
🧑🏾‍🦳	dospelá, dospelý, dospelý: stredne tmavý tón pleti, sivé vlasy, osoba, sivé vlasy, stredne tmavý tón pleti, človek
🧑🏿‍🦳	dospelá, dospelý, dospelý: tmavý tón pleti, sivé vlasy, osoba, sivé vlasy, tmavý tón pleti, človek
🧑‍🦲	dospelá, dospelý, dospelý: holá hlava, holá hlava, osoba, človek
🧑🏻‍🦲	dospelá, dospelý, dospelý: svetlý tón pleti, holá hlava, holá hlava, osoba, svetlý tón pleti, človek
🧑🏼‍🦲	dospelá, dospelý, dospelý: stredne svetlý tón pleti, holá hlava, holá hlava, osoba, stredne svetlý tón pleti, človek
🧑🏽‍🦲	dospelá, dospelý, dospelý: stredný tón pleti, holá hlava, holá hlava, osoba, stredný tón pleti, človek
🧑🏾‍🦲	dospelá, dospelý, dospelý: stredne tmavý tón pleti, holá hlava, holá hlava, osoba, stredne tmavý tón pleti, človek
🧑🏿‍🦲	dospelá, dospelý, dospelý: tmavý tón pleti, holá hlava, holá hlava, osoba, tmavý tón pleti, človek
👨	brat, chlap, dospelý, kamarát, muž, osoba, priateľ
👨🏻	brat, chlap, dospelý, kamarát, muž, muž: svetlý tón pleti, osoba, priateľ, svetlý tón pleti
