‾	oorheendruk, oorstreep, vinkulum
👩🏿‍❤‍👨🏼	donker velkleur, ek en jy, hartjie, herinneringsdag, liefde, man, medium-ligte velkleur, paartjie, paartjie met hartjie, paartjie met hartjie: vrou, man, donker velkleur, medium-ligte velkleur, romanse, soen, vrou
👩🏿‍❤‍👨🏽	donker velkleur, ek en jy, hartjie, herinneringsdag, liefde, man, medium velkleur, paartjie, paartjie met hartjie, paartjie met hartjie: vrou, man, donker velkleur, medium velkleur, romanse, soen, vrou
👩🏿‍❤‍👨🏾	donker velkleur, ek en jy, hartjie, herinneringsdag, liefde, man, medium-donker velkleur, paartjie, paartjie met hartjie, paartjie met hartjie: vrou, man, donker velkleur, medium-donker velkleur, romanse, soen, vrou
👩🏿‍❤‍👨🏿	donker velkleur, ek en jy, hartjie, herinneringsdag, liefde, man, paartjie, paartjie met hartjie, paartjie met hartjie: vrou, man, donker velkleur, romanse, soen, vrou
👩🏻‍❤‍👩🏻	ek en jy, hartjie, herinneringsdag, liefde, ligte velkleur, paartjie, paartjie met hartjie, paartjie met hartjie: vrou, vrou, ligte velkleur, romanse, soen, vrou
👩🏻‍❤‍👩🏼	ek en jy, hartjie, herinneringsdag, liefde, ligte velkleur, medium-ligte velkleur, paartjie, paartjie met hartjie, paartjie met hartjie: vrou, vrou, ligte velkleur, medium-ligte velkleur, romanse, soen, vrou
👩🏻‍❤‍👩🏽	ek en jy, hartjie, herinneringsdag, liefde, ligte velkleur, medium velkleur, paartjie, paartjie met hartjie, paartjie met hartjie: vrou, vrou, ligte velkleur, medium velkleur, romanse, soen, vrou
👩🏻‍❤‍👩🏾	ek en jy, hartjie, herinneringsdag, liefde, ligte velkleur, medium-donker velkleur, paartjie, paartjie met hartjie, paartjie met hartjie: vrou, vrou, ligte velkleur, medium-donker velkleur, romanse, soen, vrou
👩🏻‍❤‍👩🏿	donker velkleur, ek en jy, hartjie, herinneringsdag, liefde, ligte velkleur, paartjie, paartjie met hartjie, paartjie met hartjie: vrou, vrou, ligte velkleur, donker velkleur, romanse, soen, vrou
👩🏼‍❤‍👩🏻	ek en jy, hartjie, herinneringsdag, liefde, ligte velkleur, medium-ligte velkleur, paartjie, paartjie met hartjie, paartjie met hartjie: vrou, vrou, medium-ligte velkleur, ligte velkleur, romanse, soen, vrou
👩🏼‍❤‍👩🏼	ek en jy, hartjie, herinneringsdag, liefde, medium-ligte velkleur, paartjie, paartjie met hartjie, paartjie met hartjie: vrou, vrou, medium-ligte velkleur, romanse, soen, vrou
👩🏼‍❤‍👩🏽	ek en jy, hartjie, herinneringsdag, liefde, medium velkleur, medium-ligte velkleur, paartjie, paartjie met hartjie, paartjie met hartjie: vrou, vrou, medium-ligte velkleur, medium velkleur, romanse, soen, vrou
👩🏼‍❤‍👩🏾	ek en jy, hartjie, herinneringsdag, liefde, medium-donker velkleur, medium-ligte velkleur, paartjie, paartjie met hartjie, paartjie met hartjie: vrou, vrou, medium-ligte velkleur, medium-donker velkleur, romanse, soen, vrou
👩🏼‍❤‍👩🏿	donker velkleur, ek en jy, hartjie, herinneringsdag, liefde, medium-ligte velkleur, paartjie, paartjie met hartjie, paartjie met hartjie: vrou, vrou, medium-ligte velkleur, donker velkleur, romanse, soen, vrou
👩🏽‍❤‍👩🏻	ek en jy, hartjie, herinneringsdag, liefde, ligte velkleur, medium velkleur, paartjie, paartjie met hartjie, paartjie met hartjie: vrou, vrou, medium velkleur, ligte velkleur, romanse, soen, vrou
👩🏽‍❤‍👩🏼	ek en jy, hartjie, herinneringsdag, liefde, medium velkleur, medium-ligte velkleur, paartjie, paartjie met hartjie, paartjie met hartjie: vrou, vrou, medium velkleur, medium-ligte velkleur, romanse, soen, vrou
👩🏽‍❤‍👩🏽	ek en jy, hartjie, herinneringsdag, liefde, medium velkleur, paartjie, paartjie met hartjie, paartjie met hartjie: vrou, vrou, medium velkleur, romanse, soen, vrou
👩🏽‍❤‍👩🏾	ek en jy, hartjie, herinneringsdag, liefde, medium velkleur, medium-donker velkleur, paartjie, paartjie met hartjie, paartjie met hartjie: vrou, vrou, medium velkleur, medium-donker velkleur, romanse, soen, vrou
👩🏽‍❤‍👩🏿	donker velkleur, ek en jy, hartjie, herinneringsdag, liefde, medium velkleur, paartjie, paartjie met hartjie, paartjie met hartjie: vrou, vrou, medium velkleur, donker velkleur, romanse, soen, vrou
👩🏾‍❤‍👩🏻	ek en jy, hartjie, herinneringsdag, liefde, ligte velkleur, medium-donker velkleur, paartjie, paartjie met hartjie, paartjie met hartjie: vrou, vrou, medium-donker velkleur, ligte velkleur, romanse, soen, vrou
👩🏾‍❤‍👩🏼	ek en jy, hartjie, herinneringsdag, liefde, medium-donker velkleur, medium-ligte velkleur, paartjie, paartjie met hartjie, paartjie met hartjie: vrou, vrou, medium-donker velkleur, medium-ligte velkleur, romanse, soen, vrou
👩🏾‍❤‍👩🏽	ek en jy, hartjie, herinneringsdag, liefde, medium velkleur, medium-donker velkleur, paartjie, paartjie met hartjie, paartjie met hartjie: vrou, vrou, medium-donker velkleur, medium velkleur, romanse, soen, vrou
👩🏾‍❤‍👩🏾	ek en jy, hartjie, herinneringsdag, liefde, medium-donker velkleur, paartjie, paartjie met hartjie, paartjie met hartjie: vrou, vrou, medium-donker velkleur, romanse, soen, vrou
👩🏾‍❤‍👩🏿	donker velkleur, ek en jy, hartjie, herinneringsdag, liefde, medium-donker velkleur, paartjie, paartjie met hartjie, paartjie met hartjie: vrou, vrou, medium-donker velkleur, donker velkleur, romanse, soen, vrou
👩🏿‍❤‍👩🏻	donker velkleur, ek en jy, hartjie, herinneringsdag, liefde, ligte velkleur, paartjie, paartjie met hartjie, paartjie met hartjie: vrou, vrou, donker velkleur, ligte velkleur, romanse, soen, vrou
👩🏿‍❤‍👩🏼	donker velkleur, ek en jy, hartjie, herinneringsdag, liefde, medium-ligte velkleur, paartjie, paartjie met hartjie, paartjie met hartjie: vrou, vrou, donker velkleur, medium-ligte velkleur, romanse, soen, vrou
👩🏿‍❤‍👩🏽	donker velkleur, ek en jy, hartjie, herinneringsdag, liefde, medium velkleur, paartjie, paartjie met hartjie, paartjie met hartjie: vrou, vrou, donker velkleur, medium velkleur, romanse, soen, vrou
👩🏿‍❤‍👩🏾	donker velkleur, ek en jy, hartjie, herinneringsdag, liefde, medium-donker velkleur, paartjie, paartjie met hartjie, paartjie met hartjie: vrou, vrou, donker velkleur, medium-donker velkleur, romanse, soen, vrou
👩🏿‍❤‍👩🏿	donker velkleur, ek en jy, hartjie, herinneringsdag, liefde, paartjie, paartjie met hartjie, paartjie met hartjie: vrou, vrou, donker velkleur, romanse, soen, vrou
👩‍🦰	blond, blondine, dame, haarsny, rooi hare, volwassene, vrou, vrou: rooi hare
👩🏻‍🦰	blond, blondine, dame, haarsny, ligte velkleur, rooi hare, volwassene, vrou, vrou: ligte velkleur, rooi hare
👩🏼‍🦰	blond, blondine, dame, haarsny, medium-ligte velkleur, rooi hare, volwassene, vrou, vrou: medium-ligte velkleur, rooi hare
👩🏽‍🦰	blond, blondine, dame, haarsny, medium velkleur, rooi hare, volwassene, vrou, vrou: medium velkleur, rooi hare
👩🏾‍🦰	blond, blondine, dame, haarsny, medium-donker velkleur, rooi hare, volwassene, vrou, vrou: medium-donker velkleur, rooi hare
👩🏿‍🦰	blond, blondine, dame, donker velkleur, haarsny, rooi hare, volwassene, vrou, vrou: donker velkleur, rooi hare
👩‍🦱	blond, blondine, dame, haarsny, krulhare, volwassene, vrou, vrou: krulhare
👩🏻‍🦱	blond, blondine, dame, haarsny, krulhare, ligte velkleur, volwassene, vrou, vrou: ligte velkleur, krulhare
👩🏼‍🦱	blond, blondine, dame, haarsny, krulhare, medium-ligte velkleur, volwassene, vrou, vrou: medium-ligte velkleur, krulhare
👩🏽‍🦱	blond, blondine, dame, haarsny, krulhare, medium velkleur, volwassene, vrou, vrou: medium velkleur, krulhare
👩🏾‍🦱	blond, blondine, dame, haarsny, krulhare, medium-donker velkleur, volwassene, vrou, vrou: medium-donker velkleur, krulhare
👩🏿‍🦱	blond, blondine, dame, donker velkleur, haarsny, krulhare, volwassene, vrou, vrou: donker velkleur, krulhare
👩‍🦳	blond, blondine, dame, haarsny, volwassene, vrou, vrou: wit hare, wit hare
👩🏻‍🦳	blond, blondine, dame, haarsny, ligte velkleur, volwassene, vrou, vrou: ligte velkleur, wit hare, wit hare
👩🏼‍🦳	blond, blondine, dame, haarsny, medium-ligte velkleur, volwassene, vrou, vrou: medium-ligte velkleur, wit hare, wit hare
👩🏽‍🦳	blond, blondine, dame, haarsny, medium velkleur, volwassene, vrou, vrou: medium velkleur, wit hare, wit hare
👩🏾‍🦳	blond, blondine, dame, haarsny, medium-donker velkleur, volwassene, vrou, vrou: medium-donker velkleur, wit hare, wit hare
👩🏿‍🦳	blond, blondine, dame, donker velkleur, haarsny, volwassene, vrou, vrou: donker velkleur, wit hare, wit hare
👩‍🦲	bles, blond, blondine, dame, haarsny, volwassene, vrou, vrou: bles
👩🏻‍🦲	bles, blond, blondine, dame, haarsny, ligte velkleur, volwassene, vrou, vrou: ligte velkleur, bles
👩🏼‍🦲	bles, blond, blondine, dame, haarsny, medium-ligte velkleur, volwassene, vrou, vrou: medium-ligte velkleur, bles
👩🏽‍🦲	bles, blond, blondine, dame, haarsny, medium velkleur, volwassene, vrou, vrou: medium velkleur, bles
👩🏾‍🦲	bles, blond, blondine, dame, haarsny, medium-donker velkleur, volwassene, vrou, vrou: medium-donker velkleur, bles
👩🏿‍🦲	bles, blond, blondine, dame, donker velkleur, haarsny, volwassene, vrou, vrou: donker velkleur, bles
🧓	bejaarde, geslagneutraal, ongespesifiseerde geslag, oud, ouer persoon, ouer volwassene, volwassene
🧓🏻	bejaarde, geslagneutraal, ligte velkleur, ongespesifiseerde geslag, oud, ouer persoon, ouer volwassene, ouer volwassene: ligte velkleur, volwassene
🧓🏼	bejaarde, geslagneutraal, medium-ligte velkleur, ongespesifiseerde geslag, oud, ouer persoon, ouer volwassene, ouer volwassene: medium-ligte velkleur, volwassene
🧓🏽	bejaarde, geslagneutraal, medium velkleur, ongespesifiseerde geslag, oud, ouer persoon, ouer volwassene, ouer volwassene: medium velkleur, volwassene
🧓🏾	bejaarde, geslagneutraal, medium-donker velkleur, ongespesifiseerde geslag, oud, ouer persoon, ouer volwassene, ouer volwassene: medium-donker velkleur, volwassene
🧓🏿	bejaarde, donker velkleur, geslagneutraal, ongespesifiseerde geslag, oud, ouer persoon, ouer volwassene, ouer volwassene: donker velkleur, volwassene
👴	bejaarde, bles, hare val uit, man, ou man, ouballie, oud, oupa, wys
👴🏻	bejaarde, bles, hare val uit, ligte velkleur, man, ou man, ou man: ligte velkleur, ouballie, oud, oupa, wys
👴🏼	bejaarde, bles, hare val uit, man, medium-ligte velkleur, ou man, ou man: medium-ligte velkleur, ouballie, oud, oupa, wys
👴🏽	bejaarde, bles, hare val uit, man, medium velkleur, ou man, ou man: medium velkleur, ouballie, oud, oupa, wys
👴🏾	bejaarde, bles, hare val uit, man, medium-donker velkleur, ou man, ou man: medium-donker velkleur, ouballie, oud, oupa, wys
👴🏿	bejaarde, bles, donker velkleur, hare val uit, man, ou man, ou man: donker velkleur, ouballie, oud, oupa, wys
👵	blondine, dame, ou vrou, oud, ouma, oumie, volwassene, vrou, wys, wyse vrou
👵🏻	blondine, dame, ligte velkleur, ou vrou, ou vrou: ligte velkleur, oud, ouma, oumie, volwassene, vrou, wys, wyse vrou
👵🏼	blondine, dame, medium-ligte velkleur, ou vrou, ou vrou: medium-ligte velkleur, oud, ouma, oumie, volwassene, vrou, wys, wyse vrou
👵🏽	blondine, dame, medium velkleur, ou vrou, ou vrou: medium velkleur, oud, ouma, oumie, volwassene, vrou, wys, wyse vrou
👵🏾	blondine, dame, medium-donker velkleur, ou vrou, ou vrou: medium-donker velkleur, oud, ouma, oumie, volwassene, vrou, wys, wyse vrou
👵🏿	blondine, dame, donker velkleur, ou vrou, ou vrou: donker velkleur, oud, ouma, oumie, volwassene, vrou, wys, wyse vrou
🙍	brommerig, frons, frustrasie, gebaar, gefrustreerd, ongelukkig, ontevrede, ontsteld, persoon frons, persoon wat frons, teleurgesteld, vrou frons
🙍🏻	brommerig, frons, frustrasie, gebaar, gefrustreerd, ligte velkleur, ongelukkig, ontevrede, ontsteld, persoon frons, persoon wat frons, persoon wat frons: ligte velkleur, teleurgesteld, vrou frons
🙍🏼	brommerig, frons, frustrasie, gebaar, gefrustreerd, medium-ligte velkleur, ongelukkig, ontevrede, ontsteld, persoon frons, persoon wat frons, persoon wat frons: medium-ligte velkleur, teleurgesteld, vrou frons
🙍🏽	brommerig, frons, frustrasie, gebaar, gefrustreerd, medium velkleur, ongelukkig, ontevrede, ontsteld, persoon frons, persoon wat frons, persoon wat frons: medium velkleur, teleurgesteld, vrou frons
🙍🏾	brommerig, frons, frustrasie, gebaar, gefrustreerd, medium-donker velkleur, ongelukkig, ontevrede, ontsteld, persoon frons, persoon wat frons, persoon wat frons: medium-donker velkleur, teleurgesteld, vrou frons
🙍🏿	brommerig, donker velkleur, frons, frustrasie, gebaar, gefrustreerd, ongelukkig, ontevrede, ontsteld, persoon frons, persoon wat frons, persoon wat frons: donker velkleur, teleurgesteld, vrou frons
🙍‍♂	frons, gebaar, knorrig, man wat frons, ongelukkig, ontevrede
🙍🏻‍♂	frons, gebaar, knorrig, ligte velkleur, man wat frons, man wat frons: ligte velkleur, ongelukkig, ontevrede
🙍🏼‍♂	frons, gebaar, knorrig, man wat frons, man wat frons: medium-ligte velkleur, medium-ligte velkleur, ongelukkig, ontevrede
🙍🏽‍♂	frons, gebaar, knorrig, man wat frons, man wat frons: medium velkleur, medium velkleur, ongelukkig, ontevrede
🙍🏾‍♂	frons, gebaar, knorrig, man wat frons, man wat frons: medium-donker velkleur, medium-donker velkleur, ongelukkig, ontevrede
🙍🏿‍♂	donker velkleur, frons, gebaar, knorrig, man wat frons, man wat frons: donker velkleur, ongelukkig, ontevrede
🙍‍♀	frons, gebaar, ongelukkig, vrou wat frons
🙍🏻‍♀	frons, gebaar, ligte velkleur, ongelukkig, vrou wat frons, vrou wat frons: ligte velkleur
🙍🏼‍♀	frons, gebaar, medium-ligte velkleur, ongelukkig, vrou wat frons, vrou wat frons: medium-ligte velkleur
🙍🏽‍♀	frons, gebaar, medium velkleur, ongelukkig, vrou wat frons, vrou wat frons: medium velkleur
🙍🏾‍♀	frons, gebaar, medium-donker velkleur, ongelukkig, vrou wat frons, vrou wat frons: medium-donker velkleur
🙍🏿‍♀	donker velkleur, frons, gebaar, ongelukkig, vrou wat frons, vrou wat frons: donker velkleur
🙎	dikbek, dikbek persoon, dikbekpersoon, frons, gebaar, kerm, ontsteld, persoon pruil, teleurgesteld, tuitmond, vrou pruil
🙎🏻	dikbek, dikbek persoon, dikbek persoon: ligte velkleur, dikbekpersoon, frons, gebaar, kerm, ligte velkleur, ontsteld, persoon pruil, teleurgesteld, tuitmond, vrou pruil
🙎🏼	dikbek, dikbek persoon, dikbek persoon: medium-ligte velkleur, dikbekpersoon, frons, gebaar, kerm, medium-ligte velkleur, ontsteld, persoon pruil, teleurgesteld, tuitmond, vrou pruil
🙎🏽	dikbek, dikbek persoon, dikbek persoon: medium velkleur, dikbekpersoon, frons, gebaar, kerm, medium velkleur, ontsteld, persoon pruil, teleurgesteld, tuitmond, vrou pruil
🙎🏾	dikbek, dikbek persoon, dikbek persoon: medium-donker velkleur, dikbekpersoon, frons, gebaar, kerm, medium-donker velkleur, ontsteld, persoon pruil, teleurgesteld, tuitmond, vrou pruil
🙎🏿	dikbek, dikbek persoon, dikbek persoon: donker velkleur, dikbekpersoon, donker velkleur, frons, gebaar, kerm, ontsteld, persoon pruil, teleurgesteld, tuitmond, vrou pruil
🙎‍♂	dikbek, dikbek man, dikmond, gebaar, man maak dikmond, pruil, suur gesig
🙎🏻‍♂	dikbek, dikbek man, dikbek man: ligte velkleur, dikmond, gebaar, ligte velkleur, man maak dikmond, pruil, suur gesig
🙎🏼‍♂	dikbek, dikbek man, dikbek man: medium-ligte velkleur, dikmond, gebaar, man maak dikmond, medium-ligte velkleur, pruil, suur gesig
🙎🏽‍♂	dikbek, dikbek man, dikbek man: medium velkleur, dikmond, gebaar, man maak dikmond, medium velkleur, pruil, suur gesig
🙎🏾‍♂	dikbek, dikbek man, dikbek man: medium-donker velkleur, dikmond, gebaar, man maak dikmond, medium-donker velkleur, pruil, suur gesig
🙎🏿‍♂	dikbek, dikbek man, dikbek man: donker velkleur, dikmond, donker velkleur, gebaar, man maak dikmond, pruil, suur gesig
🙎‍♀	dikbek, dikbek vrou, gebaar
🙎🏻‍♀	dikbek, dikbek vrou, dikbek vrou: ligte velkleur, gebaar, ligte velkleur
🙎🏼‍♀	dikbek, dikbek vrou, dikbek vrou: medium-ligte velkleur, gebaar, medium-ligte velkleur
🙎🏽‍♀	dikbek, dikbek vrou, dikbek vrou: medium velkleur, gebaar, medium velkleur
🙎🏾‍♀	dikbek, dikbek vrou, dikbek vrou: medium-donker velkleur, gebaar, medium-donker velkleur
🙎🏿‍♀	dikbek, dikbek vrou, dikbek vrou: donker velkleur, donker velkleur, gebaar
🙅	gebaar, hand, keer, nee, nie, persoon wat NEE wys, persoon wat wys NEE, persoon wys NEE, uitsluit, verbied, verbode, vrou wys NEE, wys nee
🙅🏻	gebaar, hand, keer, ligte velkleur, nee, nie, persoon wat NEE wys, persoon wat NEE wys: ligte velkleur, persoon wat wys NEE, persoon wys NEE, uitsluit, verbied, verbode, vrou wys NEE, wys nee
🙅🏼	gebaar, hand, keer, medium-ligte velkleur, nee, nie, persoon wat NEE wys, persoon wat NEE wys: medium-ligte velkleur, persoon wat wys NEE, persoon wys NEE, uitsluit, verbied, verbode, vrou wys NEE, wys nee
🙅🏽	gebaar, hand, keer, medium velkleur, nee, nie, persoon wat NEE wys, persoon wat NEE wys: medium velkleur, persoon wat wys NEE, persoon wys NEE, uitsluit, verbied, verbode, vrou wys NEE, wys nee
🙅🏾	gebaar, hand, keer, medium-donker velkleur, nee, nie, persoon wat NEE wys, persoon wat NEE wys: medium-donker velkleur, persoon wat wys NEE, persoon wys NEE, uitsluit, verbied, verbode, vrou wys NEE, wys nee
🙅🏿	donker velkleur, gebaar, hand, keer, nee, nie, persoon wat NEE wys, persoon wat NEE wys: donker velkleur, persoon wat wys NEE, persoon wys NEE, uitsluit, verbied, verbode, vrou wys NEE, wys nee
🙅‍♂	gebaar, hand, man, man wys NEE, nee, verbied, verbode, wys nee
🙅🏻‍♂	gebaar, hand, ligte velkleur, man, man wys NEE, man wys NEE: ligte velkleur, nee, verbied, verbode, wys nee
🙅🏼‍♂	gebaar, hand, man, man wys NEE, man wys NEE: medium-ligte velkleur, medium-ligte velkleur, nee, verbied, verbode, wys nee
🙅🏽‍♂	gebaar, hand, man, man wys NEE, man wys NEE: medium velkleur, medium velkleur, nee, verbied, verbode, wys nee
🙅🏾‍♂	gebaar, hand, man, man wys NEE, man wys NEE: medium-donker velkleur, medium-donker velkleur, nee, verbied, verbode, wys nee
🙅🏿‍♂	donker velkleur, gebaar, hand, man, man wys NEE, man wys NEE: donker velkleur, nee, verbied, verbode, wys nee
🙅‍♀	gebaar, hand, nee, verbied, verbode, vrou, vrou wys NEE, wys nee
🙅🏻‍♀	gebaar, hand, ligte velkleur, nee, verbied, verbode, vrou, vrou wys NEE, vrou wys NEE: ligte velkleur, wys nee
🙅🏼‍♀	gebaar, hand, medium-ligte velkleur, nee, verbied, verbode, vrou, vrou wys NEE, vrou wys NEE: medium-ligte velkleur, wys nee
🙅🏽‍♀	gebaar, hand, medium velkleur, nee, verbied, verbode, vrou, vrou wys NEE, vrou wys NEE: medium velkleur, wys nee
🙅🏾‍♀	gebaar, hand, medium-donker velkleur, nee, verbied, verbode, vrou, vrou wys NEE, vrou wys NEE: medium-donker velkleur, wys nee
🙅🏿‍♀	donker velkleur, gebaar, hand, nee, verbied, verbode, vrou, vrou wys NEE, vrou wys NEE: donker velkleur, wys nee
🙆	OK, gebaar, genugtig, goed, hand, oefening, ok, oukei, persoon wys als is goed, vrou wys OK, wys goed
🙆🏻	OK, gebaar, genugtig, goed, hand, ligte velkleur, oefening, ok, oukei, persoon wys als is goed, persoon wys als is goed: ligte velkleur, vrou wys OK, wys goed
🙆🏼	OK, gebaar, genugtig, goed, hand, medium-ligte velkleur, oefening, ok, oukei, persoon wys als is goed, persoon wys als is goed: medium-ligte velkleur, vrou wys OK, wys goed
🙆🏽	OK, gebaar, genugtig, goed, hand, medium velkleur, oefening, ok, oukei, persoon wys als is goed, persoon wys als is goed: medium velkleur, vrou wys OK, wys goed
🙆🏾	OK, gebaar, genugtig, goed, hand, medium-donker velkleur, oefening, ok, oukei, persoon wys als is goed, persoon wys als is goed: medium-donker velkleur, vrou wys OK, wys goed
🙆🏿	OK, donker velkleur, gebaar, genugtig, goed, hand, oefening, ok, oukei, persoon wys als is goed, persoon wys als is goed: donker velkleur, vrou wys OK, wys goed
🙆‍♂	OK, gebaar, goed, hand, man, man wys OK, man wys als is goed, oefening, ok, oukei, wys goed
🙆🏻‍♂	OK, gebaar, goed, hand, ligte velkleur, man, man wys OK, man wys als is goed, man wys als is goed: ligte velkleur, oefening, ok, oukei, wys goed
🙆🏼‍♂	OK, gebaar, goed, hand, man, man wys OK, man wys als is goed, man wys als is goed: medium-ligte velkleur, medium-ligte velkleur, oefening, ok, oukei, wys goed
🙆🏽‍♂	OK, gebaar, goed, hand, man, man wys OK, man wys als is goed, man wys als is goed: medium velkleur, medium velkleur, oefening, ok, oukei, wys goed
🙆🏾‍♂	OK, gebaar, goed, hand, man, man wys OK, man wys als is goed, man wys als is goed: medium-donker velkleur, medium-donker velkleur, oefening, ok, oukei, wys goed
🙆🏿‍♂	OK, donker velkleur, gebaar, goed, hand, man, man wys OK, man wys als is goed, man wys als is goed: donker velkleur, oefening, ok, oukei, wys goed
🙆‍♀	gebaar, goed, hand, ok, vrou, vrou wys als is goed, wys goed
🙆🏻‍♀	gebaar, goed, hand, ligte velkleur, ok, vrou, vrou wys als is goed, vrou wys als is goed: ligte velkleur, wys goed
🙆🏼‍♀	gebaar, goed, hand, medium-ligte velkleur, ok, vrou, vrou wys als is goed, vrou wys als is goed: medium-ligte velkleur, wys goed
🙆🏽‍♀	gebaar, goed, hand, medium velkleur, ok, vrou, vrou wys als is goed, vrou wys als is goed: medium velkleur, wys goed
🙆🏾‍♀	gebaar, goed, hand, medium-donker velkleur, ok, vrou, vrou wys als is goed, vrou wys als is goed: medium-donker velkleur, wys goed
🙆🏿‍♀	donker velkleur, gebaar, goed, hand, ok, vrou, vrou wys als is goed, vrou wys als is goed: donker velkleur, wys goed
💁	diva, ernstig, fooitjie, gaan haal, hand, help, hulp, inligting, persoon hou hand geknak, persoon wat hand geknak hou, sarkasme, sarkasties, skinder, skrander, vrou hou hand geknak, wat ook al
💁🏻	diva, ernstig, fooitjie, gaan haal, hand, help, hulp, inligting, ligte velkleur, persoon hou hand geknak, persoon hou hand geknak: ligte velkleur, persoon wat hand geknak hou, sarkasme, sarkasties, skinder, skrander, vrou hou hand geknak, wat ook al
💁🏼	diva, ernstig, fooitjie, gaan haal, hand, help, hulp, inligting, medium-ligte velkleur, persoon hou hand geknak, persoon hou hand geknak: medium-ligte velkleur, persoon wat hand geknak hou, sarkasme, sarkasties, skinder, skrander, vrou hou hand geknak, wat ook al
💁🏽	diva, ernstig, fooitjie, gaan haal, hand, help, hulp, inligting, medium velkleur, persoon hou hand geknak, persoon hou hand geknak: medium velkleur, persoon wat hand geknak hou, sarkasme, sarkasties, skinder, skrander, vrou hou hand geknak, wat ook al
💁🏾	diva, ernstig, fooitjie, gaan haal, hand, help, hulp, inligting, medium-donker velkleur, persoon hou hand geknak, persoon hou hand geknak: medium-donker velkleur, persoon wat hand geknak hou, sarkasme, sarkasties, skinder, skrander, vrou hou hand geknak, wat ook al
💁🏿	diva, donker velkleur, ernstig, fooitjie, gaan haal, hand, help, hulp, inligting, persoon hou hand geknak, persoon hou hand geknak: donker velkleur, persoon wat hand geknak hou, sarkasme, sarkasties, skinder, skrander, vrou hou hand geknak, wat ook al
💁‍♂	bring, diva, fooitjie, hand, help, inligting, man, man hou hand geknak, man wat hand geknak hou, parmantig, sarkasme, sarkasties, skinder, skrander, wat ook al
💁🏻‍♂	bring, diva, fooitjie, hand, help, inligting, ligte velkleur, man, man hou hand geknak, man hou hand geknak: ligte velkleur, man wat hand geknak hou, parmantig, sarkasme, sarkasties, skinder, skrander, wat ook al
💁🏼‍♂	bring, diva, fooitjie, hand, help, inligting, man, man hou hand geknak, man hou hand geknak: medium-ligte velkleur, man wat hand geknak hou, medium-ligte velkleur, parmantig, sarkasme, sarkasties, skinder, skrander, wat ook al
💁🏽‍♂	bring, diva, fooitjie, hand, help, inligting, man, man hou hand geknak, man hou hand geknak: medium velkleur, man wat hand geknak hou, medium velkleur, parmantig, sarkasme, sarkasties, skinder, skrander, wat ook al
💁🏾‍♂	bring, diva, fooitjie, hand, help, inligting, man, man hou hand geknak, man hou hand geknak: medium-donker velkleur, man wat hand geknak hou, medium-donker velkleur, parmantig, sarkasme, sarkasties, skinder, skrander, wat ook al
💁🏿‍♂	bring, diva, donker velkleur, fooitjie, hand, help, inligting, man, man hou hand geknak, man hou hand geknak: donker velkleur, man wat hand geknak hou, parmantig, sarkasme, sarkasties, skinder, skrander, wat ook al
💁‍♀	fooitjie, hand, help, inligting, skrander, vrou, vrou hou hand geknak, vrou wat hand geknak hou
💁🏻‍♀	fooitjie, hand, help, inligting, ligte velkleur, skrander, vrou, vrou hou hand geknak, vrou hou hand geknak: ligte velkleur, vrou wat hand geknak hou
💁🏼‍♀	fooitjie, hand, help, inligting, medium-ligte velkleur, skrander, vrou, vrou hou hand geknak, vrou hou hand geknak: medium-ligte velkleur, vrou wat hand geknak hou
💁🏽‍♀	fooitjie, hand, help, inligting, medium velkleur, skrander, vrou, vrou hou hand geknak, vrou hou hand geknak: medium velkleur, vrou wat hand geknak hou
💁🏾‍♀	fooitjie, hand, help, inligting, medium-donker velkleur, skrander, vrou, vrou hou hand geknak, vrou hou hand geknak: medium-donker velkleur, vrou wat hand geknak hou
💁🏿‍♀	donker velkleur, fooitjie, hand, help, inligting, skrander, vrou, vrou hou hand geknak, vrou hou hand geknak: donker velkleur, vrou wat hand geknak hou
🙋	ek, ek kan help, ek weet, gebaar, gelukkig, gelukkige persoon met hand in die lug, hand, hande, hierso, kies my, omhoog, persoon steek hand op, persoon wat hand opsteek, tot siens, vraag, waai
🙋🏻	ek, ek kan help, ek weet, gebaar, gelukkig, gelukkige persoon met hand in die lug, hand, hande, hierso, kies my, ligte velkleur, omhoog, persoon steek hand op, persoon wat hand opsteek, persoon wat hand opsteek: ligte velkleur, tot siens, vraag, waai
🙋🏼	ek, ek kan help, ek weet, gebaar, gelukkig, gelukkige persoon met hand in die lug, hand, hande, hierso, kies my, medium-ligte velkleur, omhoog, persoon steek hand op, persoon wat hand opsteek, persoon wat hand opsteek: medium-ligte velkleur, tot siens, vraag, waai
🙋🏽	ek, ek kan help, ek weet, gebaar, gelukkig, gelukkige persoon met hand in die lug, hand, hande, hierso, kies my, medium velkleur, omhoog, persoon steek hand op, persoon wat hand opsteek, persoon wat hand opsteek: medium velkleur, tot siens, vraag, waai
🙋🏾	ek, ek kan help, ek weet, gebaar, gelukkig, gelukkige persoon met hand in die lug, hand, hande, hierso, kies my, medium-donker velkleur, omhoog, persoon steek hand op, persoon wat hand opsteek, persoon wat hand opsteek: medium-donker velkleur, tot siens, vraag, waai
