👩‍🔬	dubartii, hayyuu fiiziksii, hayyuu herreegaa, injiinera, qorattuu, qorattuu kemistirii, qorattuu lubbu qabeeyyii, saayintistii
👨‍💻	argataa, dhiira, ijaaraa, kompiitera, koodii uumaa, moosaajii, ogeessa teknoloojii
👩‍💻	argattuu, dubartii, ijaartuu, kompiitera, koodii uumtuu, moosaajii, ogeessa teknoloojii
👨‍🎤	bashannansiisaa, dhiira, sirbituu, ta’aa
👩‍🎤	bashannansiistuu, dubartii, sirbituu, taatuu
👨‍🎨	artistii, bakka irratti fakkii kaasan, dhiira
👩‍🎨	artistii, dubartii, paaleetii
👨‍✈	namicha, paayileetii, xiyyaara
👩‍✈	dubartii, paayileetii, xiyyaara
👨‍🚀	astiroonaatii, hawaa, nama, rookkeettii
👩‍🚀	astiroonaatii, dubartii, hawaa, rookkeettii
👨‍🚒	dhiira, hojjetaa balaa ibiddaa, konkolaataa balaa ibiddaa
👩‍🚒	dubartii, hojjettuu balaa ibiddaa, konkolaataa balaa ibiddaa
👮	dhiira, poolisii dhiira, poolisii hojiirra jiru, poolisiii, qondaala, qondaala poolisii
👮‍♀	dubartii, poolisii, qondaala
🕵️	basaasaa, namicha, qorataa yakkaa
🕵‍♀	qorataa, saajin
💂	heelmeentii, landan, masaraa baakingaam, waardiyyaa
💂‍♀	barneexxaa jabaa, dubartii, eegduu, landaan, masaraa mootummaa baakingiim, waardiyyaa
🥷	iccitii, lola, loltuu, lubbuu baasaa, nama, niinjaa, waraana
👷	golgaa mataa, helmeetii, hojii, hojjetaa, hojjetaa ijaarsaa, ijaarsa, ijaaruu, koffiyyaa, nama
👷‍♀	barneexxaa, barneexxaa jabaataa, dubartii, hojii, hojjettuu, hojjettuu ijaarsaa, ijaarsa
🫅	giiftii, giiftii duree, gonfoo, mootii, mootummaa gonfoo, sanyii mootii
🤴	mootii, sanyii mootii
👸	abjaata, giiftii, gonfoo, intala mootii, oduu durii
👳	dhiira shaashii hidhateeru, nama shaashii hidhateeru, shaashii, turbaanii
👳‍♀	dubartii shaashii maratte, shaashii
👲	barneexxaa, namicha, namicha barneexxaa chaayinaa godhate
🧕	bandaanaa, dubartii mataa haguuggatte, hiijaabii, mantiilaa, marata mataa, shaashii mataa, tiicheelii
🤵	dhirsa misirroo, idilee, namicha, taksiidoo
👰	cidha, haguuggii, misirroo, misirroo haguuggii qabdu
🤰	dubartii, ulfa
🫃	haadha, ulfa, ulfaa’uu, ulfeessuu
🫄	deessuu, haadha, quufa, ulfa
🤱	daa’ima, harma, harma hoosisuu, kunuunsuu
👩‍🍼	aayyoo, daa’ima, guddisee, haadha, harmee, jaalala, mucaa, nama, sooruu
👨‍🍼	abbaa, daa’ima, dhiira, guddisee, jaalala, mucaa, nama, namicha, sooruu
🧑‍🍼	abbaa, daa’ima, dubartii, guddisee, harmee, mucaa, nama, namicha, sooruu
👼	abjaataa, ergamaa, ergamaa daa’ima, fuula, mana sagadaa, mucaa, oduu durii
🎅	Ayyaana Qillee, Gannii, Saantaa Kiloos, abbaa, ayyaana qillee, ayyaaneffannaa, kabaja, oduu durii, saantaa
🤶	Ayyaana Qillee, Gannii, ayyaaneffannaa, kabaja
🧑‍🎄	ayyaana, gonfoo, kiriismaasii, kiriistmaasii, meerii kiriismaasii, nama, saantaa, saantaa kilaawus, saantii
🦸	baatmaan, gaarii, goota, goota gootaa, humnoota ol’aanoo, suppeermaan
🦹	amajaajii, gadhee, hammeenya, humna ol’aanaa, humnoota ol’aanoo, jallina, jallinaa hamaa, nama, yakkamaa
🧙	abjuu, falfala, falfalaa, falfaltuu, yaami
🧚	abjuu, baallee, hawwii, sheekoo
🧛	amajaajii, bulguu, dhiiga, ekeraa, haaloweenii, ilkee, sodaachisaa
🧜	afoola, eeboo fiixee sadii, meermeen, meermeeyid, meerpeersen, meerwuumeen, oduu durii, sheekkoo, uumama galaanaa, xurumbaa
🧝	abjuu, falfala, falfaltuu, hawwii
🧞	abjuu, hawwii, nam-jeenii
🧟	ekeraa, haaloweenii, sodaachisaa, zoombee
🧌	bulguu
💆	aara galfachiisaa, aara galfadhu, cinqii, dubartii masaajii fudhattu, fuula, mana miidhaginaa, masaajii, mataa bowwoo, mataa dhukkubbii, nama masaajii fudhatu
💆‍♂	aara-galfii, cinqii, fuula, mana miidhaginaa, masaajii, mataa bowwoo, mataa dhukkubbii, namicha masaajii fudhatu, tasgabbeessuu
💇	bareedina, dubartii rifeensa murattu, mana rifeensaa, miidhagina, nama rifeensa muratu, rifeensa, rifeensa murachuu
💇‍♂	mana rifeensaa, miidhagina, nama rifeensa murachaa jiru, rifeensa, rifeensa murachuu
🚶	deemsa, deemsa miilaa, deemuu, lafoo deemaa, nama miilaan deemaa jiru
🚶‍♀	deemsa, deemsa miillaa, deemuu, dubartii deemaa jirtu, nama miilaan deemu, suuta deemuu, tarkaanfachuu
🧍	dhaabbachuu, dhaabbii, nama dhaabbate
🧎	jilba, jilba kee irratti, jilbeenfachuu, jilbeenffachiisuu, nama jilbeenfate
👨‍🦯	dhaqqabummaa, namicha, namicha ulee akeektuu qabu, qaro-dhabeeyyii
👩‍🦯	dhaqqabummaa, dubartii, dubartii ulee akeektuu qabdu, qaro-dhabeeyyii
👨‍🦼	dhaqqabummaa, namicha, namicha wiilcheerii motoraan hojjetu irraa, wiilcheerii
👩‍🦼	dhaqqabummaa, dubartii, dubartii wiilcheerii motoraan hojjetu irraa, wiilcheerii
👨‍🦽	dhaqqabummaa, namicha, namicha wiilcheerii harkaa oofamu irraa, wiilcheerii
👩‍🦽	dhaqqabummaa, dubartii, dubartii wiilcheerii harkaan oofamu irraa, wiilcheerii
🏃	ariifachuu, ariifadhu, ariifataa, ariitii, arreeduu, dhufaa jira, fiiguu, maraatoonii, nama fiigu, namicha fiigu, saffisa
🏃‍♀	ariifachuu, ariifadhu, ariitii, dafi, dhufaa jira, dubartii fiigaa jirtu, fiigicha, maraatoonii, nama fiigu, saffisa
💃	dubartii, dubartii shubbisaa jirtu, haa shubbisnu, jila, miidhagaa, shubbisa, shubbistuu, shubbisuu, taangoo
🕺	bareedaa, dubartii, jila, nama shubbisaa jiru, shubbisa, shubbisaa, shubbisuu, tango
🕴️	daldala, nama uffata daldalaa uffate, namicha, suufii
👯	dubartii, gurra illeettii, illeettii, lakkuu, qophii, qophii irratti hirmaachuu, shubbistuu, walfakkaattuu
👯‍♂	bashannanuu, dhiirota, gurra illeentii, lakkuu, qohii bashannanaa, shubbisaa
🧖	bashannana, ispaa, ispaa guyyaa, kutaa istiimii, qaalii, saawunaa
🧗	gaara, iskeelii, kattaa yaabbattuu, nama yaabbachaa jiru, ol yaabuu, yaabbachuu, yaabbattuu
🤺	fenserii, fensii taphachuu, sootala
🏇	dorgommii, dorgommii fardaa, farda, gonfoo sadii, ispoortii, nama farda gulufu, yaabbachuu
⛷️	cabbii, cabbiirra konkolaachisaa, nama cabbiirra konkolaachisu
🏂️	cabbii, cabbiirra taphachuu, gabatee cabbiirra ittiin taphatan, ispoortii, nama cabbiirra taphatu
🏌️	dhiira qillee taphataa jiru, golfii, kubbaa, nama qillee taphatu, qillee, tapha sululaa
🏌‍♀	kubbaa, qeera’uu
🏄️	dambalii galaanaa qaxxaamuruu, dambaliiwwan, galaana, handaara galaanaa, ispoortii, nama dambalii galaanaa qaxxaamuru, namicha dambalii galaanaa qaxxaamuru, qarqara galaanaa, sarfiingii
🏄‍♀	dambalii, dubartii dambalii galaanaa irra deemtu, galaana, ispoortii, nama dambalii galaanaa irra deemu, qarqara galaanaa
🚣	bidiruu, doonii, haroo, laga, nama bidiruu oofu, qurxummii kiyyeessuu, qurxummii qabuu
🚣‍♀	bidiruu, bidiruun bishaanirra deemuu, bidiruun qaxxaamuruu, dubartii bidiruun qaxxaamuraa jirtu, haroo, laga, qaxxaamuruu, qurxummii qabuu
🏊️	bishaan daakuu, daaktuu, ispoortii, nama bishaan daaku, namicha bishaan daakaa jiru
🏊‍♀	bishaan daaktuu, bishaan daakuu, dubartii bishaan daaktu, ispoortii
⛹️	atileetii, chaampiyoonii, darbannaa bilisaa, dhiira kubbaa utaalchisaa jiru, kubbaa, kubbaa fudhatanii darbuu, kubbaa kochoo, nama kubbaa utaalchisaa jiru, taphataa kubbaa kochoo
⛹‍♀	kubbaa
🏋️	dhiira ulfaatina kaasaa jiru, ispoortii maashaa jabeessu, maashaa cimsuu, nama ulfaatina kaasaa jiru
🏋‍♀	dubartii ulfaatina kaastu, jabeenya qaamaa, mana ispoortii, ol kaasuu
🚴	biskileetii, ispoortii, nama biskileetii ari’u, nama biskileetii oofu, oofuu
🚴‍♀	biskileettii, dubartii oofaa jirtu, ispoortii, nama biskileettii oofu, oofuu
🚵	atileetiksii, biskileettii, gaara, ispoortii, nama biskileettii gaara irra oofu, nama biskileettii oofu, namicha biskileettii gaara irra oofu, oofuu
🚵‍♀	biskileettii, dubartii biskileettii gaara irra ooftu, gaara, ispoortii, nama biskileettii oofu, oofuu
🤸	gammachuu, gammaduu, garagaluu, jimiinaastikii, naanna’uu, nama, si’aawaa
🤸‍♂	gammadaa, ispoortii, namicha, si’aawaa
🤸‍♀	dubartii, gaggaragaluu, gammachuu, gammaduu, ispoortii, jiminaastikii, kaartiweelii, si’ataa
🤼	dorgommii waldhaansoo, lola, namoota, waldhaansoo, wiirtuu waldhaansoo
🤼‍♂	dhiirota, dorgommii, lola, wal’aansoo, wal’aansoo qabuu, wiirtuu keessa
🤼‍♀	dorgommii, dubartoota, lola, wal’aansoo, wal’aansoo qabuu, wiirtuu keessa
🤽	nama
🤽‍♂	Maarkoo, daakuu, dorgommii bishaan daaktuu, ispoortii bishaan daakuu, namicha
🤽‍♀	Maarkoo, bishaan daakuu, dorgommii bishaan irraa, dubartii, ispoortii bishaanii
🤾	atileetiksii, darboo, dirree, ispoortii, kubbaa, kubbaa harkaa, namicha, qabuu
🤾‍♂	ispoortii, kubbaa, kubbaa harkaa, namicha, taphachuu
🤾‍♀	atileetiksii, darbachuu, dirree kubbaa, dubartii, ispoortii, kubbaa, kubbaa darbuu, kubbaa harkaa, qabuu, taphachuu
🤹	bulchuu, fiigicha, fiiguu, hojii baay’ee, nama, qabuu, waa walmadaalchisuu
🤹‍♂	darbachuu, hojii baay’ee, hojii madaala eeguu, namicha, qabuu, taphachuu, to’achuu
🤹‍♀	dubartii, hojii baay’ee
🧘	bashannana, miila walqaxxamure, nagaa, xiinxaluu, yoogaa
🛀	dhagna dhiqachuu, gabatee, gabatee dhiqannaa, nama dhaqna dhiqatu
🛌	ciisuu, hirriba, hoteela, muguu, nagaan buli, nama sireerra jiru, rafuu, siree, yeroo itti rafan
🧑‍🤝‍🧑	harka, harka walqabachuu, jaalalleewwan, nama, namoota harka walqabatan, qabachuu
👭	buchoo, dubartii, harka, hiriyyaa lubbuu, hiriyyoota, jaalala jalqabuu, jaalalleewwan, lakkuu, michuu, obboleettiiwwan, qabadhu, shamarran, wal ababbaluu
👫	abbaa manaa fi haadha manaa, dhiira, dhiiraa fi dubara harka walqabatan, dubartii, hariiroo jaalalaa, hiriyyaa, jaallee, nama hunda, wal jaallachuu
👬	dhiira fi dhiira, dhiirota, dhiirota lama harka walqabatan, harka, hiriyyaa, hiriyyoota, jaalala jalqabuu, jaalalaan qabamuu, jaalalleewwan, lakkuu, maatii, nama kamiyyuu, namicha, namicha fi namicha, qabuu, zodiyaakii
💏	abbaa manaa fi haadha manaa, dhungoo, jaalala, jaalalleewwan, nama, waliin jiraachuu
💑	abbaa manaa fi haadha manaa, hariiroo jaalalaa, jaalala, jaalallee, nama, sin jaalladha, waliin jireenya
🗣️	dubbachuu, dubbii, fakkii, fuula, mataa, mataa dubbachaa jiru
👤	fakkii, gaaddidduu, icciitii, qoma
👥	hiriyyaa, hiriyyoota, nama hunda, namoota
🫂	haammachuu, haammadhu, hiriyummaa, jaalala, jajjabina, nagaa dhaamuu, wal haammachuu
👪️	daa’ima, maatii, mucaa
👣	ashaaraa, ashaaraa miillaa, deemsa, miilla qullaa, uffata
🐵	bineensa, fuula, muuzii, qamalee
🐒	bineensa, jaldeessa, muuzii
🦍	bineensa, gorillaa
🦧	bineelda, jaldeessa, oraangutaan, qamalee
🐶	beeylada, beeylada manaa, fuula saree, saree, xuuxillaa
🐕️	beeylada, beeylada manaa, beeyladoota, saree, saroota
🦮	dhaqqabummaa, qajeelcha, qaro-dhabeessa, saree qajeelchituu
🐕‍🦺	dhaqqabummaa, gargaarsa, saree, tajaajila
🐩	beeylada, rifeensa lallaafaa, saree
🐺	bineensa, fuula, yeeyyii
🦊	bineensa, fuula, sardiidoo, waangoo
🦝	beekuuf fedhuu, bineensa, haxxummaa, raakoon
🐱	adurree, bashoo, beeylada manaa, bineelda, fuula, ilmoo adurree
🐈️	adurree, beeylada, beeylada manaa, beeyladoota, ilmoo adurree
🐈‍⬛	adurree, bashoo, bineelda, gurraacha, haalowiin, miwuu
🦁	ajaja leencaa, alfaa, barooduu, bineensa, fuula, fuula leencaa, jabaa, leenca, safarii
🐯	adamsaa, bineelda, fuula, fuula qeerransaa, qeerransa
🐅	adamsaa, bineelda, qeerransa, zuu
🐆	adurree guddaa, bineensa, bineensa adamsituu, bineensota, qeerransa, zuu
🐴	beeylada, faradoo, farda, fardeen, fuula, fuula fardaa, guluffii, qonna
🫎	bineensa, bosonuu, gaanfa, hosiftoota
🫏	beeylada, gaangee, harree, hoosiftuu, mata-jabeessa
🐎	beeylada, dorgommii, dorgommii fardaa, farda, qonna
🦄	fuula, yuunikoornii
🦓	harre-diidoo, sarara, zeebiraa
🦌	bineensa, bosonuu
🦬	bineelda, gafarsa
🐮	aannan, beeylada, fuula, fuula saawwaa, mar’achuu, qonna, saawwa
🐂	bineelda, bineeldota, qonna, sangaa, tayuruus, zoodiyaak
🐃	bineensa, bineensota, bishaan, gafarsa, gafarsa bishaanii, zuu
🐄	aannan, beeylada, beeyladoota, mar’achuu, qonna, saawwa
🐷	bineelda, booyyee, foon booyyee, fuula, qonna
🐖	baakonii, bineelda, bineeldota, booyyee, booyyee dhaltuu, foon booyyee, furdaa, qonna
🐗	bineensa, booyyee, karkarroo, tapha gonfoo mootii
🐽	bineensa, booyyee, funyaan, fuula, qonna
🐏	bineelda, gaanfa, hoolaa, korbeessa, xobbollaa, zuu
🐑	beeylada, dabbasaa lallaafaa, hoolaa, qonna, xobollaa
🐐	aannan, beeylada, beeyladoota, gonna, re’ee
🐪	beeylada, gaala, gammoojjii, gooba, gooba tokko
🐫	bineelda, dalluu, dalluu lama, gaala, gaala dalluu lama qabu, gammoojjii
🦙	alpakaa, bineelda, guwaanaakoo, waaroo
🦒	sattawaa, tuqaalee
🐘	arba, bineensa
🦣	bineelda, maammoozii
🦏	bineensa, karkarroo
🦛	bineensa, roobii
🐭	bineensa, fuula, fuula hantuutaa, hantuuta
🐁	bineensa, bineensota, hantuuta
🐀	bineelda, hantuuta
🐹	beeylada, beeylada manaa, fuula
🐰	beeylada manaa, bineensa, fuula, illeentii
🐇	beeylada manaa, bineensa, bineensota, illeentii
🐿️	illeettii
🦫	biiveerii, bineelda, ilkaan
🦔	heejhoog, ispaayinii
🦇	bineensa, simbira halkanii, vaampaayerii
🐻	bineensa, damma, fuula, waangoo
🐨	awustiraaliyaa, bineensa
🐼	bineensa, fuula, leemmana, paandaa
🦥	dadhabaa, dhibaa’aa, suutee
🦦	otteerii, qurxummii kiyyeessuu, taphachiisaa
🦨	iskuunkii, urgooftuu
🦘	Awustaraaliyaa, bineelda, jooyi, kangaaroo, marsuupiyaala, utaaluu
🦡	baajerii, baajerii dammaa, bineensa, peesterii
🐾	ashaaraa, ashaaraa faanaa, faana, miila
🦃	galateeffannaa
🐔	beeylada, lukkuu
🐓	beeylada, beeyladoota, kormaa lukkuu, simbirroolee
🐣	bineelda, cuucii, hammachiisuu, hanqaaquu, ilmoo, simbirroo
🐤	bineelda, cuucii, ilmoo, simbirroo
🐥	bineelda, cuucii, ilmoo
🐦️	bineelda, simbirroo
🐧	antaartikaa, bineensa, peenguwaanii
🕊️	balali’uu, bullaallaa, gugee, makoodii, nagaa, simbirroo
🦅	allaattii, bineensa, risaa, simbirroo
🦆	allaattii, bineensa, daakkiyyee, simbirroo
🦢	bineensa, simbirroo
🦉	beekaa, bineelda, hurunguu, simbirroo
🦤	bineelda, dooddoo, simbirroo
🪶	baallee
🦩	filaamiingoo, tirooppikaala
🦚	bineelda, boonaa, halluu adda addaa, of-agarsiisaa, piiheen, piikookii, simbirroo, simbirroo bareedduu
🦜	bineelda, haasa’uu, paarotii, saamtota galaanaa, simbirroo
🪽	aviyeeshinii, baallee, balali’uu, barrisuu, ergamaa, ol ba’uu, ol ka’uu, qochoo, samii irraa, sheekkoo
🐦‍⬛	biikii, bineensa, gurraacha, qurruu, simbirroo
🪿	bineensa, daakkiyyee, gowwaa, kormaa daakkiyyee, simbirroo, tuuta
🐦‍🔥	abjuu, haaromsa, irra deebiin kalaquu, jijjiiramuu, kan hin duune, lammataa dhalachuu, mul’achuu, ol ka’uu, olba’uu, ulfina
🐸	bineensa, fuula, fuula raachaa, giiftii, raacha
🐊	bineensa, bineensota, filooriidaa, naacha, zuu
🐢	bineelda, qocaa
🦎	bineensa, lootuu, rippiitaayilii
🐍	bineensa, bofa, buutii, jawwee
🐲	bineensa, diraagoonii, fuula, oduu durii, sheekkoo
🐉	abbaa lafaa, bineensa, goota, jawwee, kan chaayinaa, sheekkoo, tapha gonfoo mootii
🦕	daayinoosarii
🦖	daayinoosaarii
🐳	bineelda, fuula, garba, ispaayutiingii, qarqara galaanaa, weelii
🐋	bineelda, galaana, handaara galaanaa, qurxummii galaanaa
🐬	bineelda, doolfiin, gaggaragalchaa, garba, qarqara galaanaa
🦭	bineelda, galaana, leenca galaanaa
🐟️	bineensa, irbaata, qurxummii, qurxummii qabuu, zodiyaak
🐠	bineelda, qurxummii, qurxummiilee
🐡	bineelda, qurxummii, qurxummii afuuftuu
🦈	bineelda, qurxummii, shaarkii
🐙	bineensa, galaana, uumama
🐚	bineelda, cilalluu, qarqara galaanaa, qola, qola maramaa
🪸	galaana, jijjiirama qilleensaa
🪼	akuwaariyaamii, bineensa, galaana, hidduu, jeelii, jeeliifiish, lubbu-qabeeyyii galaanaa, pilaankitoon
🐌	bineelda, cilalluu, qe’ee biqiltuu, uumama
🦋	bareedduu, billaacha, ilbiisa
🐛	bineensa, geergoo, iddoo biqiltuu, ilbiisa
🐜	bineensa, goondaa, ilbiisa, qe’ee biqiltuu
🐝	arfaasaa, bineensa, damma, ilbiisa, kanniisa, kanniisa daamuu, kanniisa dammaa, uumama
🪲	bineelda, boombii, geergoo, ilbiisa
🐞	bineensa, boombii, iddoo biqiltuu, ilbiisa, uumama
🦗	Ortoopteeraa, awwaannisa, geergoo, ilbiisa, kriikeetii
🪳	bararoo, bineelda, ilbiisa
🕷️	ilbiisa, sarariitii
🕸️	marsaa, sharariitii
🦂	qaajjibbuu, zodiyaak
🦟	bookee busaa, busaa, ciniinuu, dhukkuba, ho’isaa, ilbiisa, vaayirasii
🪰	balali’uu, bineensa, ilbiisota, qaruuraa cuquliisa
🪱	bineensa, raammoo, raammoo lafaa
🦠	ameebaa, baakteeriyaa, maayikiroobii, saayinsii, vaayirasii
💐	abaaboo, ayyaana, biqiltuu, guyyaa dhalootaa, jaalala, taatee jaalalaa
🌸	abaaboo, biqiltuu, birraa, cheerii, daraaraa, waqtii birraa
💮	ilillii, ilillii adii
🪷	Daraaraa, Habaaboo, ilillii, miidhagina, nagaa, tasgabbii
🏵️	biqiltuu, roozeetii
🌹	ayyaana qabeessa, biqiltuu, daraaraa, diimaa, ilillii jaalalaa, kaardii guyyaa jaalalleewwanii kennamu, miidhagina
🥀	abaaboo, coologe, gogaa jira, ilillii
🌺	biqiltuu, daraaraa, hibiiskaas
🌻	abaaboo, aduu, ala, biqiltuu, suufii
🌼	abaaboo, biqiltuu, daraaraa
🌷	abaaboo, biqiltuu, daraaraa, guddachuu
🪻	abaaboo, biqiltuu, birraa, daraaraa, diimaa-cuquliisa, ilillii, indigoo, miciree, vaayileetii
🌱	biqilaa, biqiltuu, dargaggeessa
🪴	Biqiltuu, bareechuu, xuwwee
🌲	bosona, magariisa’aa, muka, muka gaattiraa, muka kirrismaasii
🌳	baala harcaafatoo, bakka jireenyaa, bosona, magariisa, muka, muka baala harcaafatoo
🌴	biqiltuu, meexxii, muka, qarqara galaanaa
🌵	biqiltuu, gammoojjii, hongee, uumama
🌾	biqilaa, bissii ruuzii, midhaan, ruuzii
🌿	baala, baala mukaa, biqiltuu
☘️	aayilaandii, biqiltuu, shaamrook
🍀	4, baala, biqiltuu, carraa qabeessa, hamaaqixa, siddisa, siddisa baala afurii
🍁	baala, kufuu, mappilii
🍂	baala, baala harca’e, bona, kufaatii
🍃	afuufuu, baala, baala qilleensa keessa balali’u, balali’uu, bubbee
🪹	Bineesota fi Uumaama
🪺	Bineensota & Uumama
🍄	fangasii, waakkoo
🍇	firii, firii wayinii
🍈	meeloonii, muduraa
🍉	habaabii, muduraa
🍊	burtukaana, muduraa, vitaaminii c
🍋	dhangaggaa’aa, fuduraa, loomii
🍋‍🟩	asiidii, bashannansiisaa, cuunfaa, dhangaggaa’aa, faayessuu, iddoo ho’aa, kaka’umsa, kokteelii, loomii, magariisa, margaariittaa, moojitoo, muduraa, saalsaa, tekiilaa
🍌	fuduraa, muuzii, pootaasiyeemii
🍍	anaanaasii, fuduraa, kolaadaa, piinaa, tirooppikaalii
🥭	maangoo, muduraa, nyaata, raaftuu, tiroopikaala
🍎	appilii, bilchaataa, diimaa, fayyaa, fuduraa, nyaata, poomii, soorata
🍏	appilii, magariisa, poomii
🍐	fuduraa, piirii
🍑	fuduraa, kookii
🍒	cheerii, fuduraa
🍓	fuduraa, goraa, muduraa
🫐	beerii, beeriiwwan, biluubeerii, biluubeeriiwwan, muduraa, nyaata
🥝	fuduraa, kiwi, muduraa, nyaata
🍅	fuduraa, kuduraa, nyaata, timaatima
🫒	nyaata, zayitii
🥥	kokonaatii, meexxii, piinaa kolaadaa
🥑	avokaadoo, fuduraa, nyaata
🍆	kuduraa
🥔	kuduraa, mosee, nyaata
🥕	kaarotii, kuduraa, nyaata
🌽	asheeta, boqolloo, dheedhii, qola boqqolloo, qonna
🌶️	gubaa, qaaraa, qaaraa nama gubu
🫑	burtukaana, burtukaana bilbilaa, nyaata
🥒	komxaaxxee, kuduraa, kukumberii, nyaata
🥬	baala magariisa’aa, bargerii, book chooyi, kaalee, raafuu, salaada, salaaxaa
🥦	birookilii, raafuu diidaa
🧄	mi’eessituu, qullubbii adii
🧅	qullubbii diimaa
🥜	kuduraa, loowzii, nyaata, ocholoonii
🫘	Baaqelaa, dheedhii, nyaata, xiqqoo
🌰	almoondii
🫚	baala mukaa, biiraa, fayyaa, hundee, jinjibila, mi’eessituu, uumama
🫛	atara, baaqelaa, bolonqee, dheedhii, kuduraa
🍄‍🟫	biqiluu, fagasii, horrooqqoo, horrooqqoo magaalawaa, irra-buusa, irra-buusa piizzaa, kuduraa fi muduraa, nama kuduraa fi muduraa sooratu, soorata, uumama
🍞	daabboo, kaarboohayidireetii, mana nyaataa, midhaan, muraa, nyaata, qamadii, tolchuu
🥐	daabboo, daabboo maramaa, kiroo’isantii, nyaata
🥖	daabboo, daabboo luxoo, fireenchii, nyaata
🫓	areeppaa, daabboo, daabboo diriiraa, gordiitaa, nyaata
🥨	micciiramaa, mimicciiramaa
🥯	baagelii, ciree, daabboo, mana daabboo
🥞	keekii ho’aa, nyaata, paankeekii
🧇	ciree, murtii maleessa, sibiila
🧀	baaduu furdaa, baaduu gogaa
🍖	foon, foon lafee irraa, lafee
🍗	beela’uu, handaaqqoo, lafee, lukkuu, miilla
🥩	foon, foon diimaa, foon murame, muraa foonii, murmuruu
🥓	baakonii, foon, foon booyyee, nyaata
🍔	bargerii, beela’uu, hambargerii, nyaadhu, nyaata, nyaata dafee qaqqabu
🍟	chibsii, kan fireenchii, nyaata, nyaata ariifataa, waaddii, waaddii fireenchii
🍕	beeluu, chiizii, muraa, nyaata, pepperoonii, piizaa
🌭	firaankifarterii, hoot dooggii, sooseejii
🥪	daabboo, saandiwiichii
🌮	nyaata meksiikoo, taakoo
🌯	burriitoo, itti maruu, meeksikoo
🫔	nyaata, taamoonaahaa, tamaalee
🥙	daabboo diriiraa, nyaata
🧆	falaafelii, shumburaa
🥚	buuphaa, hanqaaquu, killee, luggee, nyaata
🍳	ciree, eelee irratti waaddamu, hanqaaquu, killee, mana nyaataa, nyaata bilcheessuu, waadduu
🥘	eelee, kaaseeroolii, nyaata, ol dhihoo
🍲	dooccoo, dooccoo soorataa, ittoo, nyaata, shoorbaa
🫕	baaduu, fonduu, iskii, nyaata, siwiis
🥣	ciree, konjee, marqaa, midhaan, ootmiil, saanii fal’aana wajjin
🥗	magariisa, nyaata, salaad
🍿	fandiishaa, fiilmii
🧈	aannan, bu’aalee aannanii, dhadhaa
🧂	ashaboo, dhamdhama, kuraawaa, maraachuu, mi’aa, mi’eessituu, mufachuu, raaftuu
🥫	nyaata saamsame, xaasaa
🍱	beentoo, nyaata, saanduqa
🍘	nyaata, ruuzii
🍙	Jaappaan, kubbaa, nyaata, ruuzii
🍚	nyaata, ruuzii, ruuzii bilchaataa
🍛	nyaata, ruuzii
🍜	hurkuu, noodeelii, nyaata, saanii, shoorbaa, ulee nyaataa
🍝	foon maramaa bilchaataa, ispaageettii, kan itaalii, mana nyaataa, nyaata, paastaa
🍠	mi’ooftuu, mosee, nyaata, soogiddee, soogiddee affeelamaa
🍢	iskiwerii, kebab, mana nyaataa, nyaata, nyaata galaanaa, ulee
🍣	nyaata, suushii
🍤	bilchaataa, shiriimpii, tempuraa, waadamaa
🍥	daabboo bilcheessuu, keekii, mana nyaataa, nyaata, qurxummii
🥮	ayyaaneffannaa, birraa, keekii ji’aa, yuubing
🍡	dango, dhamdhamsiisaa, iskiiwerii, mi’ooftuu, nyaata Jaappaan, ulee
🥟	daamplingii, giyoozaa, impanaadaa, jaa’ozaa, pootistiikeerii
🥠	kuukii carraa, raajii
🥡	choopistiikii, nyaata geessuu, oyiister peeyil, saanduqa ittiin fudhatamu
🦀	Kaansarii, torbaan-qabaa, zodiyaakii
🦞	bineelda, biskuu, loobisterii, loobisterii diimaa, nyaata galaanaa, qeensa
🦐	nyaata, sheelfiishii, shiriimpii, xiqqoo
🦑	bineelda, iskuwaad, molaskii, nyaata
🦪	cuuphaa, daayiviingii, luqqisii, oyiisteerii
🍦	aayis kireemii, dhamdhamsiisaa, kireemii, mana nyaataa, mi’ooftuu, nyaata
🍧	cabbii, dhamdhamsiisaa, haadamaa, mana nyaataa, mi’ooftuu
🍨	ayis kireemii, kan nyaata booda dhamdhamamu, kireemii, mana nyaataa, mi’ooftuu, nyaata
🍩	dizertii, doonaatii, mi’ooftuu, nyaata
🍪	chiippii chokoleetii, dhamdhamsiisaa, kuukii, mi’ooftuu
🎂	afaan mi’eessituu, ayyaaneffannaa, guyyaa dhaloota gaarii, guyyaa dhalootaa, keekii, keekii guyyaa dhalootaa, mi’aawaa
🍰	afaan mi’eessituu, keekii, mi’aawaa, muraa
🧁	coccoba, mana daabboo, mi’aawaa, mi’eeffachiiftuu, shiinii keekii, sukkaara, wal’aanuu
🥧	foon, guutuu, keekii, muduraa, muraa paayii, paayii
🍫	baarii, chokoleetii, karameellaa, mi’aawaa
🍬	dizertii, karameellaa, mana nyaataa, maraa, mi’ooftuu
🍭	karameellaa, mana nyaataa, mimmi’oo, nyaata
🍮	afaan mi’eessituu, mi’aawaa
🍯	baachuu, barmeela, damma, huubboo, huubboo dammaa, mi’aawaa, nyaata, xuwwee, xuwwee dammaa
