‾	trait suscrit
💅🏾	cosmétiques, manucure, maquillage, peau mate, peu importe, s’ennuyer, vernis à ongles, vernis à ongles : peau mate
💅🏿	cosmétiques, manucure, maquillage, peau foncée, peu importe, s’ennuyer, vernis à ongles, vernis à ongles : peau foncée
🤳	appareil photo, photo, selfie, téléphone
🤳🏻	appareil photo, peau claire, photo, selfie, selfie : peau claire, téléphone
🤳🏼	appareil photo, peau moyennement claire, photo, selfie, selfie : peau moyennement claire, téléphone
🤳🏽	appareil photo, peau légèrement mate, photo, selfie, selfie : peau légèrement mate, téléphone
🤳🏾	appareil photo, peau mate, photo, selfie, selfie : peau mate, téléphone
🤳🏿	appareil photo, peau foncée, photo, selfie, selfie : peau foncée, téléphone
💪	BD, bande dessinée, biceps, biceps contracté, bodybuilding, contracté, corps, culturisme, entraînement, exercice, force, haltérophilie, muscle, muscles, soulever
💪🏻	BD, bande dessinée, biceps, biceps contracté : peau claire, bodybuilding, contracté, corps, culturisme, entraînement, exercice, force, haltérophilie, muscle, muscles, peau claire, soulever
💪🏼	BD, bande dessinée, biceps, biceps contracté : peau moyennement claire, bodybuilding, contracté, corps, culturisme, entraînement, exercice, force, haltérophilie, muscle, muscles, peau moyennement claire, soulever
💪🏽	BD, bande dessinée, biceps, biceps contracté : peau légèrement mate, bodybuilding, contracté, corps, culturisme, entraînement, exercice, force, haltérophilie, muscle, muscles, peau légèrement mate, soulever
💪🏾	BD, bande dessinée, biceps, biceps contracté : peau mate, bodybuilding, contracté, corps, culturisme, entraînement, exercice, force, haltérophilie, muscle, muscles, peau mate, soulever
💪🏿	BD, bande dessinée, biceps, biceps contracté : peau foncée, bodybuilding, contracté, corps, culturisme, entraînement, exercice, force, haltérophilie, muscle, muscles, peau foncée, soulever
🦾	accessibilité, bras, bras mécanique, bras robot, handicap, prothèse, prothèse de bras
🦿	accessibilité, handicap, jambe artificielle, jambe mécanique, jambe robot, prothèse, prothèse de jambe
🦵	coup de pied, cuisse, genou, genou fléchi, genoux, jambe, membre, pied
🦵🏻	coup de pied, cuisse, genou, genou fléchi, genoux, jambe, jambe : peau claire, membre, peau claire, pied
🦵🏼	coup de pied, cuisse, genou, genou fléchi, genoux, jambe, jambe : peau moyennement claire, membre, peau moyennement claire, pied
🦵🏽	coup de pied, cuisse, genou, genou fléchi, genoux, jambe, jambe : peau légèrement mate, membre, peau légèrement mate, pied
🦵🏾	coup de pied, cuisse, genou, genou fléchi, genoux, jambe, jambe : peau mate, membre, peau mate, pied
🦵🏿	coup de pied, cuisse, genou, genou fléchi, genoux, jambe, jambe : peau foncée, membre, peau foncée, pied
🦶	cheville, coup de pied, pas lourd, pied
🦶🏻	cheville, coup de pied, pas lourd, peau claire, pied, pied : peau claire
🦶🏼	cheville, coup de pied, pas lourd, peau moyennement claire, pied, pied : peau moyennement claire
🦶🏽	cheville, coup de pied, pas lourd, peau légèrement mate, pied, pied : peau légèrement mate
🦶🏾	cheville, coup de pied, pas lourd, peau mate, pied, pied : peau mate
🦶🏿	cheville, coup de pied, pas lourd, peau foncée, pied, pied : peau foncée
👂️	corps, entendre, oreille, ouïe, son, écouter
👂🏻	corps, entendre, oreille, oreille : peau claire, ouïe, peau claire, son, écouter
👂🏼	corps, entendre, oreille, oreille : peau moyennement claire, ouïe, peau moyennement claire, son, écouter
👂🏽	corps, entendre, oreille, oreille : peau légèrement mate, ouïe, peau légèrement mate, son, écouter
👂🏾	corps, entendre, oreille, oreille : peau mate, ouïe, peau mate, son, écouter
👂🏿	corps, entendre, oreille, oreille : peau foncée, ouïe, peau foncée, son, écouter
🦻	accessibilité, handicap, malentendant, oreille appareillée, prothèse auditive, sonotone, sourd, surdité
🦻🏻	accessibilité, handicap, malentendant, oreille appareillée, oreille appareillée : peau claire, peau claire, prothèse auditive, sonotone, sourd, surdité
🦻🏼	accessibilité, handicap, malentendant, oreille appareillée, oreille appareillée : peau moyennement claire, peau moyennement claire, prothèse auditive, sonotone, sourd, surdité
🦻🏽	accessibilité, handicap, malentendant, oreille appareillée, oreille appareillée : peau légèrement mate, peau légèrement mate, prothèse auditive, sonotone, sourd, surdité
🦻🏾	accessibilité, handicap, malentendant, oreille appareillée, oreille appareillée : peau mate, peau mate, prothèse auditive, sonotone, sourd, surdité
🦻🏿	accessibilité, handicap, malentendant, oreille appareillée, oreille appareillée : peau foncée, peau foncée, prothèse auditive, sonotone, sourd, surdité
👃	corps, narines, nez, odeur, sentir
👃🏻	corps, narines, nez, nez : peau claire, odeur, peau claire, sentir
👃🏼	corps, narines, nez, nez : peau moyennement claire, odeur, peau moyennement claire, sentir
👃🏽	corps, narines, nez, nez : peau légèrement mate, odeur, peau légèrement mate, sentir
👃🏾	corps, narines, nez, nez : peau mate, odeur, peau mate, sentir
👃🏿	corps, narines, nez, nez : peau foncée, odeur, peau foncée, sentir
🧠	cerveau, intelligent, intelligente
🫀	anatomie, battement de coeur, battements, cardiologie, cœur, organe, pouls, pulsation
🫁	anatomie, expiration, inspiration, organe, poumons, respiration, respirer, souffle
🦷	carie, dent, dentiste, émail diamant
🦴	chien, halloween, os, squelette
👀	chercher, corps, coup d’œil, regarder, visage, voir, yeux, œil
👁️	corps, œil
👅	corps, langue, lécher
👄	baiser, beauté, bise, bisou, bouche, corps, embrasser, lèvres, rouge à lèvres
🫦	anxieux, flirt, inquiet, lèvre mordue, lèvres qui se mordent, mal à l’aise, nerveux
👶	bébé, enceinte, enfant, nouveau-né, petit, émoticône
👶🏻	bébé, bébé : peau claire, enceinte, enfant, nouveau-né, peau claire, petit, émoticône
👶🏼	bébé, bébé : peau moyennement claire, enceinte, enfant, nouveau-né, peau moyennement claire, petit, émoticône
👶🏽	bébé, bébé : peau légèrement mate, enceinte, enfant, nouveau-né, peau légèrement mate, petit, émoticône
👶🏾	bébé, bébé : peau mate, enceinte, enfant, nouveau-né, peau mate, petit, émoticône
👶🏿	bébé, bébé : peau foncée, enceinte, enfant, nouveau-né, peau foncée, petit, émoticône
🧒	enfant, genre neutre, jeune, non-genré
🧒🏻	enfant, enfant : peau claire, genre neutre, jeune, non-genré, peau claire
🧒🏼	enfant, enfant : peau moyennement claire, genre neutre, jeune, non-genré, peau moyennement claire
🧒🏽	enfant, enfant : peau légèrement mate, genre neutre, jeune, non-genré, peau légèrement mate
🧒🏾	enfant, enfant : peau mate, genre neutre, jeune, non-genré, peau mate
🧒🏿	enfant, enfant : peau foncée, genre neutre, jeune, non-genré, peau foncée
👦	enfant, garçon, jeune, personne, émoticône
👦🏻	enfant, garçon, garçon : peau claire, jeune, peau claire, personne, émoticône
👦🏼	enfant, garçon, garçon : peau moyennement claire, jeune, peau moyennement claire, personne, émoticône
👦🏽	enfant, garçon, garçon : peau légèrement mate, jeune, peau légèrement mate, personne, émoticône
👦🏾	enfant, garçon, garçon : peau mate, jeune, peau mate, personne, émoticône
👦🏿	enfant, garçon, garçon : peau foncée, jeune, peau foncée, personne, émoticône
👧	couettes, enfant, fille, grands yeux, jeune, nattes, personne, petite fille, tresses, vierge, visage, zodiaque, émoticône
👧🏻	couettes, enfant, fille, fille : peau claire, grands yeux, jeune, nattes, peau claire, personne, petite fille, tresses, vierge, visage, zodiaque, émoticône
👧🏼	couettes, enfant, fille, fille : peau moyennement claire, grands yeux, jeune, nattes, peau moyennement claire, personne, petite fille, tresses, vierge, visage, zodiaque, émoticône
👧🏽	couettes, enfant, fille, fille : peau légèrement mate, grands yeux, jeune, nattes, peau légèrement mate, personne, petite fille, tresses, vierge, visage, zodiaque, émoticône
👧🏾	couettes, enfant, fille, fille : peau mate, grands yeux, jeune, nattes, peau mate, personne, petite fille, tresses, vierge, visage, zodiaque, émoticône
👧🏿	couettes, enfant, fille, fille : peau foncée, grands yeux, jeune, nattes, peau foncée, personne, petite fille, tresses, vierge, visage, zodiaque, émoticône
🧑	adulte, genre neutre, non-genré
🧑🏻	adulte, adulte : peau claire, genre neutre, non-genré, peau claire
🧑🏼	adulte, adulte : peau moyennement claire, genre neutre, non-genré, peau moyennement claire
🧑🏽	adulte, adulte : peau légèrement mate, genre neutre, non-genré, peau légèrement mate
🧑🏾	adulte, adulte : peau mate, genre neutre, non-genré, peau mate
🧑🏿	adulte, adulte : peau foncée, genre neutre, non-genré, peau foncée
👱	blond, cheveux, garçon, homme, humain, personne blonde, tête, visage
👱🏻	blond, cheveux, garçon, homme, humain, peau claire, personne blonde, personne blonde : peau claire, tête, visage
👱🏼	blond, cheveux, garçon, homme, humain, peau moyennement claire, personne blonde, personne blonde : peau moyennement claire, tête, visage
👱🏽	blond, cheveux, garçon, homme, humain, peau légèrement mate, personne blonde, personne blonde : peau légèrement mate, tête, visage
👱🏾	blond, cheveux, garçon, homme, humain, peau mate, personne blonde, personne blonde : peau mate, tête, visage
👱🏿	blond, cheveux, garçon, homme, humain, peau foncée, personne blonde, personne blonde : peau foncée, tête, visage
🧑🏻‍❤‍💋‍🧑🏼	adulte, amour, anniversaire, baiser, bisou, bisou : adulte, adulte, peau claire et peau moyennement claire, couple, femme, homme, peau claire, peau moyennement claire
🧑🏻‍❤‍💋‍🧑🏽	adulte, amour, anniversaire, baiser, bisou, bisou : adulte, adulte, peau claire et peau légèrement mate, couple, femme, homme, peau claire, peau légèrement mate
🧑🏻‍❤‍💋‍🧑🏾	adulte, amour, anniversaire, baiser, bisou, bisou : adulte, adulte, peau claire et peau mate, couple, femme, homme, peau claire, peau mate
🧑🏻‍❤‍💋‍🧑🏿	adulte, amour, anniversaire, baiser, bisou, bisou : adulte, adulte, peau claire et peau foncée, couple, femme, homme, peau claire, peau foncée
🧑🏼‍❤‍💋‍🧑🏻	adulte, amour, anniversaire, baiser, bisou, bisou : adulte, adulte, peau moyennement claire et peau claire, couple, femme, homme, peau claire, peau moyennement claire
🧑🏼‍❤‍💋‍🧑🏽	adulte, amour, anniversaire, baiser, bisou, bisou : adulte, adulte, peau moyennement claire et peau légèrement mate, couple, femme, homme, peau légèrement mate, peau moyennement claire
🧑🏼‍❤‍💋‍🧑🏾	adulte, amour, anniversaire, baiser, bisou, bisou : adulte, adulte, peau moyennement claire et peau mate, couple, femme, homme, peau mate, peau moyennement claire
🧑🏼‍❤‍💋‍🧑🏿	adulte, amour, anniversaire, baiser, bisou, bisou : adulte, adulte, peau moyennement claire et peau foncée, couple, femme, homme, peau foncée, peau moyennement claire
🧑🏽‍❤‍💋‍🧑🏻	adulte, amour, anniversaire, baiser, bisou, bisou : adulte, adulte, peau légèrement mate et peau claire, couple, femme, homme, peau claire, peau légèrement mate
🧑🏽‍❤‍💋‍🧑🏼	adulte, amour, anniversaire, baiser, bisou, bisou : adulte, adulte, peau légèrement mate et peau moyennement claire, couple, femme, homme, peau légèrement mate, peau moyennement claire
🧑🏽‍❤‍💋‍🧑🏾	adulte, amour, anniversaire, baiser, bisou, bisou : adulte, adulte, peau légèrement mate et peau mate, couple, femme, homme, peau légèrement mate, peau mate
🧑🏽‍❤‍💋‍🧑🏿	adulte, amour, anniversaire, baiser, bisou, bisou : adulte, adulte, peau légèrement mate et peau foncée, couple, femme, homme, peau foncée, peau légèrement mate
🧑🏾‍❤‍💋‍🧑🏻	adulte, amour, anniversaire, baiser, bisou, bisou : adulte, adulte, peau mate et peau claire, couple, femme, homme, peau claire, peau mate
🧑🏾‍❤‍💋‍🧑🏼	adulte, amour, anniversaire, baiser, bisou, bisou : adulte, adulte, peau mate et peau moyennement claire, couple, femme, homme, peau mate, peau moyennement claire
🧑🏾‍❤‍💋‍🧑🏽	adulte, amour, anniversaire, baiser, bisou, bisou : adulte, adulte, peau mate et peau légèrement mate, couple, femme, homme, peau légèrement mate, peau mate
🧑🏾‍❤‍💋‍🧑🏿	adulte, amour, anniversaire, baiser, bisou, bisou : adulte, adulte, peau mate et peau foncée, couple, femme, homme, peau foncée, peau mate
🧑🏿‍❤‍💋‍🧑🏻	adulte, amour, anniversaire, baiser, bisou, bisou : adulte, adulte, peau foncée et peau claire, couple, femme, homme, peau claire, peau foncée
🧑🏿‍❤‍💋‍🧑🏼	adulte, amour, anniversaire, baiser, bisou, bisou : adulte, adulte, peau foncée et peau moyennement claire, couple, femme, homme, peau foncée, peau moyennement claire
🧑🏿‍❤‍💋‍🧑🏽	adulte, amour, anniversaire, baiser, bisou, bisou : adulte, adulte, peau foncée et peau légèrement mate, couple, femme, homme, peau foncée, peau légèrement mate
🧑🏿‍❤‍💋‍🧑🏾	adulte, amour, anniversaire, baiser, bisou, bisou : adulte, adulte, peau foncée et peau mate, couple, femme, homme, peau foncée, peau mate
🧑🏻‍❤‍🧑🏼	adulte, amour, anniversaire, couple, couple avec cœur, couple avec cœur : adulte, adulte, peau claire et peau moyennement claire, cœur, femme, homme, peau claire, peau moyennement claire, rendez-vous
🧑🏻‍❤‍🧑🏽	adulte, amour, anniversaire, couple, couple avec cœur, couple avec cœur : adulte, adulte, peau claire et peau légèrement mate, cœur, femme, homme, peau claire, peau légèrement mate, rendez-vous
🧑🏻‍❤‍🧑🏾	adulte, amour, anniversaire, couple, couple avec cœur, couple avec cœur : adulte, adulte, peau claire et peau mate, cœur, femme, homme, peau claire, peau mate, rendez-vous
🧑🏻‍❤‍🧑🏿	adulte, amour, anniversaire, couple, couple avec cœur, couple avec cœur : adulte, adulte, peau claire et peau foncée, cœur, femme, homme, peau claire, peau foncée, rendez-vous
🧑🏼‍❤‍🧑🏻	adulte, amour, anniversaire, couple, couple avec cœur, couple avec cœur : adulte, adulte, peau moyennement claire et peau claire, cœur, femme, homme, peau claire, peau moyennement claire, rendez-vous
🧑🏼‍❤‍🧑🏽	adulte, amour, anniversaire, couple, couple avec cœur, couple avec cœur : adulte, adulte, peau moyennement claire et peau légèrement mate, cœur, femme, homme, peau légèrement mate, peau moyennement claire, rendez-vous
🧑🏼‍❤‍🧑🏾	adulte, amour, anniversaire, couple, couple avec cœur, couple avec cœur : adulte, adulte, peau moyennement claire et peau mate, cœur, femme, homme, peau mate, peau moyennement claire, rendez-vous
🧑🏼‍❤‍🧑🏿	adulte, amour, anniversaire, couple, couple avec cœur, couple avec cœur : adulte, adulte, peau moyennement claire et peau foncée, cœur, femme, homme, peau foncée, peau moyennement claire, rendez-vous
🧑🏽‍❤‍🧑🏻	adulte, amour, anniversaire, couple, couple avec cœur, couple avec cœur : adulte, adulte, peau légèrement mate et peau claire, cœur, femme, homme, peau claire, peau légèrement mate, rendez-vous
🧑🏽‍❤‍🧑🏼	adulte, amour, anniversaire, couple, couple avec cœur, couple avec cœur : adulte, adulte, peau légèrement mate et peau moyennement claire, cœur, femme, homme, peau légèrement mate, peau moyennement claire, rendez-vous
🧑🏽‍❤‍🧑🏾	adulte, amour, anniversaire, couple, couple avec cœur, couple avec cœur : adulte, adulte, peau légèrement mate et peau mate, cœur, femme, homme, peau légèrement mate, peau mate, rendez-vous
🧑🏽‍❤‍🧑🏿	adulte, amour, anniversaire, couple, couple avec cœur, couple avec cœur : adulte, adulte, peau légèrement mate et peau foncée, cœur, femme, homme, peau foncée, peau légèrement mate, rendez-vous
🧑🏾‍❤‍🧑🏻	adulte, amour, anniversaire, couple, couple avec cœur, couple avec cœur : adulte, adulte, peau mate et peau claire, cœur, femme, homme, peau claire, peau mate, rendez-vous
🧑🏾‍❤‍🧑🏼	adulte, amour, anniversaire, couple, couple avec cœur, couple avec cœur : adulte, adulte, peau mate et peau moyennement claire, cœur, femme, homme, peau mate, peau moyennement claire, rendez-vous
🧑🏾‍❤‍🧑🏽	adulte, amour, anniversaire, couple, couple avec cœur, couple avec cœur : adulte, adulte, peau mate et peau légèrement mate, cœur, femme, homme, peau légèrement mate, peau mate, rendez-vous
🧑🏾‍❤‍🧑🏿	adulte, amour, anniversaire, couple, couple avec cœur, couple avec cœur : adulte, adulte, peau mate et peau foncée, cœur, femme, homme, peau foncée, peau mate, rendez-vous
🧑🏿‍❤‍🧑🏻	adulte, amour, anniversaire, couple, couple avec cœur, couple avec cœur : adulte, adulte, peau foncée et peau claire, cœur, femme, homme, peau claire, peau foncée, rendez-vous
🧑🏿‍❤‍🧑🏼	adulte, amour, anniversaire, couple, couple avec cœur, couple avec cœur : adulte, adulte, peau foncée et peau moyennement claire, cœur, femme, homme, peau foncée, peau moyennement claire, rendez-vous
🧑🏿‍❤‍🧑🏽	adulte, amour, anniversaire, couple, couple avec cœur, couple avec cœur : adulte, adulte, peau foncée et peau légèrement mate, cœur, femme, homme, peau foncée, peau légèrement mate, rendez-vous
🧑🏿‍❤‍🧑🏾	adulte, amour, anniversaire, couple, couple avec cœur, couple avec cœur : adulte, adulte, peau foncée et peau mate, cœur, femme, homme, peau foncée, peau mate, rendez-vous
🧑‍🦰	adulte, adulte : cheveux roux, cheveux roux, genre neutre, non-genré
🧑🏻‍🦰	adulte, adulte : peau claire et cheveux roux, cheveux roux, genre neutre, non-genré, peau claire
🧑🏼‍🦰	adulte, adulte : peau moyennement claire et cheveux roux, cheveux roux, genre neutre, non-genré, peau moyennement claire
🧑🏽‍🦰	adulte, adulte : peau légèrement mate et cheveux roux, cheveux roux, genre neutre, non-genré, peau légèrement mate
🧑🏾‍🦰	adulte, adulte : peau mate et cheveux roux, cheveux roux, genre neutre, non-genré, peau mate
🧑🏿‍🦰	adulte, adulte : peau foncée et cheveux roux, cheveux roux, genre neutre, non-genré, peau foncée
🧑‍🦱	adulte, adulte : cheveux bouclés, cheveux bouclés, genre neutre, non-genré
🧑🏻‍🦱	adulte, adulte : peau claire et cheveux bouclés, cheveux bouclés, genre neutre, non-genré, peau claire
🧑🏼‍🦱	adulte, adulte : peau moyennement claire et cheveux bouclés, cheveux bouclés, genre neutre, non-genré, peau moyennement claire
🧑🏽‍🦱	adulte, adulte : peau légèrement mate et cheveux bouclés, cheveux bouclés, genre neutre, non-genré, peau légèrement mate
🧑🏾‍🦱	adulte, adulte : peau mate et cheveux bouclés, cheveux bouclés, genre neutre, non-genré, peau mate
🧑🏿‍🦱	adulte, adulte : peau foncée et cheveux bouclés, cheveux bouclés, genre neutre, non-genré, peau foncée
🧑‍🦳	adulte, adulte : cheveux blancs, cheveux blancs, genre neutre, non-genré
🧑🏻‍🦳	adulte, adulte : peau claire et cheveux blancs, cheveux blancs, genre neutre, non-genré, peau claire
🧑🏼‍🦳	adulte, adulte : peau moyennement claire et cheveux blancs, cheveux blancs, genre neutre, non-genré, peau moyennement claire
🧑🏽‍🦳	adulte, adulte : peau légèrement mate et cheveux blancs, cheveux blancs, genre neutre, non-genré, peau légèrement mate
🧑🏾‍🦳	adulte, adulte : peau mate et cheveux blancs, cheveux blancs, genre neutre, non-genré, peau mate
🧑🏿‍🦳	adulte, adulte : peau foncée et cheveux blancs, cheveux blancs, genre neutre, non-genré, peau foncée
🧑‍🦲	adulte, adulte : chauve, chauve, genre neutre, non-genré
🧑🏻‍🦲	adulte, adulte : peau claire et chauve, chauve, genre neutre, non-genré, peau claire
🧑🏼‍🦲	adulte, adulte : peau moyennement claire et chauve, chauve, genre neutre, non-genré, peau moyennement claire
🧑🏽‍🦲	adulte, adulte : peau légèrement mate et chauve, chauve, genre neutre, non-genré, peau légèrement mate
🧑🏾‍🦲	adulte, adulte : peau mate et chauve, chauve, genre neutre, non-genré, peau mate
🧑🏿‍🦲	adulte, adulte : peau foncée et chauve, chauve, genre neutre, non-genré, peau foncée
👨	ami, garçon, homme, personne, petit ami, pote
👨🏻	ami, garçon, homme, homme : peau claire, peau claire, personne, petit ami, pote
👨🏼	ami, garçon, homme, homme : peau moyennement claire, peau moyennement claire, personne, petit ami, pote
👨🏽	ami, garçon, homme, homme : peau légèrement mate, peau légèrement mate, personne, petit ami, pote
👨🏾	ami, garçon, homme, homme : peau mate, peau mate, personne, petit ami, pote
👨🏿	ami, garçon, homme, homme : peau foncée, peau foncée, personne, petit ami, pote
🧔	barbe, barbu, personne avec une barbe, personne barbue
🧔🏻	barbe, barbu, peau claire, personne avec une barbe, personne barbue, personne barbue : peau claire
🧔🏼	barbe, barbu, peau moyennement claire, personne avec une barbe, personne barbue, personne barbue : peau moyennement claire
🧔🏽	barbe, barbu, peau légèrement mate, personne avec une barbe, personne barbue, personne barbue : peau légèrement mate
🧔🏾	barbe, barbu, peau mate, personne avec une barbe, personne barbue, personne barbue : peau mate
🧔🏿	barbe, barbu, peau foncée, personne avec une barbe, personne barbue, personne barbue : peau foncée
🧔‍♂	barbe, homme barbu
🧔🏻‍♂	barbe, homme barbu, homme barbu : peau claire, peau claire
🧔🏼‍♂	barbe, homme barbu, homme barbu : peau moyennement claire, peau moyennement claire
🧔🏽‍♂	barbe, homme barbu, homme barbu : peau légèrement mate, peau légèrement mate
🧔🏾‍♂	barbe, homme barbu, homme barbu : peau mate, peau mate
🧔🏿‍♂	barbe, homme barbu, homme barbu : peau foncée, peau foncée
👱‍♂	blond, cheveux, homme blond
👱🏻‍♂	blond, cheveux, homme blond, homme blond : peau claire, peau claire
👱🏼‍♂	blond, cheveux, homme blond, homme blond : peau moyennement claire, peau moyennement claire
👱🏽‍♂	blond, cheveux, homme blond, homme blond : peau légèrement mate, peau légèrement mate
👱🏾‍♂	blond, cheveux, homme blond, homme blond : peau mate, peau mate
👱🏿‍♂	blond, cheveux, homme blond, homme blond : peau foncée, peau foncée
👨🏻‍❤‍💋‍👨🏻	amour, anniversaire, baiser, bisou, bisou : homme, homme et peau claire, couple, femme, homme, peau claire
👨🏻‍❤‍💋‍👨🏼	amour, anniversaire, baiser, bisou, bisou : homme, homme, peau claire et peau moyennement claire, couple, femme, homme, peau claire, peau moyennement claire
👨🏻‍❤‍💋‍👨🏽	amour, anniversaire, baiser, bisou, bisou : homme, homme, peau claire et peau légèrement mate, couple, femme, homme, peau claire, peau légèrement mate
👨🏻‍❤‍💋‍👨🏾	amour, anniversaire, baiser, bisou, bisou : homme, homme, peau claire et peau mate, couple, femme, homme, peau claire, peau mate
👨🏻‍❤‍💋‍👨🏿	amour, anniversaire, baiser, bisou, bisou : homme, homme, peau claire et peau foncée, couple, femme, homme, peau claire, peau foncée
👨🏼‍❤‍💋‍👨🏻	amour, anniversaire, baiser, bisou, bisou : homme, homme, peau moyennement claire et peau claire, couple, femme, homme, peau claire, peau moyennement claire
👨🏼‍❤‍💋‍👨🏼	amour, anniversaire, baiser, bisou, bisou : homme, homme et peau moyennement claire, couple, femme, homme, peau moyennement claire
👨🏼‍❤‍💋‍👨🏽	amour, anniversaire, baiser, bisou, bisou : homme, homme, peau moyennement claire et peau légèrement mate, couple, femme, homme, peau légèrement mate, peau moyennement claire
👨🏼‍❤‍💋‍👨🏾	amour, anniversaire, baiser, bisou, bisou : homme, homme, peau moyennement claire et peau mate, couple, femme, homme, peau mate, peau moyennement claire
👨🏼‍❤‍💋‍👨🏿	amour, anniversaire, baiser, bisou, bisou : homme, homme, peau moyennement claire et peau foncée, couple, femme, homme, peau foncée, peau moyennement claire
👨🏽‍❤‍💋‍👨🏻	amour, anniversaire, baiser, bisou, bisou : homme, homme, peau légèrement mate et peau claire, couple, femme, homme, peau claire, peau légèrement mate
👨🏽‍❤‍💋‍👨🏼	amour, anniversaire, baiser, bisou, bisou : homme, homme, peau légèrement mate et peau moyennement claire, couple, femme, homme, peau légèrement mate, peau moyennement claire
👨🏽‍❤‍💋‍👨🏽	amour, anniversaire, baiser, bisou, bisou : homme, homme et peau légèrement mate, couple, femme, homme, peau légèrement mate
👨🏽‍❤‍💋‍👨🏾	amour, anniversaire, baiser, bisou, bisou : homme, homme, peau légèrement mate et peau mate, couple, femme, homme, peau légèrement mate, peau mate
👨🏽‍❤‍💋‍👨🏿	amour, anniversaire, baiser, bisou, bisou : homme, homme, peau légèrement mate et peau foncée, couple, femme, homme, peau foncée, peau légèrement mate
👨🏾‍❤‍💋‍👨🏻	amour, anniversaire, baiser, bisou, bisou : homme, homme, peau mate et peau claire, couple, femme, homme, peau claire, peau mate
👨🏾‍❤‍💋‍👨🏼	amour, anniversaire, baiser, bisou, bisou : homme, homme, peau mate et peau moyennement claire, couple, femme, homme, peau mate, peau moyennement claire
👨🏾‍❤‍💋‍👨🏽	amour, anniversaire, baiser, bisou, bisou : homme, homme, peau mate et peau légèrement mate, couple, femme, homme, peau légèrement mate, peau mate
👨🏾‍❤‍💋‍👨🏾	amour, anniversaire, baiser, bisou, bisou : homme, homme et peau mate, couple, femme, homme, peau mate
👨🏾‍❤‍💋‍👨🏿	amour, anniversaire, baiser, bisou, bisou : homme, homme, peau mate et peau foncée, couple, femme, homme, peau foncée, peau mate
👨🏿‍❤‍💋‍👨🏻	amour, anniversaire, baiser, bisou, bisou : homme, homme, peau foncée et peau claire, couple, femme, homme, peau claire, peau foncée
👨🏿‍❤‍💋‍👨🏼	amour, anniversaire, baiser, bisou, bisou : homme, homme, peau foncée et peau moyennement claire, couple, femme, homme, peau foncée, peau moyennement claire
👨🏿‍❤‍💋‍👨🏽	amour, anniversaire, baiser, bisou, bisou : homme, homme, peau foncée et peau légèrement mate, couple, femme, homme, peau foncée, peau légèrement mate
👨🏿‍❤‍💋‍👨🏾	amour, anniversaire, baiser, bisou, bisou : homme, homme, peau foncée et peau mate, couple, femme, homme, peau foncée, peau mate
👨🏿‍❤‍💋‍👨🏿	amour, anniversaire, baiser, bisou, bisou : homme, homme et peau foncée, couple, femme, homme, peau foncée
👨🏻‍❤‍👨🏻	amour, anniversaire, couple, couple avec cœur, couple avec cœur : homme, homme et peau claire, cœur, femme, homme, peau claire, rendez-vous
👨🏻‍❤‍👨🏼	amour, anniversaire, couple, couple avec cœur, couple avec cœur : homme, homme, peau claire et peau moyennement claire, cœur, femme, homme, peau claire, peau moyennement claire, rendez-vous
👨🏻‍❤‍👨🏽	amour, anniversaire, couple, couple avec cœur, couple avec cœur : homme, homme, peau claire et peau légèrement mate, cœur, femme, homme, peau claire, peau légèrement mate, rendez-vous
👨🏻‍❤‍👨🏾	amour, anniversaire, couple, couple avec cœur, couple avec cœur : homme, homme, peau claire et peau mate, cœur, femme, homme, peau claire, peau mate, rendez-vous
👨🏻‍❤‍👨🏿	amour, anniversaire, couple, couple avec cœur, couple avec cœur : homme, homme, peau claire et peau foncée, cœur, femme, homme, peau claire, peau foncée, rendez-vous
👨🏼‍❤‍👨🏻	amour, anniversaire, couple, couple avec cœur, couple avec cœur : homme, homme, peau moyennement claire et peau claire, cœur, femme, homme, peau claire, peau moyennement claire, rendez-vous
👨🏼‍❤‍👨🏼	amour, anniversaire, couple, couple avec cœur, couple avec cœur : homme, homme et peau moyennement claire, cœur, femme, homme, peau moyennement claire, rendez-vous
👨🏼‍❤‍👨🏽	amour, anniversaire, couple, couple avec cœur, couple avec cœur : homme, homme, peau moyennement claire et peau légèrement mate, cœur, femme, homme, peau légèrement mate, peau moyennement claire, rendez-vous
👨🏼‍❤‍👨🏾	amour, anniversaire, couple, couple avec cœur, couple avec cœur : homme, homme, peau moyennement claire et peau mate, cœur, femme, homme, peau mate, peau moyennement claire, rendez-vous
👨🏼‍❤‍👨🏿	amour, anniversaire, couple, couple avec cœur, couple avec cœur : homme, homme, peau moyennement claire et peau foncée, cœur, femme, homme, peau foncée, peau moyennement claire, rendez-vous
👨🏽‍❤‍👨🏻	amour, anniversaire, couple, couple avec cœur, couple avec cœur : homme, homme, peau légèrement mate et peau claire, cœur, femme, homme, peau claire, peau légèrement mate, rendez-vous
👨🏽‍❤‍👨🏼	amour, anniversaire, couple, couple avec cœur, couple avec cœur : homme, homme, peau légèrement mate et peau moyennement claire, cœur, femme, homme, peau légèrement mate, peau moyennement claire, rendez-vous
👨🏽‍❤‍👨🏽	amour, anniversaire, couple, couple avec cœur, couple avec cœur : homme, homme et peau légèrement mate, cœur, femme, homme, peau légèrement mate, rendez-vous
