‾	επάνω γραμμή
😫	κουρασμένο πρόσωπο, κουρασμένος, λυπημένος, πρόσωπο, ύπνος
🥱	zzz, αγουροξυπνημένος, βαρετός, βαριέμαι, καληνύχτα, κουρασμένος, νυστάζω, πρόσωπο που χασμουριέται, χασμουρητό, χασμουριέμαι, ύπνος
😤	έξαλλος, δυστυχισμένος, θρίαμβος, θυμωμένος, θυμός, καπνίζω, καπνοί από τη μύτη, καπνοί από τη μύτη, καπνός, νικητής, οργή, πρόσωπο
😡	αναστατωμένος, απόχρωση, δυστυχισμένος, εξοργισμένος, θυμωμένος, θυμός, κατσουφιασμένο πρόσωπο, κατσούφιασμα, κόκκινος, μορφασμός, οργή, οργισμένος, πρόσωπο
😠	αναστατωμένος, απόχρωση, δυσαρεστημένος, εξοργισμένος, θυμωμένο πρόσωπο, θυμωμένος, θυμός, κατηγορώ, οργή, οργισμένος, πρόσωπο, συναισθήματα
🤬	έξαλλος, βλαστήμιες, βλαστημώ, βρίζω, βρίσιμο, βρισιές, εξαγριωμένος, λογοκρίνω, πρόσωπο με σύμβολα στο στόμα
😈	διαβολικός, κέρατα, παραμύθι, πρόσωπο, σατανικός, σκιά, φαντασία, χαμογελαστό πρόσωπο με κέρατα, χαμόγελο, χαμόγελο με κέρατα
👿	δαίμονας, διάβολος, διαβολάκι, διαβολικός, θυμωμένο πρόσωπο με κέρατα, κατεργάρης, παραμύθι, πονηρός, πρόσωπο, σατανικός, σκιά, φαντασία
💀	είμαι νεκρός, θάνατος, κρανίο, νεκρός, παραμύθι, πρόσωπο, σώμα, τέρας
☠️	θάνατος, κρανίο, κρανίο με κόκκαλα, κόκκαλο, νεκροκεφαλή, νεκρός, οστά χιαστί, πρόσωπο, σώμα, τέρας
💩	ανοησία, βρωμάει, βρωμερό, γαμώτο, κακά, κοπριά, κόπρανα, μπαρούφα, μπούρδες, παπαρολογία, περιττώματα, πρόσωπο, σκατά
🤡	αστεία φάτσα, κλόουν, πρόσωπο
👹	δαίμονας, ιαπωνικό, μάσκα, παραμύθι, πλάσμα, πρόσωπο, τέρας, τρολ, τρομακτικό, φαντασία
👺	θυμωμένος, ιαπωνικό, κακός, καλικάντζαρος, μάσκα, παραμύθι, πλάσμα, πρόσωπο, τέρας, φαντασία
👻	Χάλογουιν, ανόητος, αστείος, ενθουσιασμένος, μπου, παραμύθι, πλάσμα, πρόσωπο, στοιχειωμένος, τέρας, τρομακτικός, φάντασμα, φαντασία
👽️	διάστημα, εξωγήινος, ούφο, παραμύθι, πλάσμα, πρόσωπο, τέρας, τερατόμορφος, φαντασία
👾	άτια, διάστημα, εισβολείς από το διάστημα, εξωγήινο τέρας, εξωγήινος, ούφο, παιχνίδι, παιχνίδια, παραμύθι, πιξελιασμένο, πλάσμα, πρόσωπο, τέρας, φαντασία
🤖	πρόσωπο, ρομπότ, τέρας
😺	ανοιχτό, γάτα, γάτα με πλατύ χαμόγελο, ζώο, πρόσωπο, στόμα, χαμόγελο
😸	γάτα, γάτα με πλατύ χαμόγελο και γελαστά μάτια, ζώο, μάτι, πλατύ χαμόγελο, πρόσωπο, χαμόγελο
😹	γάτα, γάτα που κλαίει από χαρά, γέλιο, δάκρυ, δυνατό γέλιο, ζώο, πρόσωπο, χαρά
😻	αγάπη, γάτα, γάτα που χαμογελάει με μάτια καρδούλες, ζώο, καρδιά, μάτι, πρόσωπο, χαμόγελο
😼	γάτα, γάτα που χαμογελάει ειρωνικά, ειρωνεύομαι, ειρωνικός, ζώο, καυστικός, πρόσωπο, στραβό χαμόγελο, στραβός, χαμόγελο
😽	γάτα, γάτα που φιλάει με κλειστά μάτια, ζώο, μάτι, πρόσωπο, φιλί, φιλώ
🙀	έκπληκτη γάτα, έκπληκτος, γάτα, ζώο, κουρασμένος, πρόσωπο
😿	γάτα, γάτα που κλαίει, δάκρυ, θλιμμένος, κλαίω, πρόσωπο
😾	γάτα, κατσουφιασμένη γάτα, κατσουφιασμένος, κατσούφης, πρόσωπο
🙈	απαγορευμένος, απαγορεύεται, βλέπω, δεν, διαβολικός, κάνω πως δεν βλέπω, κίνηση, κακό, μαϊμού, ντροπιασμένος, ξέχασα, πρόσωπο, φοβισμένο, χειρονομία, όχι
🙉	ακούω, απαγορευμένος, απαγορεύεται, αυτιά, δεν, διαβολικός, ζώο, κάνω πως δεν ακούω, κίνηση, κακό, μαϊμού, μυστικό, πρόσωπο, όχι
🙊	απαγορευμένος, απαγορεύεται, δεν, διαβολικός, κάνω πως δεν μιλώ, κίνηση, μαϊμού, μιλάω, ουπς, πρόσωπο, όχι
💌	έρωτας, αγάπη, αλληλογραφία, γράμμα, ειδύλλιο, εραστής, ερωτικό γράμμα, καρδιά
💘	143, Βαλεντίνος, έρωτας, αίσθημα, αξιαγάπητος, βέλος, ειδύλλιο, θεός Έρωτας, καρδιά, καρδιά με βέλος, ραντεβού, ρομάντζο, σε αγαπώ
💝	143, Βαλεντίνος, επέτειος, καρδιά, καρδιά με κορδέλα, κορδέλα, συναίσθημα, φιλιά
💖	143, αστράφτω, αστραφτερή καρδιά, ενθουσιασμένος, καληνύχτα, καρδιά, καρδιά που αστράφτει, πρωί, σε αγαπώ, συναίσθημα, φιλιά, χο χο
💗	143, αυξανόμενος, ενθουσιασμένος, καρδιά, καρδιά που μεγαλώνει, ματς μουτς, νευρικός, παλμός, παλμός καρδιάς, σε αγαπώ, συναίσθημα, φιλιά, χο χο
💓	143, αγάπη, καρδιά, καρδιά που χτυπά, καρδιοχτύπι, πάλλεται, παλμός, συναίσθημα, χτυπά
💞	143, επέτειος, καρδιά, καρδιές που γυρίζουν, περιστρεφόμενη, συναίσθημα
💕	143, έρωτας, αίσθημα, αγάπη, δύο, δύο καρδιές, επέτειος, καρδιά, καρδιές, ραντεβού, σε αγαπώ, συναίσθημα, φιλιά
💟	143, άσπρη καρδιά, διακόσμηση καρδιά, καρδιά, καρδιά σε πλαίσιο, λευκή καρδιά, μοβ καρδιά
❣️	θαυμαστικό, καρδιά, καρδιά θαυμαστικό, σημείο, στίξη
💔	καρδιά, λυπημένος, μόνος, πληγωμένος, ραγισμένη καρδιά, σπάω, σπασμένος, συναίσθημα, συντετριμένος
❤‍🔥	αγάπη, καίω, καρδιά, καρδιά που καίγεται, πόθος
❤‍🩹	ανάκαμψη, ανάρρωση, αποκατάσταση, βελτίωση, καρδιά που αναρρώνει, υγιέστερος
❤️	αγάπη, καρδιά, κόκκινη καρδιά, συναίσθημα
🩷	αγάπη, γλυκό, καρδιά, μου αρέσει, ροζ, ροζ καρδιά
🧡	143, καρδιά, πορτοκαλί, πορτοκαλί καρδιά
💛	143, αγάπη, κίτρινη, κίτρινη καρδιά, καρδιά, καρδιακός, σε αγαπώ, συναίσθημα
💚	143, αγάπη, καρδιά, πράσινη, πράσινη καρδιά, ρομαντικό, ρομαντικός, συναίσθημα
💙	143, αγάπη, καρδιά, μπλε, μπλε καρδιά, ρομάντζο, συναίσθημα
🩵	γαλάζια, γαλάζια καρδιά, γαλαζοπράσινο, καρδιά, μπλε, μπλε παστέλ
💜	143, αγάπη, μοβ, μοβ καρδιά, συναίσθημα
🤎	καρδιά, καφέ, καφέ καρδιά
🖤	αποτρόπαιος, κακός, καρδιά, μαγεμένος, μαύρη καρδιά, μαύρο, σατανικός
🩶	ασημί, γκρι, γκρι καρδιά, καρδιά, σχιστόλιθος
🤍	καρδιά, λευκή καρδιά, λευκό
💋	έρωτας, αισθησιακός, ειδύλλιο, καρδιά, ραντεβού, σέξυ, σημάδι, σημάδι από φιλί, συναίσθημα, φιλί, χείλη
💯	100, Α+, αλήθεια, βαθμολογία, εκατό, εκατό πόντοι, ξεκάθαρα, οπωσδήποτε, πλήρες, συμφωνώ, τέλεια βαθμολογία
💢	αναστατωμένος, θυμωμένος, κόμικ, οργισμένος, σύμβολο θυμού
💥	έκρηξη, βόμβα, κόμικ, μπουμ, σύγκρουση
💫	αστέρι, αστέρια, αστεράκια, ζαλάδα, κόμικ, πεφταστέρι
💦	αθλούμαι, ασκούμαι, ιδρώτας, κόμικ, νερό, πιτσιλάω, πιτσιλιά, πιτσιλιές, προπόνηση, στάζω, σταγόνες ιδρώτα, σωματική άσκηση
💨	έφυγε, αέρια, γρήγορα, καπνός, κόμικ, ορμή, πρέπει να φύγω, σύννεφο, τρέξιμο, φεύγω μακριά
🕳️	μαύρη, τρύπα
💬	διάλογος, κείμενο, κόμικ, λόγος, μήνυμα, μπαλόνι, ομιλία, πληκτρολογώ, συννεφάκι, συννεφάκι ομιλίας, φούσκα
👁‍🗨	γίνομαι μάρτυρας, μάρτυρας, μάτι, μάτι σε συννεφάκι ομιλίας, συννεφάκι, συνομιλία
🗨️	αριστερό συννεφάκι ομιλίας, διάλογος, συνομιλία
🗯️	δεξί συννεφάκι θυμού, θυμωμένος, θυμός, μπαλόνι, συννεφάκι
💭	αποφάσεις, εφευρίσκω, εφεύρεση, ιδέα, κόμικ, μπαλόνι, ονειροπολώ, πραγματοποιώ, σκέφτομαι, σκέψη, συννεφάκι, συννεφάκι σκέψης, σύννεφο, σύννεφο σκέψης, όνειρα, όνειρο
💤	βαρετός, ζζζ, κοιμισμένος, κουρασμένος, κόμικ, νυστάζω, ύπνος
👋	bb, αντίο, αργότερα, γεια, είσαι εκεί, νεύμα, σώμα, τα λέμε, τι λέει, χέρι, χέρι που χαιρετά, χαιρετισμούς, χαιρετώ
👋🏻	bb, ανοιχτόχρωμος τόνος δέρματος, αντίο, αργότερα, γεια, είσαι εκεί, νεύμα, σώμα, τα λέμε, τι λέει, χέρι, χέρι που χαιρετά, χέρι που χαιρετά: ανοιχτόχρωμος τόνος δέρματος, χαιρετισμούς, χαιρετώ
👋🏼	bb, αντίο, αργότερα, γεια, είσαι εκεί, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, νεύμα, σώμα, τα λέμε, τι λέει, χέρι, χέρι που χαιρετά, χέρι που χαιρετά: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, χαιρετισμούς, χαιρετώ
👋🏽	bb, αντίο, αργότερα, γεια, είσαι εκεί, μεσαίος τόνος δέρματος, νεύμα, σώμα, τα λέμε, τι λέει, χέρι, χέρι που χαιρετά, χέρι που χαιρετά: μεσαίος τόνος δέρματος, χαιρετισμούς, χαιρετώ
👋🏾	bb, αντίο, αργότερα, γεια, είσαι εκεί, μεσαίος-σκούρος τόνος δέρματος, νεύμα, σώμα, τα λέμε, τι λέει, χέρι, χέρι που χαιρετά, χέρι που χαιρετά: μεσαίος-σκούρος τόνος δέρματος, χαιρετισμούς, χαιρετώ
👋🏿	bb, αντίο, αργότερα, γεια, είσαι εκεί, νεύμα, σκούρος τόνος δέρματος, σώμα, τα λέμε, τι λέει, χέρι, χέρι που χαιρετά, χέρι που χαιρετά: σκούρος τόνος δέρματος, χαιρετισμούς, χαιρετώ
🤚	ανάποδη χεριού, σηκωμένη ανάποδη χεριού, σηκωμένο, σηκωμένο χέρι ανάποδα
🤚🏻	ανάποδη χεριού, ανοιχτόχρωμος τόνος δέρματος, σηκωμένη ανάποδη χεριού, σηκωμένο, σηκωμένο χέρι ανάποδα, σηκωμένο χέρι ανάποδα: ανοιχτόχρωμος τόνος δέρματος
🤚🏼	ανάποδη χεριού, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, σηκωμένη ανάποδη χεριού, σηκωμένο, σηκωμένο χέρι ανάποδα, σηκωμένο χέρι ανάποδα: μεσαίος-ανοιχτόχρωμος τόνος δέρματος
🤚🏽	ανάποδη χεριού, μεσαίος τόνος δέρματος, σηκωμένη ανάποδη χεριού, σηκωμένο, σηκωμένο χέρι ανάποδα, σηκωμένο χέρι ανάποδα: μεσαίος τόνος δέρματος
🤚🏾	ανάποδη χεριού, μεσαίος-σκούρος τόνος δέρματος, σηκωμένη ανάποδη χεριού, σηκωμένο, σηκωμένο χέρι ανάποδα, σηκωμένο χέρι ανάποδα: μεσαίος-σκούρος τόνος δέρματος
🤚🏿	ανάποδη χεριού, σηκωμένη ανάποδη χεριού, σηκωμένο, σηκωμένο χέρι ανάποδα, σηκωμένο χέρι ανάποδα: σκούρος τόνος δέρματος, σκούρος τόνος δέρματος
🖐️	ανοίγω, ανοιχτά δάχτυλα, δάχτυλο, μούντζα, σταματώ, υψωμένο χέρι με απλωμένα δάχτυλα, φάσκελο, χέρι
🖐🏻	ανοίγω, ανοιχτά δάχτυλα, ανοιχτόχρωμος τόνος δέρματος, δάχτυλο, μούντζα, μούντζα: ανοιχτόχρωμος τόνος δέρματος, σταματώ, υψωμένο χέρι με απλωμένα δάχτυλα, φάσκελο, χέρι
🖐🏼	ανοίγω, ανοιχτά δάχτυλα, δάχτυλο, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μούντζα, μούντζα: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, σταματώ, υψωμένο χέρι με απλωμένα δάχτυλα, φάσκελο, χέρι
🖐🏽	ανοίγω, ανοιχτά δάχτυλα, δάχτυλο, μεσαίος τόνος δέρματος, μούντζα, μούντζα: μεσαίος τόνος δέρματος, σταματώ, υψωμένο χέρι με απλωμένα δάχτυλα, φάσκελο, χέρι
🖐🏾	ανοίγω, ανοιχτά δάχτυλα, δάχτυλο, μεσαίος-σκούρος τόνος δέρματος, μούντζα, μούντζα: μεσαίος-σκούρος τόνος δέρματος, σταματώ, υψωμένο χέρι με απλωμένα δάχτυλα, φάσκελο, χέρι
🖐🏿	ανοίγω, ανοιχτά δάχτυλα, δάχτυλο, μούντζα, μούντζα: σκούρος τόνος δέρματος, σκούρος τόνος δέρματος, σταματώ, υψωμένο χέρι με απλωμένα δάχτυλα, φάσκελο, χέρι
✋️	κόλλα πέντε, πέντε, σηκωμένο χέρι, σταμάτα, σώμα, χέρι
✋🏻	ανοιχτόχρωμος τόνος δέρματος, κόλλα πέντε, πέντε, σηκωμένο χέρι, σηκωμένο χέρι: ανοιχτόχρωμος τόνος δέρματος, σταμάτα, σώμα, χέρι
✋🏼	κόλλα πέντε, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, πέντε, σηκωμένο χέρι, σηκωμένο χέρι: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, σταμάτα, σώμα, χέρι
✋🏽	κόλλα πέντε, μεσαίος τόνος δέρματος, πέντε, σηκωμένο χέρι, σηκωμένο χέρι: μεσαίος τόνος δέρματος, σταμάτα, σώμα, χέρι
✋🏾	κόλλα πέντε, μεσαίος-σκούρος τόνος δέρματος, πέντε, σηκωμένο χέρι, σηκωμένο χέρι: μεσαίος-σκούρος τόνος δέρματος, σταμάτα, σώμα, χέρι
✋🏿	κόλλα πέντε, πέντε, σηκωμένο χέρι, σηκωμένο χέρι: σκούρος τόνος δέρματος, σκούρος τόνος δέρματος, σταμάτα, σώμα, χέρι
🖖	vulcan, δάχτυλο, σποκ, σώμα, χέρι, χαιρετισμός vulkan, χαιρετισμός σποκ
🖖🏻	vulcan, ανοιχτόχρωμος τόνος δέρματος, δάχτυλο, σποκ, σώμα, χέρι, χαιρετισμός vulkan, χαιρετισμός σποκ, χαιρετισμός σποκ: ανοιχτόχρωμος τόνος δέρματος
🖖🏼	vulcan, δάχτυλο, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, σποκ, σώμα, χέρι, χαιρετισμός vulkan, χαιρετισμός σποκ, χαιρετισμός σποκ: μεσαίος-ανοιχτόχρωμος τόνος δέρματος
🖖🏽	vulcan, δάχτυλο, μεσαίος τόνος δέρματος, σποκ, σώμα, χέρι, χαιρετισμός vulkan, χαιρετισμός σποκ, χαιρετισμός σποκ: μεσαίος τόνος δέρματος
🖖🏾	vulcan, δάχτυλο, μεσαίος-σκούρος τόνος δέρματος, σποκ, σώμα, χέρι, χαιρετισμός vulkan, χαιρετισμός σποκ, χαιρετισμός σποκ: μεσαίος-σκούρος τόνος δέρματος
🖖🏿	vulcan, δάχτυλο, σκούρος τόνος δέρματος, σποκ, σώμα, χέρι, χαιρετισμός vulkan, χαιρετισμός σποκ, χαιρετισμός σποκ: σκούρος τόνος δέρματος
🫱	δεξιά, προς τα δεξιά, χέρι, χέρι προς τα δεξιά, χειραψία
🫱🏻	ανοιχτόχρωμος τόνος δέρματος, δεξιά, προς τα δεξιά, χέρι, χέρι προς τα δεξιά, χέρι προς τα δεξιά: ανοιχτόχρωμος τόνος δέρματος, χειραψία
🫱🏼	δεξιά, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, προς τα δεξιά, χέρι, χέρι προς τα δεξιά, χέρι προς τα δεξιά: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, χειραψία
🫱🏽	δεξιά, μεσαίος τόνος δέρματος, προς τα δεξιά, χέρι, χέρι προς τα δεξιά, χέρι προς τα δεξιά: μεσαίος τόνος δέρματος, χειραψία
🫱🏾	δεξιά, μεσαίος-σκούρος τόνος δέρματος, προς τα δεξιά, χέρι, χέρι προς τα δεξιά, χέρι προς τα δεξιά: μεσαίος-σκούρος τόνος δέρματος, χειραψία
🫱🏿	δεξιά, προς τα δεξιά, σκούρος τόνος δέρματος, χέρι, χέρι προς τα δεξιά, χέρι προς τα δεξιά: σκούρος τόνος δέρματος, χειραψία
🫱🏻‍🫲🏼	ανοιχτόχρωμος τόνος δέρματος, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, συμφωνία, συνάντηση, σφίγγω, σύμφωνοι, χέρι, χειραψία, χειραψία: ανοιχτόχρωμος τόνος δέρματος, μεσαίος-ανοιχτόχρωμος τόνος δέρματος
🫱🏻‍🫲🏽	ανοιχτόχρωμος τόνος δέρματος, μεσαίος τόνος δέρματος, συμφωνία, συνάντηση, σφίγγω, σύμφωνοι, χέρι, χειραψία, χειραψία: ανοιχτόχρωμος τόνος δέρματος, μεσαίος τόνος δέρματος
🫱🏻‍🫲🏾	ανοιχτόχρωμος τόνος δέρματος, μεσαίος-σκούρος τόνος δέρματος, συμφωνία, συνάντηση, σφίγγω, σύμφωνοι, χέρι, χειραψία, χειραψία: ανοιχτόχρωμος τόνος δέρματος, μεσαίος-σκούρος τόνος δέρματος
🫱🏻‍🫲🏿	ανοιχτόχρωμος τόνος δέρματος, σκούρος τόνος δέρματος, συμφωνία, συνάντηση, σφίγγω, σύμφωνοι, χέρι, χειραψία, χειραψία: ανοιχτόχρωμος τόνος δέρματος, σκούρος τόνος δέρματος
🫱🏼‍🫲🏻	ανοιχτόχρωμος τόνος δέρματος, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, συμφωνία, συνάντηση, σφίγγω, σύμφωνοι, χέρι, χειραψία, χειραψία: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, ανοιχτόχρωμος τόνος δέρματος
🫱🏼‍🫲🏽	μεσαίος τόνος δέρματος, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, συμφωνία, συνάντηση, σφίγγω, σύμφωνοι, χέρι, χειραψία, χειραψία: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μεσαίος τόνος δέρματος
🫱🏼‍🫲🏾	μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μεσαίος-σκούρος τόνος δέρματος, συμφωνία, συνάντηση, σφίγγω, σύμφωνοι, χέρι, χειραψία, χειραψία: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μεσαίος-σκούρος τόνος δέρματος
🫱🏼‍🫲🏿	μεσαίος-ανοιχτόχρωμος τόνος δέρματος, σκούρος τόνος δέρματος, συμφωνία, συνάντηση, σφίγγω, σύμφωνοι, χέρι, χειραψία, χειραψία: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, σκούρος τόνος δέρματος
🫱🏽‍🫲🏻	ανοιχτόχρωμος τόνος δέρματος, μεσαίος τόνος δέρματος, συμφωνία, συνάντηση, σφίγγω, σύμφωνοι, χέρι, χειραψία, χειραψία: μεσαίος τόνος δέρματος, ανοιχτόχρωμος τόνος δέρματος
🫱🏽‍🫲🏼	μεσαίος τόνος δέρματος, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, συμφωνία, συνάντηση, σφίγγω, σύμφωνοι, χέρι, χειραψία, χειραψία: μεσαίος τόνος δέρματος, μεσαίος-ανοιχτόχρωμος τόνος δέρματος
🫱🏽‍🫲🏾	μεσαίος τόνος δέρματος, μεσαίος-σκούρος τόνος δέρματος, συμφωνία, συνάντηση, σφίγγω, σύμφωνοι, χέρι, χειραψία, χειραψία: μεσαίος τόνος δέρματος, μεσαίος-σκούρος τόνος δέρματος
🫱🏽‍🫲🏿	μεσαίος τόνος δέρματος, σκούρος τόνος δέρματος, συμφωνία, συνάντηση, σφίγγω, σύμφωνοι, χέρι, χειραψία, χειραψία: μεσαίος τόνος δέρματος, σκούρος τόνος δέρματος
🫱🏾‍🫲🏻	ανοιχτόχρωμος τόνος δέρματος, μεσαίος-σκούρος τόνος δέρματος, συμφωνία, συνάντηση, σφίγγω, σύμφωνοι, χέρι, χειραψία, χειραψία: μεσαίος-σκούρος τόνος δέρματος, ανοιχτόχρωμος τόνος δέρματος
🫱🏾‍🫲🏼	μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μεσαίος-σκούρος τόνος δέρματος, συμφωνία, συνάντηση, σφίγγω, σύμφωνοι, χέρι, χειραψία, χειραψία: μεσαίος-σκούρος τόνος δέρματος, μεσαίος-ανοιχτόχρωμος τόνος δέρματος
🫱🏾‍🫲🏽	μεσαίος τόνος δέρματος, μεσαίος-σκούρος τόνος δέρματος, συμφωνία, συνάντηση, σφίγγω, σύμφωνοι, χέρι, χειραψία, χειραψία: μεσαίος-σκούρος τόνος δέρματος, μεσαίος τόνος δέρματος
🫱🏾‍🫲🏿	μεσαίος-σκούρος τόνος δέρματος, σκούρος τόνος δέρματος, συμφωνία, συνάντηση, σφίγγω, σύμφωνοι, χέρι, χειραψία, χειραψία: μεσαίος-σκούρος τόνος δέρματος, σκούρος τόνος δέρματος
🫱🏿‍🫲🏻	ανοιχτόχρωμος τόνος δέρματος, σκούρος τόνος δέρματος, συμφωνία, συνάντηση, σφίγγω, σύμφωνοι, χέρι, χειραψία, χειραψία: σκούρος τόνος δέρματος, ανοιχτόχρωμος τόνος δέρματος
🫱🏿‍🫲🏼	μεσαίος-ανοιχτόχρωμος τόνος δέρματος, σκούρος τόνος δέρματος, συμφωνία, συνάντηση, σφίγγω, σύμφωνοι, χέρι, χειραψία, χειραψία: σκούρος τόνος δέρματος, μεσαίος-ανοιχτόχρωμος τόνος δέρματος
🫱🏿‍🫲🏽	μεσαίος τόνος δέρματος, σκούρος τόνος δέρματος, συμφωνία, συνάντηση, σφίγγω, σύμφωνοι, χέρι, χειραψία, χειραψία: σκούρος τόνος δέρματος, μεσαίος τόνος δέρματος
🫱🏿‍🫲🏾	μεσαίος-σκούρος τόνος δέρματος, σκούρος τόνος δέρματος, συμφωνία, συνάντηση, σφίγγω, σύμφωνοι, χέρι, χειραψία, χειραψία: σκούρος τόνος δέρματος, μεσαίος-σκούρος τόνος δέρματος
🫲	αριστερά, προς τα αριστερά, χέρι, χέρι προς τα αριστερά, χειραψία
🫲🏻	ανοιχτόχρωμος τόνος δέρματος, αριστερά, προς τα αριστερά, χέρι, χέρι προς τα αριστερά, χέρι προς τα αριστερά: ανοιχτόχρωμος τόνος δέρματος, χειραψία
🫲🏼	αριστερά, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, προς τα αριστερά, χέρι, χέρι προς τα αριστερά, χέρι προς τα αριστερά: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, χειραψία
🫲🏽	αριστερά, μεσαίος τόνος δέρματος, προς τα αριστερά, χέρι, χέρι προς τα αριστερά, χέρι προς τα αριστερά: μεσαίος τόνος δέρματος, χειραψία
🫲🏾	αριστερά, μεσαίος-σκούρος τόνος δέρματος, προς τα αριστερά, χέρι, χέρι προς τα αριστερά, χέρι προς τα αριστερά: μεσαίος-σκούρος τόνος δέρματος, χειραψία
🫲🏿	αριστερά, προς τα αριστερά, σκούρος τόνος δέρματος, χέρι, χέρι προς τα αριστερά, χέρι προς τα αριστερά: σκούρος τόνος δέρματος, χειραψία
🫳	απόρριψη, διώχνω, ξουτ, παλάμη προς τα κάτω, πτώση, ρίχνω, ρίψη, σηκώνω, φύγε, χέρι
🫳🏻	ανοιχτόχρωμος τόνος δέρματος, απόρριψη, διώχνω, ξουτ, παλάμη προς τα κάτω, παλάμη προς τα κάτω: ανοιχτόχρωμος τόνος δέρματος, πτώση, ρίχνω, ρίψη, σηκώνω, φύγε, χέρι
🫳🏼	απόρριψη, διώχνω, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, ξουτ, παλάμη προς τα κάτω, παλάμη προς τα κάτω: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, πτώση, ρίχνω, ρίψη, σηκώνω, φύγε, χέρι
🫳🏽	απόρριψη, διώχνω, μεσαίος τόνος δέρματος, ξουτ, παλάμη προς τα κάτω, παλάμη προς τα κάτω: μεσαίος τόνος δέρματος, πτώση, ρίχνω, ρίψη, σηκώνω, φύγε, χέρι
🫳🏾	απόρριψη, διώχνω, μεσαίος-σκούρος τόνος δέρματος, ξουτ, παλάμη προς τα κάτω, παλάμη προς τα κάτω: μεσαίος-σκούρος τόνος δέρματος, πτώση, ρίχνω, ρίψη, σηκώνω, φύγε, χέρι
🫳🏿	απόρριψη, διώχνω, ξουτ, παλάμη προς τα κάτω, παλάμη προς τα κάτω: σκούρος τόνος δέρματος, πτώση, ρίχνω, ρίψη, σηκώνω, σκούρος τόνος δέρματος, φύγε, χέρι
🫴	έλα, κάλεσμα, νεύμα, παλάμη προς τα πάνω, προσφορά, πρόσκληση, χέρι
🫴🏻	έλα, ανοιχτόχρωμος τόνος δέρματος, κάλεσμα, νεύμα, παλάμη προς τα πάνω, παλάμη προς τα πάνω: ανοιχτόχρωμος τόνος δέρματος, προσφορά, πρόσκληση, χέρι
🫴🏼	έλα, κάλεσμα, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, νεύμα, παλάμη προς τα πάνω, παλάμη προς τα πάνω: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, προσφορά, πρόσκληση, χέρι
🫴🏽	έλα, κάλεσμα, μεσαίος τόνος δέρματος, νεύμα, παλάμη προς τα πάνω, παλάμη προς τα πάνω: μεσαίος τόνος δέρματος, προσφορά, πρόσκληση, χέρι
🫴🏾	έλα, κάλεσμα, μεσαίος-σκούρος τόνος δέρματος, νεύμα, παλάμη προς τα πάνω, παλάμη προς τα πάνω: μεσαίος-σκούρος τόνος δέρματος, προσφορά, πρόσκληση, χέρι
🫴🏿	έλα, κάλεσμα, νεύμα, παλάμη προς τα πάνω, παλάμη προς τα πάνω: σκούρος τόνος δέρματος, προσφορά, πρόσκληση, σκούρος τόνος δέρματος, χέρι
🫷	αριστερά, αρνούμαι, κόλλα το, περιμένω, προς τα αριστερά, σπρώχνω, σταματάω, χέρι που σπρώχνει προς τα αριστερά
🫷🏻	ανοιχτόχρωμος τόνος δέρματος, αριστερά, αρνούμαι, κόλλα το, περιμένω, προς τα αριστερά, σπρώχνω, σταματάω, χέρι που σπρώχνει προς τα αριστερά, χέρι που σπρώχνει προς τα αριστερά: ανοιχτόχρωμος τόνος δέρματος
🫷🏼	αριστερά, αρνούμαι, κόλλα το, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, περιμένω, προς τα αριστερά, σπρώχνω, σταματάω, χέρι που σπρώχνει προς τα αριστερά, χέρι που σπρώχνει προς τα αριστερά: μεσαίος-ανοιχτόχρωμος τόνος δέρματος
🫷🏽	αριστερά, αρνούμαι, κόλλα το, μεσαίος τόνος δέρματος, περιμένω, προς τα αριστερά, σπρώχνω, σταματάω, χέρι που σπρώχνει προς τα αριστερά, χέρι που σπρώχνει προς τα αριστερά: μεσαίος τόνος δέρματος
