‾	üst çizgi
👆️	el, elin arkası, elinin tersiyle yukarıyı gösteren işaret parmağı, işaret parmağı, parmak, yukarıyı gösteren parmak
👆🏻	açık cilt tonu, el, elin arkası, elinin tersiyle yukarıyı gösteren işaret parmağı, elinin tersiyle yukarıyı gösteren işaret parmağı: açık cilt tonu, işaret parmağı, parmak, yukarıyı gösteren parmak
👆🏼	el, elin arkası, elinin tersiyle yukarıyı gösteren işaret parmağı, elinin tersiyle yukarıyı gösteren işaret parmağı: orta açık cilt tonu, işaret parmağı, orta açık cilt tonu, parmak, yukarıyı gösteren parmak
👆🏽	el, elin arkası, elinin tersiyle yukarıyı gösteren işaret parmağı, elinin tersiyle yukarıyı gösteren işaret parmağı: orta cilt tonu, işaret parmağı, orta cilt tonu, parmak, yukarıyı gösteren parmak
👆🏾	el, elin arkası, elinin tersiyle yukarıyı gösteren işaret parmağı, elinin tersiyle yukarıyı gösteren işaret parmağı: orta koyu cilt tonu, işaret parmağı, orta koyu cilt tonu, parmak, yukarıyı gösteren parmak
👆🏿	el, elin arkası, elinin tersiyle yukarıyı gösteren işaret parmağı, elinin tersiyle yukarıyı gösteren işaret parmağı: koyu cilt tonu, işaret parmağı, koyu cilt tonu, parmak, yukarıyı gösteren parmak
🖕	beden, el, orta parmak, parmak
🖕🏻	açık cilt tonu, beden, el, orta parmak, orta parmak: açık cilt tonu, parmak
🖕🏼	beden, el, orta açık cilt tonu, orta parmak, orta parmak: orta açık cilt tonu, parmak
🖕🏽	beden, el, orta cilt tonu, orta parmak, orta parmak: orta cilt tonu, parmak
🖕🏾	beden, el, orta koyu cilt tonu, orta parmak, orta parmak: orta koyu cilt tonu, parmak
🖕🏿	beden, el, koyu cilt tonu, orta parmak, orta parmak: koyu cilt tonu, parmak
👇️	aşağıyı gösteren parmak, el, elin arkası, elinin tersiyle aşağıyı gösteren işaret parmağı, işaret parmağı, parmak
👇🏻	açık cilt tonu, aşağıyı gösteren parmak, el, elin arkası, elinin tersiyle aşağıyı gösteren işaret parmağı, elinin tersiyle aşağıyı gösteren işaret parmağı: açık cilt tonu, işaret parmağı, parmak
👇🏼	aşağıyı gösteren parmak, el, elin arkası, elinin tersiyle aşağıyı gösteren işaret parmağı, elinin tersiyle aşağıyı gösteren işaret parmağı: orta açık cilt tonu, işaret parmağı, orta açık cilt tonu, parmak
👇🏽	aşağıyı gösteren parmak, el, elin arkası, elinin tersiyle aşağıyı gösteren işaret parmağı, elinin tersiyle aşağıyı gösteren işaret parmağı: orta cilt tonu, işaret parmağı, orta cilt tonu, parmak
👇🏾	aşağıyı gösteren parmak, el, elin arkası, elinin tersiyle aşağıyı gösteren işaret parmağı, elinin tersiyle aşağıyı gösteren işaret parmağı: orta koyu cilt tonu, işaret parmağı, orta koyu cilt tonu, parmak
👇🏿	aşağıyı gösteren parmak, el, elin arkası, elinin tersiyle aşağıyı gösteren işaret parmağı, elinin tersiyle aşağıyı gösteren işaret parmağı: koyu cilt tonu, işaret parmağı, koyu cilt tonu, parmak
☝️	beden, el, gösterme, izin isteme, işaret parmağı, parmak, yukarı, yukarıyı gösteren işaret parmağı
☝🏻	açık cilt tonu, beden, el, gösterme, izin isteme, işaret parmağı, parmak, yukarı, yukarıyı gösteren işaret parmağı, yukarıyı gösteren işaret parmağı: açık cilt tonu
☝🏼	beden, el, gösterme, izin isteme, işaret parmağı, orta açık cilt tonu, parmak, yukarı, yukarıyı gösteren işaret parmağı, yukarıyı gösteren işaret parmağı: orta açık cilt tonu
☝🏽	beden, el, gösterme, izin isteme, işaret parmağı, orta cilt tonu, parmak, yukarı, yukarıyı gösteren işaret parmağı, yukarıyı gösteren işaret parmağı: orta cilt tonu
☝🏾	beden, el, gösterme, izin isteme, işaret parmağı, orta koyu cilt tonu, parmak, yukarı, yukarıyı gösteren işaret parmağı, yukarıyı gösteren işaret parmağı: orta koyu cilt tonu
☝🏿	beden, el, gösterme, izin isteme, işaret parmağı, koyu cilt tonu, parmak, yukarı, yukarıyı gösteren işaret parmağı, yukarıyı gösteren işaret parmağı: koyu cilt tonu
🫵	dürtmek, el, göstermek, işaret, işaret parmağı, karşıyı işaret eden işaret parmağı, onlar, orası, parmak, sen
🫵🏻	açık cilt tonu, dürtmek, el, göstermek, işaret, işaret parmağı, karşıyı işaret eden işaret parmağı, karşıyı işaret eden işaret parmağı: açık cilt tonu, onlar, orası, parmak, sen
🫵🏼	dürtmek, el, göstermek, işaret, işaret parmağı, karşıyı işaret eden işaret parmağı, karşıyı işaret eden işaret parmağı: orta açık cilt tonu, onlar, orası, orta açık cilt tonu, parmak, sen
🫵🏽	dürtmek, el, göstermek, işaret, işaret parmağı, karşıyı işaret eden işaret parmağı, karşıyı işaret eden işaret parmağı: orta cilt tonu, onlar, orası, orta cilt tonu, parmak, sen
🫵🏾	dürtmek, el, göstermek, işaret, işaret parmağı, karşıyı işaret eden işaret parmağı, karşıyı işaret eden işaret parmağı: orta koyu cilt tonu, onlar, orası, orta koyu cilt tonu, parmak, sen
🫵🏿	dürtmek, el, göstermek, işaret, işaret parmağı, karşıyı işaret eden işaret parmağı, karşıyı işaret eden işaret parmağı: koyu cilt tonu, koyu cilt tonu, onlar, orası, parmak, sen
👍️	+1, anlaştık, baş parmak yukarıda, bence de, beğendim, el, iyi, onay, tamam
👍🏻	+1, anlaştık, açık cilt tonu, baş parmak yukarıda: açık cilt tonu, bence de, beğendim, el, iyi, onay, tamam
👍🏼	+1, anlaştık, baş parmak yukarıda: orta açık cilt tonu, bence de, beğendim, el, iyi, onay, orta açık cilt tonu, tamam
👍🏽	+1, anlaştık, baş parmak yukarıda: orta cilt tonu, bence de, beğendim, el, iyi, onay, orta cilt tonu, tamam
👍🏾	+1, anlaştık, baş parmak yukarıda: orta koyu cilt tonu, bence de, beğendim, el, iyi, onay, orta koyu cilt tonu, tamam
👍🏿	+1, anlaştık, baş parmak yukarıda: koyu cilt tonu, bence de, beğendim, el, iyi, koyu cilt tonu, onay, tamam
👎️	aşağı, baş parmak, baş parmak aşağıda, el, işaret
👎🏻	açık cilt tonu, aşağı, baş parmak, baş parmak aşağıda, baş parmak aşağıda: açık cilt tonu, el, işaret
👎🏼	aşağı, baş parmak, baş parmak aşağıda, baş parmak aşağıda: orta açık cilt tonu, el, işaret, orta açık cilt tonu
👎🏽	aşağı, baş parmak, baş parmak aşağıda, baş parmak aşağıda: orta cilt tonu, el, işaret, orta cilt tonu
👎🏾	aşağı, baş parmak, baş parmak aşağıda, baş parmak aşağıda: orta koyu cilt tonu, el, işaret, orta koyu cilt tonu
👎🏿	aşağı, baş parmak, baş parmak aşağıda, baş parmak aşağıda: koyu cilt tonu, el, işaret, koyu cilt tonu
✊️	el, havada yumruk, yumruk, yumruk kaldırma
✊🏻	açık cilt tonu, el, havada yumruk, yumruk, yumruk kaldırma, yumruk kaldırma: açık cilt tonu
✊🏼	el, havada yumruk, orta açık cilt tonu, yumruk, yumruk kaldırma, yumruk kaldırma: orta açık cilt tonu
✊🏽	el, havada yumruk, orta cilt tonu, yumruk, yumruk kaldırma, yumruk kaldırma: orta cilt tonu
✊🏾	el, havada yumruk, orta koyu cilt tonu, yumruk, yumruk kaldırma, yumruk kaldırma: orta koyu cilt tonu
✊🏿	el, havada yumruk, koyu cilt tonu, yumruk, yumruk kaldırma, yumruk kaldırma: koyu cilt tonu
👊	anlaştık, bam, el, katılıyorum, tamam, yaklaşan yumruk, yumruk
👊🏻	anlaştık, açık cilt tonu, bam, el, katılıyorum, tamam, yaklaşan yumruk, yaklaşan yumruk: açık cilt tonu, yumruk
👊🏼	anlaştık, bam, el, katılıyorum, orta açık cilt tonu, tamam, yaklaşan yumruk, yaklaşan yumruk: orta açık cilt tonu, yumruk
👊🏽	anlaştık, bam, el, katılıyorum, orta cilt tonu, tamam, yaklaşan yumruk, yaklaşan yumruk: orta cilt tonu, yumruk
👊🏾	anlaştık, bam, el, katılıyorum, orta koyu cilt tonu, tamam, yaklaşan yumruk, yaklaşan yumruk: orta koyu cilt tonu, yumruk
👊🏿	anlaştık, bam, el, katılıyorum, koyu cilt tonu, tamam, yaklaşan yumruk, yaklaşan yumruk: koyu cilt tonu, yumruk
🤛	el, güm, sola bakan yumruk, sola doğru, yumruk
🤛🏻	açık cilt tonu, el, güm, sola bakan yumruk, sola bakan yumruk: açık cilt tonu, sola doğru, yumruk
🤛🏼	el, güm, orta açık cilt tonu, sola bakan yumruk, sola bakan yumruk: orta açık cilt tonu, sola doğru, yumruk
🤛🏽	el, güm, orta cilt tonu, sola bakan yumruk, sola bakan yumruk: orta cilt tonu, sola doğru, yumruk
🤛🏾	el, güm, orta koyu cilt tonu, sola bakan yumruk, sola bakan yumruk: orta koyu cilt tonu, sola doğru, yumruk
🤛🏿	el, güm, koyu cilt tonu, sola bakan yumruk, sola bakan yumruk: koyu cilt tonu, sola doğru, yumruk
🤜	el, güm, sağa bakan yumruk, sağa doğru, yumruk
🤜🏻	açık cilt tonu, el, güm, sağa bakan yumruk, sağa bakan yumruk: açık cilt tonu, sağa doğru, yumruk
🤜🏼	el, güm, orta açık cilt tonu, sağa bakan yumruk, sağa bakan yumruk: orta açık cilt tonu, sağa doğru, yumruk
🤜🏽	el, güm, orta cilt tonu, sağa bakan yumruk, sağa bakan yumruk: orta cilt tonu, sağa doğru, yumruk
🤜🏾	el, güm, orta koyu cilt tonu, sağa bakan yumruk, sağa bakan yumruk: orta koyu cilt tonu, sağa doğru, yumruk
🤜🏿	el, güm, koyu cilt tonu, sağa bakan yumruk, sağa bakan yumruk: koyu cilt tonu, sağa doğru, yumruk
👏	alkış, bravo, el, el çırpma, eller, işaret, tebrik, çırpma
👏🏻	alkış, açık cilt tonu, bravo, el, el çırpma: açık cilt tonu, eller, işaret, tebrik, çırpma
👏🏼	alkış, bravo, el, el çırpma: orta açık cilt tonu, eller, işaret, orta açık cilt tonu, tebrik, çırpma
👏🏽	alkış, bravo, el, el çırpma: orta cilt tonu, eller, işaret, orta cilt tonu, tebrik, çırpma
👏🏾	alkış, bravo, el, el çırpma: orta koyu cilt tonu, eller, işaret, orta koyu cilt tonu, tebrik, çırpma
👏🏿	alkış, bravo, el, el çırpma: koyu cilt tonu, eller, işaret, koyu cilt tonu, tebrik, çırpma
🙌	eller havaya, her iki el, kutlama, kutlamak için iki eli birden kaldırma, tebrikler, çak
🙌🏻	açık cilt tonu, eller havaya, eller havaya: açık cilt tonu, her iki el, kutlama, kutlamak için iki eli birden kaldırma, tebrikler, çak
🙌🏼	eller havaya, eller havaya: orta açık cilt tonu, her iki el, kutlama, kutlamak için iki eli birden kaldırma, orta açık cilt tonu, tebrikler, çak
🙌🏽	eller havaya, eller havaya: orta cilt tonu, her iki el, kutlama, kutlamak için iki eli birden kaldırma, orta cilt tonu, tebrikler, çak
🙌🏾	eller havaya, eller havaya: orta koyu cilt tonu, her iki el, kutlama, kutlamak için iki eli birden kaldırma, orta koyu cilt tonu, tebrikler, çak
🙌🏿	eller havaya, eller havaya: koyu cilt tonu, her iki el, koyu cilt tonu, kutlama, kutlamak için iki eli birden kaldırma, tebrikler, çak
🫶	<3, aşk, birlikte, biz, el, kalp, kalp oluşturan eller, sevgi, seviyorum
🫶🏻	<3, açık cilt tonu, aşk, birlikte, biz, el, kalp, kalp oluşturan eller, kalp oluşturan eller: açık cilt tonu, sevgi, seviyorum
🫶🏼	<3, aşk, birlikte, biz, el, kalp, kalp oluşturan eller, kalp oluşturan eller: orta açık cilt tonu, orta açık cilt tonu, sevgi, seviyorum
🫶🏽	<3, aşk, birlikte, biz, el, kalp, kalp oluşturan eller, kalp oluşturan eller: orta cilt tonu, orta cilt tonu, sevgi, seviyorum
🫶🏾	<3, aşk, birlikte, biz, el, kalp, kalp oluşturan eller, kalp oluşturan eller: orta koyu cilt tonu, orta koyu cilt tonu, sevgi, seviyorum
🫶🏿	<3, aşk, birlikte, biz, el, kalp, kalp oluşturan eller, kalp oluşturan eller: koyu cilt tonu, koyu cilt tonu, sevgi, seviyorum
👐	açık, el, eller açık, eller açık işareti, işaret
👐🏻	açık, açık cilt tonu, el, eller açık, eller açık işareti, eller açık: açık cilt tonu, işaret
👐🏼	açık, el, eller açık, eller açık işareti, eller açık: orta açık cilt tonu, işaret, orta açık cilt tonu
👐🏽	açık, el, eller açık, eller açık işareti, eller açık: orta cilt tonu, işaret, orta cilt tonu
👐🏾	açık, el, eller açık, eller açık işareti, eller açık: orta koyu cilt tonu, işaret, orta koyu cilt tonu
👐🏿	açık, el, eller açık, eller açık işareti, eller açık: koyu cilt tonu, işaret, koyu cilt tonu
🤲	dilek, dua, dua eden eller, dua etmek, ellerini açmak, iki avuç açık
🤲🏻	açık cilt tonu, dilek, dua, dua eden eller, dua etmek, ellerini açmak, iki avuç açık, iki avuç açık: açık cilt tonu
🤲🏼	dilek, dua, dua eden eller, dua etmek, ellerini açmak, iki avuç açık, iki avuç açık: orta açık cilt tonu, orta açık cilt tonu
🤲🏽	dilek, dua, dua eden eller, dua etmek, ellerini açmak, iki avuç açık, iki avuç açık: orta cilt tonu, orta cilt tonu
🤲🏾	dilek, dua, dua eden eller, dua etmek, ellerini açmak, iki avuç açık, iki avuç açık: orta koyu cilt tonu, orta koyu cilt tonu
🤲🏿	dilek, dua, dua eden eller, dua etmek, ellerini açmak, iki avuç açık, iki avuç açık: koyu cilt tonu, koyu cilt tonu
🤝	anlaşma, el, el sıkışma, sallama, toplantı
🤝🏻	anlaşma, açık cilt tonu, el, el sıkışma, el sıkışma: açık cilt tonu, sallama, toplantı
🤝🏼	anlaşma, el, el sıkışma, el sıkışma: orta açık cilt tonu, orta açık cilt tonu, sallama, toplantı
🤝🏽	anlaşma, el, el sıkışma, el sıkışma: orta cilt tonu, orta cilt tonu, sallama, toplantı
🤝🏾	anlaşma, el, el sıkışma, el sıkışma: orta koyu cilt tonu, orta koyu cilt tonu, sallama, toplantı
🤝🏿	anlaşma, el, el sıkışma, el sıkışma: koyu cilt tonu, koyu cilt tonu, sallama, toplantı
🙏	birleşen eller, dua, dua etme, el, hareket
🙏🏻	açık cilt tonu, birleşen eller, birleşen eller: açık cilt tonu, dua, dua etme, el, hareket
🙏🏼	birleşen eller, birleşen eller: orta açık cilt tonu, dua, dua etme, el, hareket, orta açık cilt tonu
🙏🏽	birleşen eller, birleşen eller: orta cilt tonu, dua, dua etme, el, hareket, orta cilt tonu
🙏🏾	birleşen eller, birleşen eller: orta koyu cilt tonu, dua, dua etme, el, hareket, orta koyu cilt tonu
🙏🏿	birleşen eller, birleşen eller: koyu cilt tonu, dua, dua etme, el, hareket, koyu cilt tonu
✍️	beden, el, kalem tutma, yazma, yazı yazan el
✍🏻	açık cilt tonu, beden, el, kalem tutma, yazma, yazı yazan el, yazı yazan el: açık cilt tonu
✍🏼	beden, el, kalem tutma, orta açık cilt tonu, yazma, yazı yazan el, yazı yazan el: orta açık cilt tonu
✍🏽	beden, el, kalem tutma, orta cilt tonu, yazma, yazı yazan el, yazı yazan el: orta cilt tonu
✍🏾	beden, el, kalem tutma, orta koyu cilt tonu, yazma, yazı yazan el, yazı yazan el: orta koyu cilt tonu
✍🏿	beden, el, kalem tutma, koyu cilt tonu, yazma, yazı yazan el, yazı yazan el: koyu cilt tonu
💅	kozmetik, manikür, oje, oje sürme, tırnak, tırnak bakımı
💅🏻	açık cilt tonu, kozmetik, manikür, oje, oje sürme, oje sürme: açık cilt tonu, tırnak, tırnak bakımı
💅🏼	kozmetik, manikür, oje, oje sürme, oje sürme: orta açık cilt tonu, orta açık cilt tonu, tırnak, tırnak bakımı
💅🏽	kozmetik, manikür, oje, oje sürme, oje sürme: orta cilt tonu, orta cilt tonu, tırnak, tırnak bakımı
💅🏾	kozmetik, manikür, oje, oje sürme, oje sürme: orta koyu cilt tonu, orta koyu cilt tonu, tırnak, tırnak bakımı
💅🏿	koyu cilt tonu, kozmetik, manikür, oje, oje sürme, oje sürme: koyu cilt tonu, tırnak, tırnak bakımı
🤳	kamera, kendi çekim, selfie, telefon, öz çekim, özçekim
🤳🏻	açık cilt tonu, kamera, kendi çekim, selfie, selfie: açık cilt tonu, telefon, öz çekim, özçekim
🤳🏼	kamera, kendi çekim, orta açık cilt tonu, selfie, selfie: orta açık cilt tonu, telefon, öz çekim, özçekim
🤳🏽	kamera, kendi çekim, orta cilt tonu, selfie, selfie: orta cilt tonu, telefon, öz çekim, özçekim
🤳🏾	kamera, kendi çekim, orta koyu cilt tonu, selfie, selfie: orta koyu cilt tonu, telefon, öz çekim, özçekim
🤳🏿	kamera, kendi çekim, koyu cilt tonu, selfie, selfie: koyu cilt tonu, telefon, öz çekim, özçekim
💪	esnek, güçlü, kas, kas esnetme, pazı, vücutcu, çizgi roman
💪🏻	açık cilt tonu, esnek, güçlü, kas, kas esnetme, pazı, pazı: açık cilt tonu, vücutcu, çizgi roman
💪🏼	esnek, güçlü, kas, kas esnetme, orta açık cilt tonu, pazı, pazı: orta açık cilt tonu, vücutcu, çizgi roman
💪🏽	esnek, güçlü, kas, kas esnetme, orta cilt tonu, pazı, pazı: orta cilt tonu, vücutcu, çizgi roman
💪🏾	esnek, güçlü, kas, kas esnetme, orta koyu cilt tonu, pazı, pazı: orta koyu cilt tonu, vücutcu, çizgi roman
💪🏿	esnek, güçlü, kas, kas esnetme, koyu cilt tonu, pazı, pazı: koyu cilt tonu, vücutcu, çizgi roman
🦾	erişilebilirlik, mekanik kol, protez
🦿	erişilebilirlik, mekanik bacak, protez
🦵	ayak, bacak, diz, tekme, tekme atmak, uzuv
🦵🏻	ayak, açık cilt tonu, bacak, bacak: açık cilt tonu, diz, tekme, tekme atmak, uzuv
🦵🏼	ayak, bacak, bacak: orta açık cilt tonu, diz, orta açık cilt tonu, tekme, tekme atmak, uzuv
🦵🏽	ayak, bacak, bacak: orta cilt tonu, diz, orta cilt tonu, tekme, tekme atmak, uzuv
🦵🏾	ayak, bacak, bacak: orta koyu cilt tonu, diz, orta koyu cilt tonu, tekme, tekme atmak, uzuv
🦵🏿	ayak, bacak, bacak: koyu cilt tonu, diz, koyu cilt tonu, tekme, tekme atmak, uzuv
🦶	ayak, bilek, parmak, tekme, topuk
🦶🏻	ayak, ayak: açık cilt tonu, açık cilt tonu, bilek, parmak, tekme, topuk
🦶🏼	ayak, ayak: orta açık cilt tonu, bilek, orta açık cilt tonu, parmak, tekme, topuk
🦶🏽	ayak, ayak: orta cilt tonu, bilek, orta cilt tonu, parmak, tekme, topuk
🦶🏾	ayak, ayak: orta koyu cilt tonu, bilek, orta koyu cilt tonu, parmak, tekme, topuk
🦶🏿	ayak, ayak: koyu cilt tonu, bilek, koyu cilt tonu, parmak, tekme, topuk
👂️	dinlemek, gövde, gürültü, kulak, ses
👂🏻	açık cilt tonu, dinlemek, gövde, gürültü, kulak, kulak: açık cilt tonu, ses
👂🏼	dinlemek, gövde, gürültü, kulak, kulak: orta açık cilt tonu, orta açık cilt tonu, ses
👂🏽	dinlemek, gövde, gürültü, kulak, kulak: orta cilt tonu, orta cilt tonu, ses
👂🏾	dinlemek, gövde, gürültü, kulak, kulak: orta koyu cilt tonu, orta koyu cilt tonu, ses
👂🏿	dinlemek, gövde, gürültü, koyu cilt tonu, kulak, kulak: koyu cilt tonu, ses
🦻	erişilebilirlik, işitme cihazı olan kulak, işitme güçlüğü
🦻🏻	açık cilt tonu, erişilebilirlik, işitme cihazı olan kulak, işitme cihazı olan kulak: açık cilt tonu, işitme güçlüğü
🦻🏼	erişilebilirlik, işitme cihazı olan kulak, işitme cihazı olan kulak: orta açık cilt tonu, işitme güçlüğü, orta açık cilt tonu
🦻🏽	erişilebilirlik, işitme cihazı olan kulak, işitme cihazı olan kulak: orta cilt tonu, işitme güçlüğü, orta cilt tonu
🦻🏾	erişilebilirlik, işitme cihazı olan kulak, işitme cihazı olan kulak: orta koyu cilt tonu, işitme güçlüğü, orta koyu cilt tonu
🦻🏿	erişilebilirlik, işitme cihazı olan kulak, işitme cihazı olan kulak: koyu cilt tonu, işitme güçlüğü, koyu cilt tonu
👃	burun, gövde, koklamak, koku, nefes, yüz
👃🏻	açık cilt tonu, burun, burun: açık cilt tonu, gövde, koklamak, koku, nefes, yüz
👃🏼	burun, burun: orta açık cilt tonu, gövde, koklamak, koku, nefes, orta açık cilt tonu, yüz
👃🏽	burun, burun: orta cilt tonu, gövde, koklamak, koku, nefes, orta cilt tonu, yüz
👃🏾	burun, burun: orta koyu cilt tonu, gövde, koklamak, koku, nefes, orta koyu cilt tonu, yüz
👃🏿	burun, burun: koyu cilt tonu, gövde, koklamak, koku, koyu cilt tonu, nefes, yüz
🧠	akıllı, beyin, zeka, zeki
🫀	anatomi, kalp, kalp atışı, kan, kardiyoloji, kırmızı, merkez, nabız, organ
🫁	akciğer, beden, ciğerler, nefes, nefes almak, organ, soluk, solumak, solunum, vücut
🦷	azı dişi, ağrı, ağız, ağız sağlığı, beyaz, diş, diş ağrısı, diş hekimi, diş perisi, dişçi, inci gibi, köpek dişi, süt dişi
🦴	iskelet, kemik, köpek, köpek kemiği, mama
👀	bakmak, görmek, gözcü, gözetlemek, gözler, yüz
👁️	beden, göz, kahverengi göz
👅	ağız, dil, gövde, yalamak, yüz
👄	ağız, aşk, dudaklar, gövde, yüz, öpme, öptüm, öpücük
🫦	davetkar, davetkâr, dudak, endişeli, flört, gergin, korku, rahatsız, seksi, tutku, öpücük, ısırılan dudak
👶	bebek, kişiler
👶🏻	açık cilt tonu, bebek, bebek: açık cilt tonu, kişiler
👶🏼	bebek, bebek: orta açık cilt tonu, kişiler, orta açık cilt tonu
👶🏽	bebek, bebek: orta cilt tonu, kişiler, orta cilt tonu
👶🏾	bebek, bebek: orta koyu cilt tonu, kişiler, orta koyu cilt tonu
👶🏿	bebek, bebek: koyu cilt tonu, kişiler, koyu cilt tonu
🧒	genç, insan, kişi, küçük çocuk, surat, çocuk
🧒🏻	açık cilt tonu, genç, insan, kişi, küçük çocuk, surat, çocuk, çocuk: açık cilt tonu
🧒🏼	genç, insan, kişi, küçük çocuk, orta açık cilt tonu, surat, çocuk, çocuk: orta açık cilt tonu
🧒🏽	genç, insan, kişi, küçük çocuk, orta cilt tonu, surat, çocuk, çocuk: orta cilt tonu
🧒🏾	genç, insan, kişi, küçük çocuk, orta koyu cilt tonu, surat, çocuk, çocuk: orta koyu cilt tonu
🧒🏿	genç, insan, kişi, koyu cilt tonu, küçük çocuk, surat, çocuk, çocuk: koyu cilt tonu
👦	erkek, erkek çocuk, insan, kişiler, oğlan çocuk
👦🏻	açık cilt tonu, erkek, erkek çocuk, erkek çocuk: açık cilt tonu, insan, kişiler, oğlan çocuk
👦🏼	erkek, erkek çocuk, erkek çocuk: orta açık cilt tonu, insan, kişiler, orta açık cilt tonu, oğlan çocuk
👦🏽	erkek, erkek çocuk, erkek çocuk: orta cilt tonu, insan, kişiler, orta cilt tonu, oğlan çocuk
👦🏾	erkek, erkek çocuk, erkek çocuk: orta koyu cilt tonu, insan, kişiler, orta koyu cilt tonu, oğlan çocuk
👦🏿	erkek, erkek çocuk, erkek çocuk: koyu cilt tonu, insan, kişiler, koyu cilt tonu, oğlan çocuk
👧	genç, insan, kişiler, kız, kız çocuk
👧🏻	açık cilt tonu, genç, insan, kişiler, kız, kız çocuk, kız çocuk: açık cilt tonu
👧🏼	genç, insan, kişiler, kız, kız çocuk, kız çocuk: orta açık cilt tonu, orta açık cilt tonu
👧🏽	genç, insan, kişiler, kız, kız çocuk, kız çocuk: orta cilt tonu, orta cilt tonu
👧🏾	genç, insan, kişiler, kız, kız çocuk, kız çocuk: orta koyu cilt tonu, orta koyu cilt tonu
👧🏿	genç, insan, kişiler, koyu cilt tonu, kız, kız çocuk, kız çocuk: koyu cilt tonu
🧑	adam, insan, kişi, yetişkin, yüz
🧑🏻	adam, açık cilt tonu, insan, kişi, yetişkin, yetişkin: açık cilt tonu, yüz
🧑🏼	adam, insan, kişi, orta açık cilt tonu, yetişkin, yetişkin: orta açık cilt tonu, yüz
🧑🏽	adam, insan, kişi, orta cilt tonu, yetişkin, yetişkin: orta cilt tonu, yüz
🧑🏾	adam, insan, kişi, orta koyu cilt tonu, yetişkin, yetişkin: orta koyu cilt tonu, yüz
🧑🏿	adam, insan, kişi, koyu cilt tonu, yetişkin, yetişkin: koyu cilt tonu, yüz
👱	erkek, insan, kişi, kişiler, sarı saçlı kişi, sarışın, sarışın kişi, saç, yüz
👱🏻	açık cilt tonu, erkek, insan, kişi, kişiler, sarı saçlı kişi, sarışın, sarışın kişi: açık cilt tonu, saç, yüz
👱🏼	erkek, insan, kişi, kişiler, orta açık cilt tonu, sarı saçlı kişi, sarışın, sarışın kişi: orta açık cilt tonu, saç, yüz
👱🏽	erkek, insan, kişi, kişiler, orta cilt tonu, sarı saçlı kişi, sarışın, sarışın kişi: orta cilt tonu, saç, yüz
👱🏾	erkek, insan, kişi, kişiler, orta koyu cilt tonu, sarı saçlı kişi, sarışın, sarışın kişi: orta koyu cilt tonu, saç, yüz
👱🏿	erkek, insan, kişi, kişiler, koyu cilt tonu, sarı saçlı kişi, sarışın, sarışın kişi: koyu cilt tonu, saç, yüz
🧑🏻‍❤‍💋‍🧑🏼	açık cilt tonu, aşk, kişiler, orta açık cilt tonu, romantizm, seni seviyorum, yetişkin, yıldönümü, öpücük, öpücük: yetişkin yetişkin açık cilt tonu orta açık cilt tonu, öpüşme
🧑🏻‍❤‍💋‍🧑🏽	açık cilt tonu, aşk, kişiler, orta cilt tonu, romantizm, seni seviyorum, yetişkin, yıldönümü, öpücük, öpücük: yetişkin yetişkin açık cilt tonu orta cilt tonu, öpüşme
🧑🏻‍❤‍💋‍🧑🏾	açık cilt tonu, aşk, kişiler, orta koyu cilt tonu, romantizm, seni seviyorum, yetişkin, yıldönümü, öpücük, öpücük: yetişkin yetişkin açık cilt tonu orta koyu cilt tonu, öpüşme
🧑🏻‍❤‍💋‍🧑🏿	açık cilt tonu, aşk, kişiler, koyu cilt tonu, romantizm, seni seviyorum, yetişkin, yıldönümü, öpücük, öpücük: yetişkin yetişkin açık cilt tonu koyu cilt tonu, öpüşme
🧑🏼‍❤‍💋‍🧑🏻	açık cilt tonu, aşk, kişiler, orta açık cilt tonu, romantizm, seni seviyorum, yetişkin, yıldönümü, öpücük, öpücük: yetişkin yetişkin orta açık cilt tonu açık cilt tonu, öpüşme
🧑🏼‍❤‍💋‍🧑🏽	aşk, kişiler, orta açık cilt tonu, orta cilt tonu, romantizm, seni seviyorum, yetişkin, yıldönümü, öpücük, öpücük: yetişkin yetişkin orta açık cilt tonu orta cilt tonu, öpüşme
🧑🏼‍❤‍💋‍🧑🏾	aşk, kişiler, orta açık cilt tonu, orta koyu cilt tonu, romantizm, seni seviyorum, yetişkin, yıldönümü, öpücük, öpücük: yetişkin yetişkin orta açık cilt tonu orta koyu cilt tonu, öpüşme
🧑🏼‍❤‍💋‍🧑🏿	aşk, kişiler, koyu cilt tonu, orta açık cilt tonu, romantizm, seni seviyorum, yetişkin, yıldönümü, öpücük, öpücük: yetişkin yetişkin orta açık cilt tonu koyu cilt tonu, öpüşme
🧑🏽‍❤‍💋‍🧑🏻	açık cilt tonu, aşk, kişiler, orta cilt tonu, romantizm, seni seviyorum, yetişkin, yıldönümü, öpücük, öpücük: yetişkin yetişkin orta cilt tonu açık cilt tonu, öpüşme
🧑🏽‍❤‍💋‍🧑🏼	aşk, kişiler, orta açık cilt tonu, orta cilt tonu, romantizm, seni seviyorum, yetişkin, yıldönümü, öpücük, öpücük: yetişkin yetişkin orta cilt tonu orta açık cilt tonu, öpüşme
