‾	overline
🫵🏾	duro, hintuturo, hintuturong nakaturo sa tumitingin, hintuturong nakaturo sa tumitingin: katamtamang dark na kulay ng balat, ikaw, kalabit, katamtamang dark na kulay ng balat, sisi, sundot, turo, tusok
🫵🏿	dark na kulay ng balat, duro, hintuturo, hintuturong nakaturo sa tumitingin, hintuturong nakaturo sa tumitingin: dark na kulay ng balat, ikaw, kalabit, sisi, sundot, turo, tusok
👍️	+1, aprub, astig, ayos, gg, hinlalaki, kamay, like, nays, nice, ok, okey, oks, sige, thumbs up
👍🏻	+1, aprub, astig, ayos, gg, hinlalaki, kamay, light na kulay ng balat, like, nays, nice, ok, okey, oks, sige, thumbs up, thumbs up: light na kulay ng balat
👍🏼	+1, aprub, astig, ayos, gg, hinlalaki, kamay, katamtamang light na kulay ng balat, like, nays, nice, ok, okey, oks, sige, thumbs up, thumbs up: katamtamang light na kulay ng balat
👍🏽	+1, aprub, astig, ayos, gg, hinlalaki, kamay, katamtamang kulay ng balat, like, nays, nice, ok, okey, oks, sige, thumbs up, thumbs up: katamtamang kulay ng balat
👍🏾	+1, aprub, astig, ayos, gg, hinlalaki, kamay, katamtamang dark na kulay ng balat, like, nays, nice, ok, okey, oks, sige, thumbs up, thumbs up: katamtamang dark na kulay ng balat
👍🏿	+1, aprub, astig, ayos, dark na kulay ng balat, gg, hinlalaki, kamay, like, nays, nice, ok, okey, oks, sige, thumbs up, thumbs up: dark na kulay ng balat
👎️	-1, boo, daliri, dislike, hindi ok, hinlalaki, thumbs down
👎🏻	-1, boo, daliri, dislike, hindi ok, hinlalaki, light na kulay ng balat, thumbs down, thumbs down: light na kulay ng balat
👎🏼	-1, boo, daliri, dislike, hindi ok, hinlalaki, katamtamang light na kulay ng balat, thumbs down, thumbs down: katamtamang light na kulay ng balat
👎🏽	-1, boo, daliri, dislike, hindi ok, hinlalaki, katamtamang kulay ng balat, thumbs down, thumbs down: katamtamang kulay ng balat
👎🏾	-1, boo, daliri, dislike, hindi ok, hinlalaki, katamtamang dark na kulay ng balat, thumbs down, thumbs down: katamtamang dark na kulay ng balat
👎🏿	-1, boo, daliri, dark na kulay ng balat, dislike, hindi ok, hinlalaki, thumbs down, thumbs down: dark na kulay ng balat
✊️	kamao, kamay, nakasarang kamao, nakataas na kamao, suntok
✊🏻	kamao, kamay, light na kulay ng balat, nakasarang kamao, nakataas na kamao, nakataas na kamao: light na kulay ng balat, suntok
✊🏼	kamao, kamay, katamtamang light na kulay ng balat, nakasarang kamao, nakataas na kamao, nakataas na kamao: katamtamang light na kulay ng balat, suntok
✊🏽	kamao, kamay, katamtamang kulay ng balat, nakasarang kamao, nakataas na kamao, nakataas na kamao: katamtamang kulay ng balat, suntok
✊🏾	kamao, kamay, katamtamang dark na kulay ng balat, nakasarang kamao, nakataas na kamao, nakataas na kamao: katamtamang dark na kulay ng balat, suntok
✊🏿	dark na kulay ng balat, kamao, kamay, nakasarang kamao, nakataas na kamao, nakataas na kamao: dark na kulay ng balat, suntok
👊	kamao, kamay, nakasara, pasuntok na kamao, suntok
👊🏻	kamao, kamay, light na kulay ng balat, nakasara, pasuntok na kamao, pasuntok na kamao: light na kulay ng balat, suntok
👊🏼	kamao, kamay, katamtamang light na kulay ng balat, nakasara, pasuntok na kamao, pasuntok na kamao: katamtamang light na kulay ng balat, suntok
👊🏽	kamao, kamay, katamtamang kulay ng balat, nakasara, pasuntok na kamao, pasuntok na kamao: katamtamang kulay ng balat, suntok
👊🏾	kamao, kamay, katamtamang dark na kulay ng balat, nakasara, pasuntok na kamao, pasuntok na kamao: katamtamang dark na kulay ng balat, suntok
👊🏿	dark na kulay ng balat, kamao, kamay, nakasara, pasuntok na kamao, pasuntok na kamao: dark na kulay ng balat, suntok
🤛	kamao, pakaliwa, pakaliwang kamao
🤛🏻	kamao, light na kulay ng balat, pakaliwa, pakaliwang kamao, pakaliwang kamao: light na kulay ng balat
🤛🏼	kamao, katamtamang light na kulay ng balat, pakaliwa, pakaliwang kamao, pakaliwang kamao: katamtamang light na kulay ng balat
🤛🏽	kamao, katamtamang kulay ng balat, pakaliwa, pakaliwang kamao, pakaliwang kamao: katamtamang kulay ng balat
🤛🏾	kamao, katamtamang dark na kulay ng balat, pakaliwa, pakaliwang kamao, pakaliwang kamao: katamtamang dark na kulay ng balat
🤛🏿	dark na kulay ng balat, kamao, pakaliwa, pakaliwang kamao, pakaliwang kamao: dark na kulay ng balat
🤜	kamao, pakanan, pakanang kamao
🤜🏻	kamao, light na kulay ng balat, pakanan, pakanang kamao, pakanang kamao: light na kulay ng balat
🤜🏼	kamao, katamtamang light na kulay ng balat, pakanan, pakanang kamao, pakanang kamao: katamtamang light na kulay ng balat
🤜🏽	kamao, katamtamang kulay ng balat, pakanan, pakanang kamao, pakanang kamao: katamtamang kulay ng balat
🤜🏾	kamao, katamtamang dark na kulay ng balat, pakanan, pakanang kamao, pakanang kamao: katamtamang dark na kulay ng balat
🤜🏿	dark na kulay ng balat, kamao, pakanan, pakanang kamao, pakanang kamao: dark na kulay ng balat
👏	ang galing, ayos, galing, gesture, kamay, palakpak, pumapalakpak, tuwa, yehey
👏🏻	ang galing, ayos, galing, gesture, kamay, light na kulay ng balat, palakpak, pumapalakpak, pumapalakpak: light na kulay ng balat, tuwa, yehey
👏🏼	ang galing, ayos, galing, gesture, kamay, katamtamang light na kulay ng balat, palakpak, pumapalakpak, pumapalakpak: katamtamang light na kulay ng balat, tuwa, yehey
👏🏽	ang galing, ayos, galing, gesture, kamay, katamtamang kulay ng balat, palakpak, pumapalakpak, pumapalakpak: katamtamang kulay ng balat, tuwa, yehey
👏🏾	ang galing, ayos, galing, gesture, kamay, katamtamang dark na kulay ng balat, palakpak, pumapalakpak, pumapalakpak: katamtamang dark na kulay ng balat, tuwa, yehey
👏🏿	ang galing, ayos, dark na kulay ng balat, galing, gesture, kamay, palakpak, pumapalakpak, pumapalakpak: dark na kulay ng balat, tuwa, yehey
🙌	hooray, kamay, masaya, nagdiriwang, nakataas na mga kamay, saya, yehey
🙌🏻	hooray, kamay, light na kulay ng balat, masaya, nagdiriwang, nakataas na mga kamay, nakataas na mga kamay: light na kulay ng balat, saya, yehey
🙌🏼	hooray, kamay, katamtamang light na kulay ng balat, masaya, nagdiriwang, nakataas na mga kamay, nakataas na mga kamay: katamtamang light na kulay ng balat, saya, yehey
🙌🏽	hooray, kamay, katamtamang kulay ng balat, masaya, nagdiriwang, nakataas na mga kamay, nakataas na mga kamay: katamtamang kulay ng balat, saya, yehey
🙌🏾	hooray, kamay, katamtamang dark na kulay ng balat, masaya, nagdiriwang, nakataas na mga kamay, nakataas na mga kamay: katamtamang dark na kulay ng balat, saya, yehey
🙌🏿	dark na kulay ng balat, hooray, kamay, masaya, nagdiriwang, nakataas na mga kamay, nakataas na mga kamay: dark na kulay ng balat, saya, yehey
🫶	<3, i love you, kamay, love you, nakapusong kamay, puso
🫶🏻	<3, i love you, kamay, light na kulay ng balat, love you, nakapusong kamay, nakapusong kamay: light na kulay ng balat, puso
🫶🏼	<3, i love you, kamay, katamtamang light na kulay ng balat, love you, nakapusong kamay, nakapusong kamay: katamtamang light na kulay ng balat, puso
🫶🏽	<3, i love you, kamay, katamtamang kulay ng balat, love you, nakapusong kamay, nakapusong kamay: katamtamang kulay ng balat, puso
🫶🏾	<3, i love you, kamay, katamtamang dark na kulay ng balat, love you, nakapusong kamay, nakapusong kamay: katamtamang dark na kulay ng balat, puso
🫶🏿	<3, dark na kulay ng balat, i love you, kamay, love you, nakapusong kamay, nakapusong kamay: dark na kulay ng balat, puso
👐	bukas-palad, gesture, kamay, palad, yakap
👐🏻	bukas-palad, bukas-palad: light na kulay ng balat, gesture, kamay, light na kulay ng balat, palad, yakap
👐🏼	bukas-palad, bukas-palad: katamtamang light na kulay ng balat, gesture, kamay, katamtamang light na kulay ng balat, palad, yakap
👐🏽	bukas-palad, bukas-palad: katamtamang kulay ng balat, gesture, kamay, katamtamang kulay ng balat, palad, yakap
👐🏾	bukas-palad, bukas-palad: katamtamang dark na kulay ng balat, gesture, kamay, katamtamang dark na kulay ng balat, palad, yakap
👐🏿	bukas-palad, bukas-palad: dark na kulay ng balat, dark na kulay ng balat, gesture, kamay, palad, yakap
🤲	bukas-palad, dasal, nakasalong kamay, nakataas na magkadikit na palad
🤲🏻	bukas-palad, dasal, light na kulay ng balat, nakasalong kamay, nakataas na magkadikit na palad, nakataas na magkadikit na palad: light na kulay ng balat
🤲🏼	bukas-palad, dasal, katamtamang light na kulay ng balat, nakasalong kamay, nakataas na magkadikit na palad, nakataas na magkadikit na palad: katamtamang light na kulay ng balat
🤲🏽	bukas-palad, dasal, katamtamang kulay ng balat, nakasalong kamay, nakataas na magkadikit na palad, nakataas na magkadikit na palad: katamtamang kulay ng balat
🤲🏾	bukas-palad, dasal, katamtamang dark na kulay ng balat, nakasalong kamay, nakataas na magkadikit na palad, nakataas na magkadikit na palad: katamtamang dark na kulay ng balat
🤲🏿	bukas-palad, dark na kulay ng balat, dasal, nakasalong kamay, nakataas na magkadikit na palad, nakataas na magkadikit na palad: dark na kulay ng balat
🤝	kamay, kasunduan, meeting, nagkamay, pagkakamay, shake hands
🤝🏻	kamay, kasunduan, light na kulay ng balat, meeting, nagkamay, pagkakamay, pagkakamay: light na kulay ng balat, shake hands
🤝🏼	kamay, kasunduan, katamtamang light na kulay ng balat, meeting, nagkamay, pagkakamay, pagkakamay: katamtamang light na kulay ng balat, shake hands
🤝🏽	kamay, kasunduan, katamtamang kulay ng balat, meeting, nagkamay, pagkakamay, pagkakamay: katamtamang kulay ng balat, shake hands
🤝🏾	kamay, kasunduan, katamtamang dark na kulay ng balat, meeting, nagkamay, pagkakamay, pagkakamay: katamtamang dark na kulay ng balat, shake hands
🤝🏿	dark na kulay ng balat, kamay, kasunduan, meeting, nagkamay, pagkakamay, pagkakamay: dark na kulay ng balat, shake hands
🙏	dasal, humihiling, kamay, magkalapat na mga palad, nagdarasal, nagpapasalamat, nakikisuyo, please, salamat, sana, yuko
🙏🏻	dasal, humihiling, kamay, light na kulay ng balat, magkalapat na mga palad, magkalapat na mga palad: light na kulay ng balat, nagdarasal, nagpapasalamat, nakikisuyo, please, salamat, sana, yuko
🙏🏼	dasal, humihiling, kamay, katamtamang light na kulay ng balat, magkalapat na mga palad, magkalapat na mga palad: katamtamang light na kulay ng balat, nagdarasal, nagpapasalamat, nakikisuyo, please, salamat, sana, yuko
🙏🏽	dasal, humihiling, kamay, katamtamang kulay ng balat, magkalapat na mga palad, magkalapat na mga palad: katamtamang kulay ng balat, nagdarasal, nagpapasalamat, nakikisuyo, please, salamat, sana, yuko
🙏🏾	dasal, humihiling, kamay, katamtamang dark na kulay ng balat, magkalapat na mga palad, magkalapat na mga palad: katamtamang dark na kulay ng balat, nagdarasal, nagpapasalamat, nakikisuyo, please, salamat, sana, yuko
🙏🏿	dark na kulay ng balat, dasal, humihiling, kamay, magkalapat na mga palad, magkalapat na mga palad: dark na kulay ng balat, nagdarasal, nagpapasalamat, nakikisuyo, please, salamat, sana, yuko
✍️	kamay, nagsusulat, nagsusulat na kamay, sulat-kamay
✍🏻	kamay, light na kulay ng balat, nagsusulat, nagsusulat na kamay, nagsusulat na kamay: light na kulay ng balat, sulat-kamay
✍🏼	kamay, katamtamang light na kulay ng balat, nagsusulat, nagsusulat na kamay, nagsusulat na kamay: katamtamang light na kulay ng balat, sulat-kamay
✍🏽	kamay, katamtamang kulay ng balat, nagsusulat, nagsusulat na kamay, nagsusulat na kamay: katamtamang kulay ng balat, sulat-kamay
✍🏾	kamay, katamtamang dark na kulay ng balat, nagsusulat, nagsusulat na kamay, nagsusulat na kamay: katamtamang dark na kulay ng balat, sulat-kamay
✍🏿	dark na kulay ng balat, kamay, nagsusulat, nagsusulat na kamay, nagsusulat na kamay: dark na kulay ng balat, sulat-kamay
💅	cosmetics, daliri, kamay, kuko, manicure, nail polish, polish
💅🏻	cosmetics, daliri, kamay, kuko, light na kulay ng balat, manicure, nail polish, nail polish: light na kulay ng balat, polish
💅🏼	cosmetics, daliri, kamay, katamtamang light na kulay ng balat, kuko, manicure, nail polish, nail polish: katamtamang light na kulay ng balat, polish
💅🏽	cosmetics, daliri, kamay, katamtamang kulay ng balat, kuko, manicure, nail polish, nail polish: katamtamang kulay ng balat, polish
💅🏾	cosmetics, daliri, kamay, katamtamang dark na kulay ng balat, kuko, manicure, nail polish, nail polish: katamtamang dark na kulay ng balat, polish
💅🏿	cosmetics, daliri, dark na kulay ng balat, kamay, kuko, manicure, nail polish, nail polish: dark na kulay ng balat, polish
🤳	camera, cellphone, mobile phone, phone, picture, selfie, selpon, telepono
🤳🏻	camera, cellphone, light na kulay ng balat, mobile phone, phone, picture, selfie, selfie: light na kulay ng balat, selpon, telepono
🤳🏼	camera, cellphone, katamtamang light na kulay ng balat, mobile phone, phone, picture, selfie, selfie: katamtamang light na kulay ng balat, selpon, telepono
🤳🏽	camera, cellphone, katamtamang kulay ng balat, mobile phone, phone, picture, selfie, selfie: katamtamang kulay ng balat, selpon, telepono
🤳🏾	camera, cellphone, katamtamang dark na kulay ng balat, mobile phone, phone, picture, selfie, selfie: katamtamang dark na kulay ng balat, selpon, telepono
🤳🏿	camera, cellphone, dark na kulay ng balat, mobile phone, phone, picture, selfie, selfie: dark na kulay ng balat, selpon, telepono
💪	biceps, braso, macho, masel, muscle, naka-flex, pinalaking biceps
💪🏻	biceps, braso, light na kulay ng balat, macho, masel, muscle, naka-flex, pinalaking biceps, pinalaking biceps: light na kulay ng balat
💪🏼	biceps, braso, katamtamang light na kulay ng balat, macho, masel, muscle, naka-flex, pinalaking biceps, pinalaking biceps: katamtamang light na kulay ng balat
💪🏽	biceps, braso, katamtamang kulay ng balat, macho, masel, muscle, naka-flex, pinalaking biceps, pinalaking biceps: katamtamang kulay ng balat
💪🏾	biceps, braso, katamtamang dark na kulay ng balat, macho, masel, muscle, naka-flex, pinalaking biceps, pinalaking biceps: katamtamang dark na kulay ng balat
💪🏿	biceps, braso, dark na kulay ng balat, macho, masel, muscle, naka-flex, pinalaking biceps, pinalaking biceps: dark na kulay ng balat
🦾	bakal na braso, mekanikal na braso, pagiging naa-access, prosthetic
🦿	bakal na binti, mekanikal na binti, pagiging naa-access, prosthetic
🦵	biyas, hita, sipa
🦵🏻	biyas, hita, hita: light na kulay ng balat, light na kulay ng balat, sipa
🦵🏼	biyas, hita, hita: katamtamang light na kulay ng balat, katamtamang light na kulay ng balat, sipa
🦵🏽	biyas, hita, hita: katamtamang kulay ng balat, katamtamang kulay ng balat, sipa
🦵🏾	biyas, hita, hita: katamtamang dark na kulay ng balat, katamtamang dark na kulay ng balat, sipa
🦵🏿	biyas, dark na kulay ng balat, hita, hita: dark na kulay ng balat, sipa
🦶	apakan, paa, sipa, tapakan
🦶🏻	apakan, light na kulay ng balat, paa, paa: light na kulay ng balat, sipa, tapakan
🦶🏼	apakan, katamtamang light na kulay ng balat, paa, paa: katamtamang light na kulay ng balat, sipa, tapakan
🦶🏽	apakan, katamtamang kulay ng balat, paa, paa: katamtamang kulay ng balat, sipa, tapakan
🦶🏾	apakan, katamtamang dark na kulay ng balat, paa, paa: katamtamang dark na kulay ng balat, sipa, tapakan
🦶🏿	apakan, dark na kulay ng balat, paa, paa: dark na kulay ng balat, sipa, tapakan
👂️	dinig, katawan, makinig, rinig, tainga, tenga
👂🏻	dinig, katawan, light na kulay ng balat, makinig, rinig, tainga, tainga: light na kulay ng balat, tenga
👂🏼	dinig, katamtamang light na kulay ng balat, katawan, makinig, rinig, tainga, tainga: katamtamang light na kulay ng balat, tenga
👂🏽	dinig, katamtamang kulay ng balat, katawan, makinig, rinig, tainga, tainga: katamtamang kulay ng balat, tenga
👂🏾	dinig, katamtamang dark na kulay ng balat, katawan, makinig, rinig, tainga, tainga: katamtamang dark na kulay ng balat, tenga
👂🏿	dark na kulay ng balat, dinig, katawan, makinig, rinig, tainga, tainga: dark na kulay ng balat, tenga
🦻	hirap makarinig, pagiging naa-access, tainga na may hearing aid
🦻🏻	hirap makarinig, light na kulay ng balat, pagiging naa-access, tainga na may hearing aid, tainga na may hearing aid: light na kulay ng balat
🦻🏼	hirap makarinig, katamtamang light na kulay ng balat, pagiging naa-access, tainga na may hearing aid, tainga na may hearing aid: katamtamang light na kulay ng balat
🦻🏽	hirap makarinig, katamtamang kulay ng balat, pagiging naa-access, tainga na may hearing aid, tainga na may hearing aid: katamtamang kulay ng balat
🦻🏾	hirap makarinig, katamtamang dark na kulay ng balat, pagiging naa-access, tainga na may hearing aid, tainga na may hearing aid: katamtamang dark na kulay ng balat
🦻🏿	dark na kulay ng balat, hirap makarinig, pagiging naa-access, tainga na may hearing aid, tainga na may hearing aid: dark na kulay ng balat
👃	amoy, ilong, katawan, pang-amoy
👃🏻	amoy, ilong, ilong: light na kulay ng balat, katawan, light na kulay ng balat, pang-amoy
👃🏼	amoy, ilong, ilong: katamtamang light na kulay ng balat, katamtamang light na kulay ng balat, katawan, pang-amoy
👃🏽	amoy, ilong, ilong: katamtamang kulay ng balat, katamtamang kulay ng balat, katawan, pang-amoy
👃🏾	amoy, ilong, ilong: katamtamang dark na kulay ng balat, katamtamang dark na kulay ng balat, katawan, pang-amoy
👃🏿	amoy, dark na kulay ng balat, ilong, ilong: dark na kulay ng balat, katawan, pang-amoy
🧠	matalas, matalino, utak
🫀	organ, pulso, puso, tibok ng puso
🫁	baga, organ, pagbuga ng hangin, paghinga, pagsinghot ng hangin
🦷	dentista, ngipin, puti, puting ngipin
🦴	buto, kalansay
👀	dalawang mata, katawan, mata, mga mata, omg, silip
👁️	isang mata, katawan, mata
👅	belat, dila, panlasa
👄	bibig, ganda, halik, labi, lipstick, maganda
🫦	halik, kagat, kagat-labi, labi, landi, lipstick, nag-aalala, ninenerbyos, sexy
👶	anak, bagong silang, bata, sanggol
👶🏻	anak, bagong silang, bata, light na kulay ng balat, sanggol, sanggol: light na kulay ng balat
👶🏼	anak, bagong silang, bata, katamtamang light na kulay ng balat, sanggol, sanggol: katamtamang light na kulay ng balat
👶🏽	anak, bagong silang, bata, katamtamang kulay ng balat, sanggol, sanggol: katamtamang kulay ng balat
👶🏾	anak, bagong silang, bata, katamtamang dark na kulay ng balat, sanggol, sanggol: katamtamang dark na kulay ng balat
👶🏿	anak, bagong silang, bata, dark na kulay ng balat, sanggol, sanggol: dark na kulay ng balat
🧒	anak, bata, hindi tinukoy na kasarian, kasarian-neutral
🧒🏻	anak, bata, bata: light na kulay ng balat, hindi tinukoy na kasarian, kasarian-neutral, light na kulay ng balat
🧒🏼	anak, bata, bata: katamtamang light na kulay ng balat, hindi tinukoy na kasarian, kasarian-neutral, katamtamang light na kulay ng balat
🧒🏽	anak, bata, bata: katamtamang kulay ng balat, hindi tinukoy na kasarian, kasarian-neutral, katamtamang kulay ng balat
🧒🏾	anak, bata, bata: katamtamang dark na kulay ng balat, hindi tinukoy na kasarian, kasarian-neutral, katamtamang dark na kulay ng balat
🧒🏿	anak, bata, bata: dark na kulay ng balat, dark na kulay ng balat, hindi tinukoy na kasarian, kasarian-neutral
👦	bata, batang lalaki, binatilyo, lalaki
👦🏻	bata, batang lalaki, batang lalaki: light na kulay ng balat, binatilyo, lalaki, light na kulay ng balat
👦🏼	bata, batang lalaki, batang lalaki: katamtamang light na kulay ng balat, binatilyo, katamtamang light na kulay ng balat, lalaki
👦🏽	bata, batang lalaki, batang lalaki: katamtamang kulay ng balat, binatilyo, katamtamang kulay ng balat, lalaki
👦🏾	bata, batang lalaki, batang lalaki: katamtamang dark na kulay ng balat, binatilyo, katamtamang dark na kulay ng balat, lalaki
👦🏿	bata, batang lalaki, batang lalaki: dark na kulay ng balat, binatilyo, dark na kulay ng balat, lalaki
👧	anak, anak na babae, babae, bata, batang babae, dalagita, pigtails
👧🏻	anak, anak na babae, babae, bata, batang babae, batang babae: light na kulay ng balat, dalagita, light na kulay ng balat, pigtails
👧🏼	anak, anak na babae, babae, bata, batang babae, batang babae: katamtamang light na kulay ng balat, dalagita, katamtamang light na kulay ng balat, pigtails
👧🏽	anak, anak na babae, babae, bata, batang babae, batang babae: katamtamang kulay ng balat, dalagita, katamtamang kulay ng balat, pigtails
👧🏾	anak, anak na babae, babae, bata, batang babae, batang babae: katamtamang dark na kulay ng balat, dalagita, katamtamang dark na kulay ng balat, pigtails
👧🏿	anak, anak na babae, babae, bata, batang babae, batang babae: dark na kulay ng balat, dalagita, dark na kulay ng balat, pigtails
🧑	adult, hindi hindi tinukoy na kasarian, kasarian-neutral, matanda, tao
🧑🏻	adult, hindi hindi tinukoy na kasarian, kasarian-neutral, light na kulay ng balat, matanda, tao, tao: light na kulay ng balat
🧑🏼	adult, hindi hindi tinukoy na kasarian, kasarian-neutral, katamtamang light na kulay ng balat, matanda, tao, tao: katamtamang light na kulay ng balat
🧑🏽	adult, hindi hindi tinukoy na kasarian, kasarian-neutral, katamtamang kulay ng balat, matanda, tao, tao: katamtamang kulay ng balat
🧑🏾	adult, hindi hindi tinukoy na kasarian, kasarian-neutral, katamtamang dark na kulay ng balat, matanda, tao, tao: katamtamang dark na kulay ng balat
🧑🏿	adult, dark na kulay ng balat, hindi hindi tinukoy na kasarian, kasarian-neutral, matanda, tao, tao: dark na kulay ng balat
👱	blond, blonde ang buhok, buhok, lalaki, mukha, tao, taong may blond na buhok, taong may blonde na buhok
👱🏻	blond, blonde ang buhok, buhok, lalaki, light na kulay ng balat, mukha, tao, taong may blond na buhok, taong may blond na buhok: light na kulay ng balat, taong may blonde na buhok
👱🏼	blond, blonde ang buhok, buhok, katamtamang light na kulay ng balat, lalaki, mukha, tao, taong may blond na buhok, taong may blond na buhok: katamtamang light na kulay ng balat, taong may blonde na buhok
👱🏽	blond, blonde ang buhok, buhok, katamtamang kulay ng balat, lalaki, mukha, tao, taong may blond na buhok, taong may blond na buhok: katamtamang kulay ng balat, taong may blonde na buhok
👱🏾	blond, blonde ang buhok, buhok, katamtamang dark na kulay ng balat, lalaki, mukha, tao, taong may blond na buhok, taong may blond na buhok: katamtamang dark na kulay ng balat, taong may blonde na buhok
👱🏿	blond, blonde ang buhok, buhok, dark na kulay ng balat, lalaki, mukha, tao, taong may blond na buhok, taong may blond na buhok: dark na kulay ng balat, taong may blonde na buhok
🧑🏻‍❤‍💋‍🧑🏼	couple, halik, katamtamang light na kulay ng balat, light na kulay ng balat, maghahalikan, maghahalikan: tao, tao, light na kulay ng balat, katamtamang light na kulay ng balat, magjowa, magkasintahan, pag-ibig, puso, romansa, sinta, tao
🧑🏻‍❤‍💋‍🧑🏽	couple, halik, katamtamang kulay ng balat, light na kulay ng balat, maghahalikan, maghahalikan: tao, tao, light na kulay ng balat, katamtamang kulay ng balat, magjowa, magkasintahan, pag-ibig, puso, romansa, sinta, tao
🧑🏻‍❤‍💋‍🧑🏾	couple, halik, katamtamang dark na kulay ng balat, light na kulay ng balat, maghahalikan, maghahalikan: tao, tao, light na kulay ng balat, katamtamang dark na kulay ng balat, magjowa, magkasintahan, pag-ibig, puso, romansa, sinta, tao
🧑🏻‍❤‍💋‍🧑🏿	couple, dark na kulay ng balat, halik, light na kulay ng balat, maghahalikan, maghahalikan: tao, tao, light na kulay ng balat, dark na kulay ng balat, magjowa, magkasintahan, pag-ibig, puso, romansa, sinta, tao
🧑🏼‍❤‍💋‍🧑🏻	couple, halik, katamtamang light na kulay ng balat, light na kulay ng balat, maghahalikan, maghahalikan: tao, tao, katamtamang light na kulay ng balat, light na kulay ng balat, magjowa, magkasintahan, pag-ibig, puso, romansa, sinta, tao
🧑🏼‍❤‍💋‍🧑🏽	couple, halik, katamtamang kulay ng balat, katamtamang light na kulay ng balat, maghahalikan, maghahalikan: tao, tao, katamtamang light na kulay ng balat, katamtamang kulay ng balat, magjowa, magkasintahan, pag-ibig, puso, romansa, sinta, tao
🧑🏼‍❤‍💋‍🧑🏾	couple, halik, katamtamang dark na kulay ng balat, katamtamang light na kulay ng balat, maghahalikan, maghahalikan: tao, tao, katamtamang light na kulay ng balat, katamtamang dark na kulay ng balat, magjowa, magkasintahan, pag-ibig, puso, romansa, sinta, tao
🧑🏼‍❤‍💋‍🧑🏿	couple, dark na kulay ng balat, halik, katamtamang light na kulay ng balat, maghahalikan, maghahalikan: tao, tao, katamtamang light na kulay ng balat, dark na kulay ng balat, magjowa, magkasintahan, pag-ibig, puso, romansa, sinta, tao
🧑🏽‍❤‍💋‍🧑🏻	couple, halik, katamtamang kulay ng balat, light na kulay ng balat, maghahalikan, maghahalikan: tao, tao, katamtamang kulay ng balat, light na kulay ng balat, magjowa, magkasintahan, pag-ibig, puso, romansa, sinta, tao
🧑🏽‍❤‍💋‍🧑🏼	couple, halik, katamtamang kulay ng balat, katamtamang light na kulay ng balat, maghahalikan, maghahalikan: tao, tao, katamtamang kulay ng balat, katamtamang light na kulay ng balat, magjowa, magkasintahan, pag-ibig, puso, romansa, sinta, tao
🧑🏽‍❤‍💋‍🧑🏾	couple, halik, katamtamang dark na kulay ng balat, katamtamang kulay ng balat, maghahalikan, maghahalikan: tao, tao, katamtamang kulay ng balat, katamtamang dark na kulay ng balat, magjowa, magkasintahan, pag-ibig, puso, romansa, sinta, tao
🧑🏽‍❤‍💋‍🧑🏿	couple, dark na kulay ng balat, halik, katamtamang kulay ng balat, maghahalikan, maghahalikan: tao, tao, katamtamang kulay ng balat, dark na kulay ng balat, magjowa, magkasintahan, pag-ibig, puso, romansa, sinta, tao
🧑🏾‍❤‍💋‍🧑🏻	couple, halik, katamtamang dark na kulay ng balat, light na kulay ng balat, maghahalikan, maghahalikan: tao, tao, katamtamang dark na kulay ng balat, light na kulay ng balat, magjowa, magkasintahan, pag-ibig, puso, romansa, sinta, tao
🧑🏾‍❤‍💋‍🧑🏼	couple, halik, katamtamang dark na kulay ng balat, katamtamang light na kulay ng balat, maghahalikan, maghahalikan: tao, tao, katamtamang dark na kulay ng balat, katamtamang light na kulay ng balat, magjowa, magkasintahan, pag-ibig, puso, romansa, sinta, tao
🧑🏾‍❤‍💋‍🧑🏽	couple, halik, katamtamang dark na kulay ng balat, katamtamang kulay ng balat, maghahalikan, maghahalikan: tao, tao, katamtamang dark na kulay ng balat, katamtamang kulay ng balat, magjowa, magkasintahan, pag-ibig, puso, romansa, sinta, tao
🧑🏾‍❤‍💋‍🧑🏿	couple, dark na kulay ng balat, halik, katamtamang dark na kulay ng balat, maghahalikan, maghahalikan: tao, tao, katamtamang dark na kulay ng balat, dark na kulay ng balat, magjowa, magkasintahan, pag-ibig, puso, romansa, sinta, tao
🧑🏿‍❤‍💋‍🧑🏻	couple, dark na kulay ng balat, halik, light na kulay ng balat, maghahalikan, maghahalikan: tao, tao, dark na kulay ng balat, light na kulay ng balat, magjowa, magkasintahan, pag-ibig, puso, romansa, sinta, tao
🧑🏿‍❤‍💋‍🧑🏼	couple, dark na kulay ng balat, halik, katamtamang light na kulay ng balat, maghahalikan, maghahalikan: tao, tao, dark na kulay ng balat, katamtamang light na kulay ng balat, magjowa, magkasintahan, pag-ibig, puso, romansa, sinta, tao
🧑🏿‍❤‍💋‍🧑🏽	couple, dark na kulay ng balat, halik, katamtamang kulay ng balat, maghahalikan, maghahalikan: tao, tao, dark na kulay ng balat, katamtamang kulay ng balat, magjowa, magkasintahan, pag-ibig, puso, romansa, sinta, tao
🧑🏿‍❤‍💋‍🧑🏾	couple, dark na kulay ng balat, halik, katamtamang dark na kulay ng balat, maghahalikan, maghahalikan: tao, tao, dark na kulay ng balat, katamtamang dark na kulay ng balat, magjowa, magkasintahan, pag-ibig, puso, romansa, sinta, tao
