‾	үстіңгі сызық
👩🏿‍🦱	6-тері түсі, аққұба, бұйра шаш, әйел, әйел адам, әйел: 6-тері түсі бұйра шаш
👩‍🦳	ақ шаш, аққұба, әйел, әйел адам, әйел: ақ шаш
👩🏻‍🦳	1–2 тері түсі, ақ шаш, аққұба, әйел, әйел адам, әйел: 1–2 тері түсі ақ шаш
👩🏼‍🦳	3-тері түрі, ақ шаш, аққұба, әйел, әйел адам, әйел: 3-тері түрі ақ шаш
👩🏽‍🦳	4-тері түсі, ақ шаш, аққұба, әйел, әйел адам, әйел: 4-тері түсі ақ шаш
👩🏾‍🦳	5-тері түсі, ақ шаш, аққұба, әйел, әйел адам, әйел: 5-тері түсі ақ шаш
👩🏿‍🦳	6-тері түсі, ақ шаш, аққұба, әйел, әйел адам, әйел: 6-тері түсі ақ шаш
👩‍🦲	аққұба, тақырбас, әйел, әйел адам, әйел: тақырбас
👩🏻‍🦲	1–2 тері түсі, аққұба, тақырбас, әйел, әйел адам, әйел: 1–2 тері түсі тақырбас
👩🏼‍🦲	3-тері түрі, аққұба, тақырбас, әйел, әйел адам, әйел: 3-тері түрі тақырбас
👩🏽‍🦲	4-тері түсі, аққұба, тақырбас, әйел, әйел адам, әйел: 4-тері түсі тақырбас
👩🏾‍🦲	5-тері түсі, аққұба, тақырбас, әйел, әйел адам, әйел: 5-тері түсі тақырбас
👩🏿‍🦲	6-тері түсі, аққұба, тақырбас, әйел, әйел адам, әйел: 6-тері түсі тақырбас
🧓	ересек, жынысы белгісіз, қарт, қарт адам
🧓🏻	1–2 тері түсі, ересек, жынысы белгісіз, қарт, қарт адам, қарт адам: 1–2 тері түсі
🧓🏼	3-тері түрі, ересек, жынысы белгісіз, қарт, қарт адам, қарт адам: 3-тері түрі
🧓🏽	4-тері түсі, ересек, жынысы белгісіз, қарт, қарт адам, қарт адам: 4-тері түсі
🧓🏾	5-тері түсі, ересек, жынысы белгісіз, қарт, қарт адам, қарт адам: 5-тері түсі
🧓🏿	6-тері түсі, ересек, жынысы белгісіз, қарт, қарт адам, қарт адам: 6-тері түсі
👴	ер, кәрі, қарт
👴🏻	1–2 тері түсі, ер, кәрі, қарт, қарт: 1–2 тері түсі
👴🏼	3-тері түрі, ер, кәрі, қарт, қарт: 3-тері түрі
👴🏽	4-тері түсі, ер, кәрі, қарт, қарт: 4-тері түсі
👴🏾	5-тері түсі, ер, кәрі, қарт, қарт: 5-тері түсі
👴🏿	6-тері түсі, ер, кәрі, қарт, қарт: 6-тері түсі
👵	аққұба, кәрі, қарт әйел, әйел
👵🏻	1–2 тері түсі, аққұба, кәрі, қарт әйел, қарт әйел: 1–2 тері түсі, әйел
👵🏼	3-тері түрі, аққұба, кәрі, қарт әйел, қарт әйел: 3-тері түрі, әйел
👵🏽	4-тері түсі, аққұба, кәрі, қарт әйел, қарт әйел: 4-тері түсі, әйел
👵🏾	5-тері түсі, аққұба, кәрі, қарт әйел, қарт әйел: 5-тері түсі, әйел
👵🏿	6-тері түсі, аққұба, кәрі, қарт әйел, қарт әйел: 6-тері түсі, әйел
🙍	адам, бақытсыз, жабырқау, көңілсіз, көңілі қалу, мұңды, наразы, ренжу, қабағын түйген адам, қабағын түю, қимыл, өкпелі
🙍🏻	1–2 тері түсі, адам, бақытсыз, жабырқау, көңілсіз, көңілі қалу, мұңды, наразы, ренжу, қабағын түйген адам, қабағын түю, қабағын түю: 1–2 тері түсі, қимыл, өкпелі
🙍🏼	3-тері түрі, адам, бақытсыз, жабырқау, көңілсіз, көңілі қалу, мұңды, наразы, ренжу, қабағын түйген адам, қабағын түю, қабағын түю: 3-тері түрі, қимыл, өкпелі
🙍🏽	4-тері түсі, адам, бақытсыз, жабырқау, көңілсіз, көңілі қалу, мұңды, наразы, ренжу, қабағын түйген адам, қабағын түю, қабағын түю: 4-тері түсі, қимыл, өкпелі
🙍🏾	5-тері түсі, адам, бақытсыз, жабырқау, көңілсіз, көңілі қалу, мұңды, наразы, ренжу, қабағын түйген адам, қабағын түю, қабағын түю: 5-тері түсі, қимыл, өкпелі
🙍🏿	6-тері түсі, адам, бақытсыз, жабырқау, көңілсіз, көңілі қалу, мұңды, наразы, ренжу, қабағын түйген адам, қабағын түю, қабағын түю: 6-тері түсі, қимыл, өкпелі
🙍‍♂	ашулы, ашулы ер, ер, ызалы
🙍🏻‍♂	1–2 тері түсі, ашулы, ашулы ер: 1–2 тері түсі, ер, ызалы
🙍🏼‍♂	3-тері түрі, ашулы, ашулы ер: 3-тері түрі, ер, ызалы
🙍🏽‍♂	4-тері түсі, ашулы, ашулы ер: 4-тері түсі, ер, ызалы
🙍🏾‍♂	5-тері түсі, ашулы, ашулы ер: 5-тері түсі, ер, ызалы
🙍🏿‍♂	6-тері түсі, ашулы, ашулы ер: 6-тері түсі, ер, ызалы
🙍‍♀	ашулы, ашулы әйел, ызалы, әйел
🙍🏻‍♀	1–2 тері түсі, ашулы, ашулы әйел: 1–2 тері түсі, ызалы, әйел
🙍🏼‍♀	3-тері түрі, ашулы, ашулы әйел: 3-тері түрі, ызалы, әйел
🙍🏽‍♀	4-тері түсі, ашулы, ашулы әйел: 4-тері түсі, ызалы, әйел
🙍🏾‍♀	5-тері түсі, ашулы, ашулы әйел: 5-тері түсі, ызалы, әйел
🙍🏿‍♀	6-тері түсі, ашулы, ашулы әйел: 6-тері түсі, ызалы, әйел
🙎	адам, ашулану, беті бүртию, беті бұртию, бұлтию, бұртию, көңілсіз, көңілі қалу, қабағын түю, қимыл
🙎🏻	1–2 тері түсі, адам, ашулану, беті бүртию, беті бұртию, беті бұртию: 1–2 тері түсі, бұлтию, бұртию, көңілсіз, көңілі қалу, қабағын түю, қимыл
🙎🏼	3-тері түрі, адам, ашулану, беті бүртию, беті бұртию, беті бұртию: 3-тері түрі, бұлтию, бұртию, көңілсіз, көңілі қалу, қабағын түю, қимыл
🙎🏽	4-тері түсі, адам, ашулану, беті бүртию, беті бұртию, беті бұртию: 4-тері түсі, бұлтию, бұртию, көңілсіз, көңілі қалу, қабағын түю, қимыл
🙎🏾	5-тері түсі, адам, ашулану, беті бүртию, беті бұртию, беті бұртию: 5-тері түсі, бұлтию, бұртию, көңілсіз, көңілі қалу, қабағын түю, қимыл
🙎🏿	6-тері түсі, адам, ашулану, беті бүртию, беті бұртию, беті бұртию: 6-тері түсі, бұлтию, бұртию, көңілсіз, көңілі қалу, қабағын түю, қимыл
🙎‍♂	ер, ренжулі, ренжулі ер, ренжіген
🙎🏻‍♂	1–2 тері түсі, ер, ренжулі, ренжулі ер: 1–2 тері түсі, ренжіген
🙎🏼‍♂	3-тері түрі, ер, ренжулі, ренжулі ер: 3-тері түрі, ренжіген
🙎🏽‍♂	4-тері түсі, ер, ренжулі, ренжулі ер: 4-тері түсі, ренжіген
🙎🏾‍♂	5-тері түсі, ер, ренжулі, ренжулі ер: 5-тері түсі, ренжіген
🙎🏿‍♂	6-тері түсі, ер, ренжулі, ренжулі ер: 6-тері түсі, ренжіген
🙎‍♀	ренжулі, ренжулі әйел, ренжіген, әйел
🙎🏻‍♀	1–2 тері түсі, ренжулі, ренжулі әйел: 1–2 тері түсі, ренжіген, әйел
🙎🏼‍♀	3-тері түрі, ренжулі, ренжулі әйел: 3-тері түрі, ренжіген, әйел
🙎🏽‍♀	4-тері түсі, ренжулі, ренжулі әйел: 4-тері түсі, ренжіген, әйел
🙎🏾‍♀	5-тері түсі, ренжулі, ренжулі әйел: 5-тері түсі, ренжіген, әйел
🙎🏿‍♀	6-тері түсі, ренжулі, ренжулі әйел: 6-тері түсі, ренжіген, әйел
🙅	ЖОҚ деген адам қимылы, адам, жоқ, жоқ деп көрсетіп жатқан адам, рұқсат бермеу, рұқсат жоқ, тыйым салынған, шығару, қимыл, қол, қолды айқастыру
🙅🏻	1–2 тері түсі, ЖОҚ деген адам қимылы, адам, жоқ, жоқ деп көрсетіп жатқан адам, жоқ: 1–2 тері түсі, рұқсат бермеу, рұқсат жоқ, тыйым салынған, шығару, қимыл, қол, қолды айқастыру
🙅🏼	3-тері түрі, ЖОҚ деген адам қимылы, адам, жоқ, жоқ деп көрсетіп жатқан адам, жоқ: 3-тері түрі, рұқсат бермеу, рұқсат жоқ, тыйым салынған, шығару, қимыл, қол, қолды айқастыру
🙅🏽	4-тері түсі, ЖОҚ деген адам қимылы, адам, жоқ, жоқ деп көрсетіп жатқан адам, жоқ: 4-тері түсі, рұқсат бермеу, рұқсат жоқ, тыйым салынған, шығару, қимыл, қол, қолды айқастыру
🙅🏾	5-тері түсі, ЖОҚ деген адам қимылы, адам, жоқ, жоқ деп көрсетіп жатқан адам, жоқ: 5-тері түсі, рұқсат бермеу, рұқсат жоқ, тыйым салынған, шығару, қимыл, қол, қолды айқастыру
🙅🏿	6-тері түсі, ЖОҚ деген адам қимылы, адам, жоқ, жоқ деп көрсетіп жатқан адам, жоқ: 6-тері түсі, рұқсат бермеу, рұқсат жоқ, тыйым салынған, шығару, қимыл, қол, қолды айқастыру
🙅‍♂	болмайды, ер, жоқ, қарсы, қарсымын деп тұрған ер, қол
🙅🏻‍♂	1–2 тері түсі, болмайды, ер, жоқ, қарсы, қарсымын деп тұрған ер, қарсымын деп тұрған ер: 1–2 тері түсі, қол
🙅🏼‍♂	3-тері түрі, болмайды, ер, жоқ, қарсы, қарсымын деп тұрған ер, қарсымын деп тұрған ер: 3-тері түрі, қол
🙅🏽‍♂	4-тері түсі, болмайды, ер, жоқ, қарсы, қарсымын деп тұрған ер, қарсымын деп тұрған ер: 4-тері түсі, қол
🙅🏾‍♂	5-тері түсі, болмайды, ер, жоқ, қарсы, қарсымын деп тұрған ер, қарсымын деп тұрған ер: 5-тері түсі, қол
🙅🏿‍♂	6-тері түсі, болмайды, ер, жоқ, қарсы, қарсымын деп тұрған ер, қарсымын деп тұрған ер: 6-тері түсі, қол
🙅‍♀	болмайды, қарсы, қарсымын деп тұрған әйел, әйел
🙅🏻‍♀	1–2 тері түсі, болмайды, қарсы, қарсымын деп тұрған әйел, қарсымын деп тұрған әйел: 1–2 тері түсі, әйел
🙅🏼‍♀	3-тері түрі, болмайды, қарсы, қарсымын деп тұрған әйел, қарсымын деп тұрған әйел: 3-тері түрі, әйел
🙅🏽‍♀	4-тері түсі, болмайды, қарсы, қарсымын деп тұрған әйел, қарсымын деп тұрған әйел: 4-тері түсі, әйел
🙅🏾‍♀	5-тері түсі, болмайды, қарсы, қарсымын деп тұрған әйел, қарсымын деп тұрған әйел: 5-тері түсі, әйел
🙅🏿‍♀	6-тері түсі, болмайды, қарсы, қарсымын деп тұрған әйел, қарсымын деп тұрған әйел: 6-тері түсі, әйел
🙆	ОК, адам, жарайды, жаттығу, мақұл, окей, қимыл, қол
🙆🏻	1–2 тері түсі, ОК, адам, жарайды, жарайды: 1–2 тері түсі, жаттығу, мақұл, окей, қимыл, қол
🙆🏼	3-тері түрі, ОК, адам, жарайды, жарайды: 3-тері түрі, жаттығу, мақұл, окей, қимыл, қол
🙆🏽	4-тері түсі, ОК, адам, жарайды, жарайды: 4-тері түсі, жаттығу, мақұл, окей, қимыл, қол
🙆🏾	5-тері түсі, ОК, адам, жарайды, жарайды: 5-тері түсі, жаттығу, мақұл, окей, қимыл, қол
🙆🏿	6-тері түсі, ОК, адам, жарайды, жарайды: 6-тері түсі, жаттығу, мақұл, окей, қимыл, қол
🙆‍♂	ер, жақтау, қол, құптап тұрған ер, құптау
🙆🏻‍♂	1–2 тері түсі, ер, жақтау, қол, құптап тұрған ер, құптап тұрған ер: 1–2 тері түсі, құптау
🙆🏼‍♂	3-тері түрі, ер, жақтау, қол, құптап тұрған ер, құптап тұрған ер: 3-тері түрі, құптау
🙆🏽‍♂	4-тері түсі, ер, жақтау, қол, құптап тұрған ер, құптап тұрған ер: 4-тері түсі, құптау
🙆🏾‍♂	5-тері түсі, ер, жақтау, қол, құптап тұрған ер, құптап тұрған ер: 5-тері түсі, құптау
🙆🏿‍♂	6-тері түсі, ер, жақтау, қол, құптап тұрған ер, құптап тұрған ер: 6-тері түсі, құптау
🙆‍♀	жақтау, құптап тұрған әйел, құптау, әйел
🙆🏻‍♀	1–2 тері түсі, жақтау, құптап тұрған әйел, құптап тұрған әйел: 1–2 тері түсі, құптау, әйел
🙆🏼‍♀	3-тері түрі, жақтау, құптап тұрған әйел, құптап тұрған әйел: 3-тері түрі, құптау, әйел
🙆🏽‍♀	4-тері түсі, жақтау, құптап тұрған әйел, құптап тұрған әйел: 4-тері түсі, құптау, әйел
🙆🏾‍♀	5-тері түсі, жақтау, құптап тұрған әйел, құптап тұрған әйел: 5-тері түсі, құптау, әйел
🙆🏿‍♀	6-тері түсі, жақтау, құптап тұрған әйел, құптап тұрған әйел: 6-тері түсі, құптау, әйел
💁	ақпарат, ақпарат орталығы, дөрекі, жәрдем, кеңес, көмек, сарказм, шашты қайыру, қол, өсек
💁🏻	1–2 тері түсі, ақпарат, ақпарат орталығы, ақпарат орталығы: 1–2 тері түсі, дөрекі, жәрдем, кеңес, көмек, сарказм, шашты қайыру, қол, өсек
💁🏼	3-тері түрі, ақпарат, ақпарат орталығы, ақпарат орталығы: 3-тері түрі, дөрекі, жәрдем, кеңес, көмек, сарказм, шашты қайыру, қол, өсек
💁🏽	4-тері түсі, ақпарат, ақпарат орталығы, ақпарат орталығы: 4-тері түсі, дөрекі, жәрдем, кеңес, көмек, сарказм, шашты қайыру, қол, өсек
💁🏾	5-тері түсі, ақпарат, ақпарат орталығы, ақпарат орталығы: 5-тері түсі, дөрекі, жәрдем, кеңес, көмек, сарказм, шашты қайыру, қол, өсек
💁🏿	6-тері түсі, ақпарат, ақпарат орталығы, ақпарат орталығы: 6-тері түсі, дөрекі, жәрдем, кеңес, көмек, сарказм, шашты қайыру, қол, өсек
💁‍♂	ер, қол созу, қолын созып тұрған ер
💁🏻‍♂	1–2 тері түсі, ер, қол созу, қолын созып тұрған ер, қолын созып тұрған ер: 1–2 тері түсі
💁🏼‍♂	3-тері түрі, ер, қол созу, қолын созып тұрған ер, қолын созып тұрған ер: 3-тері түрі
💁🏽‍♂	4-тері түсі, ер, қол созу, қолын созып тұрған ер, қолын созып тұрған ер: 4-тері түсі
💁🏾‍♂	5-тері түсі, ер, қол созу, қолын созып тұрған ер, қолын созып тұрған ер: 5-тері түсі
💁🏿‍♂	6-тері түсі, ер, қол созу, қолын созып тұрған ер, қолын созып тұрған ер: 6-тері түсі
💁‍♀	қол созу, қолын созып тұрған әйел, әйел
💁🏻‍♀	1–2 тері түсі, қол созу, қолын созып тұрған әйел, қолын созып тұрған әйел: 1–2 тері түсі, әйел
💁🏼‍♀	3-тері түрі, қол созу, қолын созып тұрған әйел, қолын созып тұрған әйел: 3-тері түрі, әйел
💁🏽‍♀	4-тері түсі, қол созу, қолын созып тұрған әйел, қолын созып тұрған әйел: 4-тері түсі, әйел
💁🏾‍♀	5-тері түсі, қол созу, қолын созып тұрған әйел, қолын созып тұрған әйел: 5-тері түсі, әйел
💁🏿‍♀	6-тері түсі, қол созу, қолын созып тұрған әйел, қолын созып тұрған әйел: 6-тері түсі, әйел
🙋	көтерілген, мен, мен айтайыншы, мен білемін, сұрақ, қимыл, қол, қолды көтеру, қолын көтеріп тұрған адам, қуанышты
🙋🏻	1–2 тері түсі, көтерілген, мен, мен айтайыншы, мен білемін, сұрақ, қимыл, қол, қолды көтеру, қолды көтеру: 1–2 тері түсі, қолын көтеріп тұрған адам, қуанышты
🙋🏼	3-тері түрі, көтерілген, мен, мен айтайыншы, мен білемін, сұрақ, қимыл, қол, қолды көтеру, қолды көтеру: 3-тері түрі, қолын көтеріп тұрған адам, қуанышты
🙋🏽	4-тері түсі, көтерілген, мен, мен айтайыншы, мен білемін, сұрақ, қимыл, қол, қолды көтеру, қолды көтеру: 4-тері түсі, қолын көтеріп тұрған адам, қуанышты
🙋🏾	5-тері түсі, көтерілген, мен, мен айтайыншы, мен білемін, сұрақ, қимыл, қол, қолды көтеру, қолды көтеру: 5-тері түсі, қолын көтеріп тұрған адам, қуанышты
🙋🏿	6-тері түсі, көтерілген, мен, мен айтайыншы, мен білемін, сұрақ, қимыл, қол, қолды көтеру, қолды көтеру: 6-тері түсі, қолын көтеріп тұрған адам, қуанышты
🙋‍♂	ер, қимыл, қол көтеру, қолын көтеріп тұрған ер
🙋🏻‍♂	1–2 тері түсі, ер, қимыл, қол көтеру, қолын көтеріп тұрған ер, қолын көтеріп тұрған ер: 1–2 тері түсі
🙋🏼‍♂	3-тері түрі, ер, қимыл, қол көтеру, қолын көтеріп тұрған ер, қолын көтеріп тұрған ер: 3-тері түрі
🙋🏽‍♂	4-тері түсі, ер, қимыл, қол көтеру, қолын көтеріп тұрған ер, қолын көтеріп тұрған ер: 4-тері түсі
🙋🏾‍♂	5-тері түсі, ер, қимыл, қол көтеру, қолын көтеріп тұрған ер, қолын көтеріп тұрған ер: 5-тері түсі
🙋🏿‍♂	6-тері түсі, ер, қимыл, қол көтеру, қолын көтеріп тұрған ер, қолын көтеріп тұрған ер: 6-тері түсі
🙋‍♀	қимыл, қол көтеру, қолын көтеріп тұрған әйел, әйел
🙋🏻‍♀	1–2 тері түсі, қимыл, қол көтеру, қолын көтеріп тұрған әйел, қолын көтеріп тұрған әйел: 1–2 тері түсі, әйел
🙋🏼‍♀	3-тері түрі, қимыл, қол көтеру, қолын көтеріп тұрған әйел, қолын көтеріп тұрған әйел: 3-тері түрі, әйел
🙋🏽‍♀	4-тері түсі, қимыл, қол көтеру, қолын көтеріп тұрған әйел, қолын көтеріп тұрған әйел: 4-тері түсі, әйел
🙋🏾‍♀	5-тері түсі, қимыл, қол көтеру, қолын көтеріп тұрған әйел, қолын көтеріп тұрған әйел: 5-тері түсі, әйел
🙋🏿‍♀	6-тері түсі, қимыл, қол көтеру, қолын көтеріп тұрған әйел, қолын көтеріп тұрған әйел: 6-тері түсі, әйел
🧏	есту, мүмкіндігі шектеулі, саңырау, саңырау адам, құлақ
🧏🏻	1–2 тері түсі, есту, мүмкіндігі шектеулі, саңырау, саңырау адам, саңырау адам: 1–2 тері түсі, құлақ
🧏🏼	3-тері түрі, есту, мүмкіндігі шектеулі, саңырау, саңырау адам, саңырау адам: 3-тері түрі, құлақ
🧏🏽	4-тері түсі, есту, мүмкіндігі шектеулі, саңырау, саңырау адам, саңырау адам: 4-тері түсі, құлақ
🧏🏾	5-тері түсі, есту, мүмкіндігі шектеулі, саңырау, саңырау адам, саңырау адам: 5-тері түсі, құлақ
🧏🏿	6-тері түсі, есту, мүмкіндігі шектеулі, саңырау, саңырау адам, саңырау адам: 6-тері түсі, құлақ
🧏‍♂	еркек, саңырау, саңырау еркек
🧏🏻‍♂	1–2 тері түсі, еркек, саңырау, саңырау еркек: 1–2 тері түсі
🧏🏼‍♂	3-тері түрі, еркек, саңырау, саңырау еркек: 3-тері түрі
🧏🏽‍♂	4-тері түсі, еркек, саңырау, саңырау еркек: 4-тері түсі
🧏🏾‍♂	5-тері түсі, еркек, саңырау, саңырау еркек: 5-тері түсі
🧏🏿‍♂	6-тері түсі, еркек, саңырау, саңырау еркек: 6-тері түсі
🧏‍♀	саңырау, саңырау әйел, әйел
🧏🏻‍♀	1–2 тері түсі, саңырау, саңырау әйел: 1–2 тері түсі, әйел
🧏🏼‍♀	3-тері түрі, саңырау, саңырау әйел: 3-тері түрі, әйел
🧏🏽‍♀	4-тері түсі, саңырау, саңырау әйел: 4-тері түсі, әйел
🧏🏾‍♀	5-тері түсі, саңырау, саңырау әйел: 5-тері түсі, әйел
🧏🏿‍♀	6-тері түсі, саңырау, саңырау әйел: 6-тері түсі, әйел
🙇	адам, бас ию, бағыну, бағынып тұрған адам, жалбарыну, жалыну, иілген адам, иілу, кешіру, кешірім, кешірім сұрау, медитация, қимыл, өкіну, өтіну
🙇🏻	1–2 тері түсі, адам, бас ию, бағыну, бағынып тұрған адам, жалбарыну, жалыну, иілген адам, иілген адам: 1–2 тері түсі, иілу, кешіру, кешірім, кешірім сұрау, медитация, қимыл, өкіну, өтіну
🙇🏼	3-тері түрі, адам, бас ию, бағыну, бағынып тұрған адам, жалбарыну, жалыну, иілген адам, иілген адам: 3-тері түрі, иілу, кешіру, кешірім, кешірім сұрау, медитация, қимыл, өкіну, өтіну
🙇🏽	4-тері түсі, адам, бас ию, бағыну, бағынып тұрған адам, жалбарыну, жалыну, иілген адам, иілген адам: 4-тері түсі, иілу, кешіру, кешірім, кешірім сұрау, медитация, қимыл, өкіну, өтіну
🙇🏾	5-тері түсі, адам, бас ию, бағыну, бағынып тұрған адам, жалбарыну, жалыну, иілген адам, иілген адам: 5-тері түсі, иілу, кешіру, кешірім, кешірім сұрау, медитация, қимыл, өкіну, өтіну
🙇🏿	6-тері түсі, адам, бас ию, бағыну, бағынып тұрған адам, жалбарыну, жалыну, иілген адам, иілген адам: 6-тері түсі, иілу, кешіру, кешірім, кешірім сұрау, медитация, қимыл, өкіну, өтіну
🙇‍♂	бас ию, басын иіп тұрған ер, ер, кешірім сұрау, өтіну
🙇🏻‍♂	1–2 тері түсі, бас ию, басын иіп тұрған ер, басын иіп тұрған ер: 1–2 тері түсі, ер, кешірім сұрау, өтіну
🙇🏼‍♂	3-тері түрі, бас ию, басын иіп тұрған ер, басын иіп тұрған ер: 3-тері түрі, ер, кешірім сұрау, өтіну
🙇🏽‍♂	4-тері түсі, бас ию, басын иіп тұрған ер, басын иіп тұрған ер: 4-тері түсі, ер, кешірім сұрау, өтіну
🙇🏾‍♂	5-тері түсі, бас ию, басын иіп тұрған ер, басын иіп тұрған ер: 5-тері түсі, ер, кешірім сұрау, өтіну
🙇🏿‍♂	6-тері түсі, бас ию, басын иіп тұрған ер, басын иіп тұрған ер: 6-тері түсі, ер, кешірім сұрау, өтіну
🙇‍♀	бас ию, басын иіп тұрған әйел, бағыну, кешірім, кешірім сұрау, әйел, өтіну
🙇🏻‍♀	1–2 тері түсі, бас ию, басын иіп тұрған әйел, басын иіп тұрған әйел: 1–2 тері түсі, бағыну, кешірім, кешірім сұрау, әйел, өтіну
🙇🏼‍♀	3-тері түрі, бас ию, басын иіп тұрған әйел, басын иіп тұрған әйел: 3-тері түрі, бағыну, кешірім, кешірім сұрау, әйел, өтіну
🙇🏽‍♀	4-тері түсі, бас ию, басын иіп тұрған әйел, басын иіп тұрған әйел: 4-тері түсі, бағыну, кешірім, кешірім сұрау, әйел, өтіну
🙇🏾‍♀	5-тері түсі, бас ию, басын иіп тұрған әйел, басын иіп тұрған әйел: 5-тері түсі, бағыну, кешірім, кешірім сұрау, әйел, өтіну
🙇🏿‍♀	6-тері түсі, бас ию, басын иіп тұрған әйел, басын иіп тұрған әйел: 6-тері түсі, бағыну, кешірім, кешірім сұрау, әйел, өтіну
🤦	алақан, белгі, бет, бетім-ай, бетін қолмен жабу, бетін қолмен жапқан адам, масқара, сенбеу, сене алар емеспін, сөзім жоқ, түңілгендік, түңілгендік белгісі, түңілу, фейспалм, шок, қол
🤦🏻	1–2 тері түсі, алақан, белгі, бет, бетім-ай, бетін қолмен жабу, бетін қолмен жапқан адам, бетін қолмен жапқан адам: 1–2 тері түсі, масқара, сенбеу, сене алар емеспін, сөзім жоқ, түңілгендік, түңілгендік белгісі, түңілу, фейспалм, шок, қол
🤦🏼	3-тері түрі, алақан, белгі, бет, бетім-ай, бетін қолмен жабу, бетін қолмен жапқан адам, бетін қолмен жапқан адам: 3-тері түрі, масқара, сенбеу, сене алар емеспін, сөзім жоқ, түңілгендік, түңілгендік белгісі, түңілу, фейспалм, шок, қол
🤦🏽	4-тері түсі, алақан, белгі, бет, бетім-ай, бетін қолмен жабу, бетін қолмен жапқан адам, бетін қолмен жапқан адам: 4-тері түсі, масқара, сенбеу, сене алар емеспін, сөзім жоқ, түңілгендік, түңілгендік белгісі, түңілу, фейспалм, шок, қол
🤦🏾	5-тері түсі, алақан, белгі, бет, бетім-ай, бетін қолмен жабу, бетін қолмен жапқан адам, бетін қолмен жапқан адам: 5-тері түсі, масқара, сенбеу, сене алар емеспін, сөзім жоқ, түңілгендік, түңілгендік белгісі, түңілу, фейспалм, шок, қол
🤦🏿	6-тері түсі, алақан, белгі, бет, бетім-ай, бетін қолмен жабу, бетін қолмен жапқан адам, бетін қолмен жапқан адам: 6-тері түсі, масқара, сенбеу, сене алар емеспін, сөзім жоқ, түңілгендік, түңілгендік белгісі, түңілу, фейспалм, шок, қол
🤦‍♂	айтуға сөз таппай тұрған ер, алақан, бет, бетім-ай, бетін қолмен жабу, бетін қолмен жапқан ер адам, долдану, ер, ер адам, масқара, сенбеу, сене алар емеспін, сөзім жоқ, түңілу, фейспалм, шок, қол, өкіну
🤦🏻‍♂	1–2 тері түсі, айтуға сөз таппай тұрған ер, айтуға сөз таппай тұрған ер: 1–2 тері түсі, алақан, бет, бетім-ай, бетін қолмен жабу, бетін қолмен жапқан ер адам, долдану, ер, ер адам, масқара, сенбеу, сене алар емеспін, сөзім жоқ, түңілу, фейспалм, шок, қол, өкіну
🤦🏼‍♂	3-тері түрі, айтуға сөз таппай тұрған ер, айтуға сөз таппай тұрған ер: 3-тері түрі, алақан, бет, бетім-ай, бетін қолмен жабу, бетін қолмен жапқан ер адам, долдану, ер, ер адам, масқара, сенбеу, сене алар емеспін, сөзім жоқ, түңілу, фейспалм, шок, қол, өкіну
🤦🏽‍♂	4-тері түсі, айтуға сөз таппай тұрған ер, айтуға сөз таппай тұрған ер: 4-тері түсі, алақан, бет, бетім-ай, бетін қолмен жабу, бетін қолмен жапқан ер адам, долдану, ер, ер адам, масқара, сенбеу, сене алар емеспін, сөзім жоқ, түңілу, фейспалм, шок, қол, өкіну
🤦🏾‍♂	5-тері түсі, айтуға сөз таппай тұрған ер, айтуға сөз таппай тұрған ер: 5-тері түсі, алақан, бет, бетім-ай, бетін қолмен жабу, бетін қолмен жапқан ер адам, долдану, ер, ер адам, масқара, сенбеу, сене алар емеспін, сөзім жоқ, түңілу, фейспалм, шок, қол, өкіну
🤦🏿‍♂	6-тері түсі, айтуға сөз таппай тұрған ер, айтуға сөз таппай тұрған ер: 6-тері түсі, алақан, бет, бетім-ай, бетін қолмен жабу, бетін қолмен жапқан ер адам, долдану, ер, ер адам, масқара, сенбеу, сене алар емеспін, сөзім жоқ, түңілу, фейспалм, шок, қол, өкіну
🤦‍♀	айтуға сөз таппай тұрған әйел, алақан, бет, бетім-ай, бетін қолмен жабу, бетін қолмен жапқан әйел адам, долдану, масқара, сенбеу, сене алар емеспін, сөзім жоқ, түңілу, фейспалм, шок, қол, әйел, әйел адам, өкіну
🤦🏻‍♀	1–2 тері түсі, айтуға сөз таппай тұрған әйел, айтуға сөз таппай тұрған әйел: 1–2 тері түсі, алақан, бет, бетім-ай, бетін қолмен жабу, бетін қолмен жапқан әйел адам, долдану, масқара, сенбеу, сене алар емеспін, сөзім жоқ, түңілу, фейспалм, шок, қол, әйел, әйел адам, өкіну
🤦🏼‍♀	3-тері түрі, айтуға сөз таппай тұрған әйел, айтуға сөз таппай тұрған әйел: 3-тері түрі, алақан, бет, бетім-ай, бетін қолмен жабу, бетін қолмен жапқан әйел адам, долдану, масқара, сенбеу, сене алар емеспін, сөзім жоқ, түңілу, фейспалм, шок, қол, әйел, әйел адам, өкіну
🤦🏽‍♀	4-тері түсі, айтуға сөз таппай тұрған әйел, айтуға сөз таппай тұрған әйел: 4-тері түсі, алақан, бет, бетім-ай, бетін қолмен жабу, бетін қолмен жапқан әйел адам, долдану, масқара, сенбеу, сене алар емеспін, сөзім жоқ, түңілу, фейспалм, шок, қол, әйел, әйел адам, өкіну
