‾	traço sobrescrito
☝🏾	apontar, dedo, dedo indicador a apontar para cima, dedo indicador a apontar para cima: tipo de pele 5, indicador, mão, para cima, tipo de pele 5
☝🏿	apontar, dedo, dedo indicador a apontar para cima, dedo indicador a apontar para cima: tipo de pele 6, indicador, mão, para cima, tipo de pele 6
🫵	acusar, apontar, apontar o dedo, indicador a apontar para o espetador, mão, tu, você
🫵🏻	acusar, apontar, apontar o dedo, indicador a apontar para o espetador, indicador a apontar para o espetador: tipo de pele 1–2, mão, tipo de pele 1–2, tu, você
🫵🏼	acusar, apontar, apontar o dedo, indicador a apontar para o espetador, indicador a apontar para o espetador: tipo de pele 3, mão, tipo de pele 3, tu, você
🫵🏽	acusar, apontar, apontar o dedo, indicador a apontar para o espetador, indicador a apontar para o espetador: tipo de pele 4, mão, tipo de pele 4, tu, você
🫵🏾	acusar, apontar, apontar o dedo, indicador a apontar para o espetador, indicador a apontar para o espetador: tipo de pele 5, mão, tipo de pele 5, tu, você
🫵🏿	acusar, apontar, apontar o dedo, indicador a apontar para o espetador, indicador a apontar para o espetador: tipo de pele 6, mão, tipo de pele 6, tu, você
👍️	OK, combinado, compreendi, corpo, fantástico, fixe, gosto, mão, para cima, polegar, polegar para cima
👍🏻	OK, combinado, compreendi, corpo, fantástico, fixe, gosto, mão, para cima, polegar, polegar para cima, polegar para cima: tipo de pele 1–2, tipo de pele 1–2
👍🏼	OK, combinado, compreendi, corpo, fantástico, fixe, gosto, mão, para cima, polegar, polegar para cima, polegar para cima: tipo de pele 3, tipo de pele 3
👍🏽	OK, combinado, compreendi, corpo, fantástico, fixe, gosto, mão, para cima, polegar, polegar para cima, polegar para cima: tipo de pele 4, tipo de pele 4
👍🏾	OK, combinado, compreendi, corpo, fantástico, fixe, gosto, mão, para cima, polegar, polegar para cima, polegar para cima: tipo de pele 5, tipo de pele 5
👍🏿	OK, combinado, compreendi, corpo, fantástico, fixe, gosto, mão, para cima, polegar, polegar para cima, polegar para cima: tipo de pele 6, tipo de pele 6
👎️	corpo, mão, não concordo, não gosto, para baixo, polegar, polegar para baixo
👎🏻	corpo, mão, não concordo, não gosto, para baixo, polegar, polegar para baixo, polegar para baixo: tipo de pele 1–2, tipo de pele 1–2
👎🏼	corpo, mão, não concordo, não gosto, para baixo, polegar, polegar para baixo, polegar para baixo: tipo de pele 3, tipo de pele 3
👎🏽	corpo, mão, não concordo, não gosto, para baixo, polegar, polegar para baixo, polegar para baixo: tipo de pele 4, tipo de pele 4
👎🏾	corpo, mão, não concordo, não gosto, para baixo, polegar, polegar para baixo, polegar para baixo: tipo de pele 5, tipo de pele 5
👎🏿	corpo, mão, não concordo, não gosto, para baixo, polegar, polegar para baixo, polegar para baixo: tipo de pele 6, tipo de pele 6
✊️	cerrado, corpo, mão, punho, punho erguido, punho levantado, soco, solidariedade
✊🏻	cerrado, corpo, mão, punho, punho erguido, punho erguido: tipo de pele 1–2, punho levantado, soco, solidariedade, tipo de pele 1–2
✊🏼	cerrado, corpo, mão, punho, punho erguido, punho erguido: tipo de pele 3, punho levantado, soco, solidariedade, tipo de pele 3
✊🏽	cerrado, corpo, mão, punho, punho erguido, punho erguido: tipo de pele 4, punho levantado, soco, solidariedade, tipo de pele 4
✊🏾	cerrado, corpo, mão, punho, punho erguido, punho erguido: tipo de pele 5, punho levantado, soco, solidariedade, tipo de pele 5
✊🏿	cerrado, corpo, mão, punho, punho erguido, punho erguido: tipo de pele 6, punho levantado, soco, solidariedade, tipo de pele 6
👊	cerrado, concordo, corpo, mão, mão fechada, punho, punho a aproximar-se, punho fechado, soco
👊🏻	cerrado, concordo, corpo, mão, mão fechada, punho, punho a aproximar-se, punho a aproximar-se: tipo de pele 1–2, punho fechado, soco, tipo de pele 1–2
👊🏼	cerrado, concordo, corpo, mão, mão fechada, punho, punho a aproximar-se, punho a aproximar-se: tipo de pele 3, punho fechado, soco, tipo de pele 3
👊🏽	cerrado, concordo, corpo, mão, mão fechada, punho, punho a aproximar-se, punho a aproximar-se: tipo de pele 4, punho fechado, soco, tipo de pele 4
👊🏾	cerrado, concordo, corpo, mão, mão fechada, punho, punho a aproximar-se, punho a aproximar-se: tipo de pele 5, punho fechado, soco, tipo de pele 5
👊🏿	cerrado, concordo, corpo, mão, mão fechada, punho, punho a aproximar-se, punho a aproximar-se: tipo de pele 6, punho fechado, soco, tipo de pele 6
🤛	esquerda, punho, punho voltado para a esquerda, soco
🤛🏻	esquerda, punho, punho voltado para a esquerda, punho voltado para a esquerda: tipo de pele 1–2, soco, tipo de pele 1–2
🤛🏼	esquerda, punho, punho voltado para a esquerda, punho voltado para a esquerda: tipo de pele 3, soco, tipo de pele 3
🤛🏽	esquerda, punho, punho voltado para a esquerda, punho voltado para a esquerda: tipo de pele 4, soco, tipo de pele 4
🤛🏾	esquerda, punho, punho voltado para a esquerda, punho voltado para a esquerda: tipo de pele 5, soco, tipo de pele 5
🤛🏿	esquerda, punho, punho voltado para a esquerda, punho voltado para a esquerda: tipo de pele 6, soco, tipo de pele 6
🤜	direita, punho, punho voltado para a direita, soco
🤜🏻	direita, punho, punho voltado para a direita, punho voltado para a direita: tipo de pele 1–2, soco, tipo de pele 1–2
🤜🏼	direita, punho, punho voltado para a direita, punho voltado para a direita: tipo de pele 3, soco, tipo de pele 3
🤜🏽	direita, punho, punho voltado para a direita, punho voltado para a direita: tipo de pele 4, soco, tipo de pele 4
🤜🏾	direita, punho, punho voltado para a direita, punho voltado para a direita: tipo de pele 5, soco, tipo de pele 5
🤜🏿	direita, punho, punho voltado para a direita, punho voltado para a direita: tipo de pele 6, soco, tipo de pele 6
👏	aplauso, aprovação, bater palmas, corpo, mão, mãos a bater palmas, parabéns
👏🏻	aplauso, aprovação, bater palmas, corpo, mão, mãos a bater palmas, mãos a bater palmas: tipo de pele 1–2, parabéns, tipo de pele 1–2
👏🏼	aplauso, aprovação, bater palmas, corpo, mão, mãos a bater palmas, mãos a bater palmas: tipo de pele 3, parabéns, tipo de pele 3
👏🏽	aplauso, aprovação, bater palmas, corpo, mão, mãos a bater palmas, mãos a bater palmas: tipo de pele 4, parabéns, tipo de pele 4
👏🏾	aplauso, aprovação, bater palmas, corpo, mão, mãos a bater palmas, mãos a bater palmas: tipo de pele 5, parabéns, tipo de pele 5
👏🏿	aplauso, aprovação, bater palmas, corpo, mão, mãos a bater palmas, mãos a bater palmas: tipo de pele 6, parabéns, tipo de pele 6
🙌	celebração, comemoração, corpo, gesto, mão, mãos levantadas, mãos no ar, viva
🙌🏻	celebração, comemoração, corpo, gesto, mão, mãos levantadas, mãos no ar, mãos no ar: tipo de pele 1–2, tipo de pele 1–2, viva
🙌🏼	celebração, comemoração, corpo, gesto, mão, mãos levantadas, mãos no ar, mãos no ar: tipo de pele 3, tipo de pele 3, viva
🙌🏽	celebração, comemoração, corpo, gesto, mão, mãos levantadas, mãos no ar, mãos no ar: tipo de pele 4, tipo de pele 4, viva
🙌🏾	celebração, comemoração, corpo, gesto, mão, mãos levantadas, mãos no ar, mãos no ar: tipo de pele 5, tipo de pele 5, viva
🙌🏿	celebração, comemoração, corpo, gesto, mão, mãos levantadas, mãos no ar, mãos no ar: tipo de pele 6, tipo de pele 6, viva
🫶	<3, amo-te, amor, mão-coração, mãos, mãos de coração, mãos em forma de coração
🫶🏻	<3, amo-te, amor, mão-coração, mãos, mãos de coração, mãos em forma de coração, mãos em forma de coração: tipo de pele 1–2, tipo de pele 1–2
🫶🏼	<3, amo-te, amor, mão-coração, mãos, mãos de coração, mãos em forma de coração, mãos em forma de coração: tipo de pele 3, tipo de pele 3
🫶🏽	<3, amo-te, amor, mão-coração, mãos, mãos de coração, mãos em forma de coração, mãos em forma de coração: tipo de pele 4, tipo de pele 4
🫶🏾	<3, amo-te, amor, mão-coração, mãos, mãos de coração, mãos em forma de coração, mãos em forma de coração: tipo de pele 5, tipo de pele 5
🫶🏿	<3, amo-te, amor, mão-coração, mãos, mãos de coração, mãos em forma de coração, mãos em forma de coração: tipo de pele 6, tipo de pele 6
👐	aberta, abraço, corpo, mão, mãos abertas, mãos de jazz
👐🏻	aberta, abraço, corpo, mão, mãos abertas, mãos abertas: tipo de pele 1–2, mãos de jazz, tipo de pele 1–2
👐🏼	aberta, abraço, corpo, mão, mãos abertas, mãos abertas: tipo de pele 3, mãos de jazz, tipo de pele 3
👐🏽	aberta, abraço, corpo, mão, mãos abertas, mãos abertas: tipo de pele 4, mãos de jazz, tipo de pele 4
👐🏾	aberta, abraço, corpo, mão, mãos abertas, mãos abertas: tipo de pele 5, mãos de jazz, tipo de pele 5
👐🏿	aberta, abraço, corpo, mão, mãos abertas, mãos abertas: tipo de pele 6, mãos de jazz, tipo de pele 6
🤲	mãos abertas, mãos em concha, mãos estendidas, oração, palmas abertas, palmas juntas abertas, palmas juntas para cima, prece
🤲🏻	mãos abertas, mãos em concha, mãos estendidas, oração, palmas abertas, palmas juntas abertas, palmas juntas abertas: tipo de pele 1–2, palmas juntas para cima, prece, tipo de pele 1–2
🤲🏼	mãos abertas, mãos em concha, mãos estendidas, oração, palmas abertas, palmas juntas abertas, palmas juntas abertas: tipo de pele 3, palmas juntas para cima, prece, tipo de pele 3
🤲🏽	mãos abertas, mãos em concha, mãos estendidas, oração, palmas abertas, palmas juntas abertas, palmas juntas abertas: tipo de pele 4, palmas juntas para cima, prece, tipo de pele 4
🤲🏾	mãos abertas, mãos em concha, mãos estendidas, oração, palmas abertas, palmas juntas abertas, palmas juntas abertas: tipo de pele 5, palmas juntas para cima, prece, tipo de pele 5
🤲🏿	mãos abertas, mãos em concha, mãos estendidas, oração, palmas abertas, palmas juntas abertas, palmas juntas abertas: tipo de pele 6, palmas juntas para cima, prece, tipo de pele 6
🤝	acordo, aperto, aperto de mão, combinado, cumprimento, mão, passou-bem, reunião
🤝🏻	acordo, aperto, aperto de mão, aperto de mão: tipo de pele 1–2, combinado, cumprimento, mão, passou-bem, reunião, tipo de pele 1–2
🤝🏼	acordo, aperto, aperto de mão, aperto de mão: tipo de pele 3, combinado, cumprimento, mão, passou-bem, reunião, tipo de pele 3
🤝🏽	acordo, aperto, aperto de mão, aperto de mão: tipo de pele 4, combinado, cumprimento, mão, passou-bem, reunião, tipo de pele 4
🤝🏾	acordo, aperto, aperto de mão, aperto de mão: tipo de pele 5, combinado, cumprimento, mão, passou-bem, reunião, tipo de pele 5
🤝🏿	acordo, aperto, aperto de mão, aperto de mão: tipo de pele 6, combinado, cumprimento, mão, passou-bem, reunião, tipo de pele 6
🙏	agradecimento, gesto, mão, mãos juntas, pedido, por favor, reverência, rezar
🙏🏻	agradecimento, gesto, mão, mãos juntas, mãos juntas: tipo de pele 1–2, pedido, por favor, reverência, rezar, tipo de pele 1–2
🙏🏼	agradecimento, gesto, mão, mãos juntas, mãos juntas: tipo de pele 3, pedido, por favor, reverência, rezar, tipo de pele 3
🙏🏽	agradecimento, gesto, mão, mãos juntas, mãos juntas: tipo de pele 4, pedido, por favor, reverência, rezar, tipo de pele 4
🙏🏾	agradecimento, gesto, mão, mãos juntas, mãos juntas: tipo de pele 5, pedido, por favor, reverência, rezar, tipo de pele 5
🙏🏿	agradecimento, gesto, mão, mãos juntas, mãos juntas: tipo de pele 6, pedido, por favor, reverência, rezar, tipo de pele 6
✍️	corpo, escrever, mão, mão a escrever
✍🏻	corpo, escrever, mão, mão a escrever, mão a escrever: tipo de pele 1–2, tipo de pele 1–2
✍🏼	corpo, escrever, mão, mão a escrever, mão a escrever: tipo de pele 3, tipo de pele 3
✍🏽	corpo, escrever, mão, mão a escrever, mão a escrever: tipo de pele 4, tipo de pele 4
✍🏾	corpo, escrever, mão, mão a escrever, mão a escrever: tipo de pele 5, tipo de pele 5
✍🏿	corpo, escrever, mão, mão a escrever, mão a escrever: tipo de pele 6, tipo de pele 6
💅	cosméticos, manicura, unha, verniz, verniz para as unhas
💅🏻	cosméticos, manicura, tipo de pele 1–2, unha, verniz, verniz para as unhas, verniz para as unhas: tipo de pele 1–2
💅🏼	cosméticos, manicura, tipo de pele 3, unha, verniz, verniz para as unhas, verniz para as unhas: tipo de pele 3
💅🏽	cosméticos, manicura, tipo de pele 4, unha, verniz, verniz para as unhas, verniz para as unhas: tipo de pele 4
💅🏾	cosméticos, manicura, tipo de pele 5, unha, verniz, verniz para as unhas, verniz para as unhas: tipo de pele 5
💅🏿	cosméticos, manicura, tipo de pele 6, unha, verniz, verniz para as unhas, verniz para as unhas: tipo de pele 6
🤳	câmara, selfie, telemóvel
🤳🏻	câmara, selfie, selfie: tipo de pele 1–2, telemóvel, tipo de pele 1–2
🤳🏼	câmara, selfie, selfie: tipo de pele 3, telemóvel, tipo de pele 3
🤳🏽	câmara, selfie, selfie: tipo de pele 4, telemóvel, tipo de pele 4
🤳🏾	câmara, selfie, selfie: tipo de pele 5, telemóvel, tipo de pele 5
🤳🏿	câmara, selfie, selfie: tipo de pele 6, telemóvel, tipo de pele 6
💪	bíceps, bíceps fletido, corpo, culturismo, desenho, flexão, forte, músculo
💪🏻	bíceps, bíceps fletido, bíceps fletido: tipo de pele 1–2, corpo, culturismo, desenho, flexão, forte, músculo, tipo de pele 1–2
💪🏼	bíceps, bíceps fletido, bíceps fletido: tipo de pele 3, corpo, culturismo, desenho, flexão, forte, músculo, tipo de pele 3
💪🏽	bíceps, bíceps fletido, bíceps fletido: tipo de pele 4, corpo, culturismo, desenho, flexão, forte, músculo, tipo de pele 4
💪🏾	bíceps, bíceps fletido, bíceps fletido: tipo de pele 5, corpo, culturismo, desenho, flexão, forte, músculo, tipo de pele 5
💪🏿	bíceps, bíceps fletido, bíceps fletido: tipo de pele 6, corpo, culturismo, desenho, flexão, forte, músculo, tipo de pele 6
🦵	extremidade, membro, perna, perna dobrada, pontapé, pé
🦵🏻	extremidade, membro, perna, perna dobrada, perna: tipo de pele 1–2, pontapé, pé, tipo de pele 1–2
🦵🏼	extremidade, membro, perna, perna dobrada, perna: tipo de pele 3, pontapé, pé, tipo de pele 3
🦵🏽	extremidade, membro, perna, perna dobrada, perna: tipo de pele 4, pontapé, pé, tipo de pele 4
🦵🏾	extremidade, membro, perna, perna dobrada, perna: tipo de pele 5, pontapé, pé, tipo de pele 5
🦵🏿	extremidade, membro, perna, perna dobrada, perna: tipo de pele 6, pontapé, pé, tipo de pele 6
🦶	bater com o pé, pisar, pontapé, pé, tornozelo
🦶🏻	bater com o pé, pisar, pontapé, pé, pé: tipo de pele 1–2, tipo de pele 1–2, tornozelo
🦶🏼	bater com o pé, pisar, pontapé, pé, pé: tipo de pele 3, tipo de pele 3, tornozelo
🦶🏽	bater com o pé, pisar, pontapé, pé, pé: tipo de pele 4, tipo de pele 4, tornozelo
🦶🏾	bater com o pé, pisar, pontapé, pé, pé: tipo de pele 5, tipo de pele 5, tornozelo
🦶🏿	bater com o pé, pisar, pontapé, pé, pé: tipo de pele 6, tipo de pele 6, tornozelo
👂️	audição, corpo, orelha, ouvir, som
👂🏻	audição, corpo, orelha, orelha: tipo de pele 1–2, ouvir, som, tipo de pele 1–2
👂🏼	audição, corpo, orelha, orelha: tipo de pele 3, ouvir, som, tipo de pele 3
👂🏽	audição, corpo, orelha, orelha: tipo de pele 4, ouvir, som, tipo de pele 4
👂🏾	audição, corpo, orelha, orelha: tipo de pele 5, ouvir, som, tipo de pele 5
👂🏿	audição, corpo, orelha, orelha: tipo de pele 6, ouvir, som, tipo de pele 6
🦻	acessibilidade, deficiência auditiva, orelha com aparelho auditivo, ouvido com aparelho auditivo
🦻🏻	acessibilidade, deficiência auditiva, orelha com aparelho auditivo, ouvido com aparelho auditivo, ouvido com aparelho auditivo: tipo de pele 1–2, tipo de pele 1–2
🦻🏼	acessibilidade, deficiência auditiva, orelha com aparelho auditivo, ouvido com aparelho auditivo, ouvido com aparelho auditivo: tipo de pele 3, tipo de pele 3
🦻🏽	acessibilidade, deficiência auditiva, orelha com aparelho auditivo, ouvido com aparelho auditivo, ouvido com aparelho auditivo: tipo de pele 4, tipo de pele 4
🦻🏾	acessibilidade, deficiência auditiva, orelha com aparelho auditivo, ouvido com aparelho auditivo, ouvido com aparelho auditivo: tipo de pele 5, tipo de pele 5
🦻🏿	acessibilidade, deficiência auditiva, orelha com aparelho auditivo, ouvido com aparelho auditivo, ouvido com aparelho auditivo: tipo de pele 6, tipo de pele 6
👃	cara, cheirar, corpo, narina, nariz
👃🏻	cara, cheirar, corpo, narina, nariz, nariz: tipo de pele 1–2, tipo de pele 1–2
👃🏼	cara, cheirar, corpo, narina, nariz, nariz: tipo de pele 3, tipo de pele 3
👃🏽	cara, cheirar, corpo, narina, nariz, nariz: tipo de pele 4, tipo de pele 4
👃🏾	cara, cheirar, corpo, narina, nariz, nariz: tipo de pele 5, tipo de pele 5
👃🏿	cara, cheirar, corpo, narina, nariz, nariz: tipo de pele 6, tipo de pele 6
🧠	cérebro, inteligente
🫀	cardiologia, coração humano, órgão
🫁	pulmões, respiração, órgão
🦴	cão, esqueleto, osso
👀	cara, corpo, espreitar, olhar, olhos
👁️	corpo, olho, parte do corpo, um olho
👅	corpo, lamber, língua, língua de fora
👄	batom, beijo, boca, corpo, lábios
🫦	ansioso, bâton, desconfortável, flartar, flertar, flirt, medo, morder o lábio, namoriscar, nervoso, preocupado, sexy
👶	bebé, criança, gravidez, jovem, pessoa, recém-nascido
👶🏻	bebé, bebé: tipo de pele 1–2, criança, gravidez, jovem, pessoa, recém-nascido, tipo de pele 1–2
👶🏼	bebé, bebé: tipo de pele 3, criança, gravidez, jovem, pessoa, recém-nascido, tipo de pele 3
👶🏽	bebé, bebé: tipo de pele 4, criança, gravidez, jovem, pessoa, recém-nascido, tipo de pele 4
👶🏾	bebé, bebé: tipo de pele 5, criança, gravidez, jovem, pessoa, recém-nascido, tipo de pele 5
👶🏿	bebé, bebé: tipo de pele 6, criança, gravidez, jovem, pessoa, recém-nascido, tipo de pele 6
🧒	criança, género neutro, jovem, novo, pessoa
🧒🏻	criança, criança: tipo de pele 1–2, género neutro, jovem, novo, pessoa, tipo de pele 1–2
🧒🏼	criança, criança: tipo de pele 3, género neutro, jovem, novo, pessoa, tipo de pele 3
🧒🏽	criança, criança: tipo de pele 4, género neutro, jovem, novo, pessoa, tipo de pele 4
🧒🏾	criança, criança: tipo de pele 5, género neutro, jovem, novo, pessoa, tipo de pele 5
🧒🏿	criança, criança: tipo de pele 6, género neutro, jovem, novo, pessoa, tipo de pele 6
👦	criança, jovem, menino, pessoa, rapaz
👦🏻	criança, jovem, menino, pessoa, rapaz, rapaz: tipo de pele 1–2, tipo de pele 1–2
👦🏼	criança, jovem, menino, pessoa, rapaz, rapaz: tipo de pele 3, tipo de pele 3
👦🏽	criança, jovem, menino, pessoa, rapaz, rapaz: tipo de pele 4, tipo de pele 4
👦🏾	criança, jovem, menino, pessoa, rapaz, rapaz: tipo de pele 5, tipo de pele 5
👦🏿	criança, jovem, menino, pessoa, rapaz, rapaz: tipo de pele 6, tipo de pele 6
👧	franja, jovem, menina, pessoa, rapariga, totós
👧🏻	franja, jovem, menina, pessoa, rapariga, rapariga: tipo de pele 1–2, tipo de pele 1–2, totós
👧🏼	franja, jovem, menina, pessoa, rapariga, rapariga: tipo de pele 3, tipo de pele 3, totós
👧🏽	franja, jovem, menina, pessoa, rapariga, rapariga: tipo de pele 4, tipo de pele 4, totós
👧🏾	franja, jovem, menina, pessoa, rapariga, rapariga: tipo de pele 5, tipo de pele 5, totós
👧🏿	franja, jovem, menina, pessoa, rapariga, rapariga: tipo de pele 6, tipo de pele 6, totós
🧑	adulta, adulto, género neutro, pessoa
🧑🏻	adulta, adulto, género neutro, pessoa, pessoa: tipo de pele 1–2, tipo de pele 1–2
🧑🏼	adulta, adulto, género neutro, pessoa, pessoa: tipo de pele 3, tipo de pele 3
🧑🏽	adulta, adulto, género neutro, pessoa, pessoa: tipo de pele 4, tipo de pele 4
🧑🏾	adulta, adulto, género neutro, pessoa, pessoa: tipo de pele 5, tipo de pele 5
🧑🏿	adulta, adulto, género neutro, pessoa, pessoa: tipo de pele 6, tipo de pele 6
👱	cara, loira, loiro, loura, louro, pessoa com cabelo loiro, pessoa com cabelo louro, pessoa loura, pessoa: cabelo louro
👱🏻	cabelo louro, cara, loira, loiro, loura, louro, pessoa com cabelo loiro, pessoa com cabelo louro, pessoa loura, pessoa: cabelo louro, pessoa: tipo de pele 1–2 e cabelo louro, tipo de pele 1–2
👱🏼	cabelo louro, cara, loira, loiro, loura, louro, pessoa com cabelo loiro, pessoa com cabelo louro, pessoa loura, pessoa: cabelo louro, pessoa: tipo de pele 3 e cabelo louro, tipo de pele 3
👱🏽	cabelo louro, cara, loira, loiro, loura, louro, pessoa com cabelo loiro, pessoa com cabelo louro, pessoa loura, pessoa: cabelo louro, pessoa: tipo de pele 4 e cabelo louro, tipo de pele 4
👱🏾	cabelo louro, cara, loira, loiro, loura, louro, pessoa com cabelo loiro, pessoa com cabelo louro, pessoa loura, pessoa: cabelo louro, pessoa: tipo de pele 5 e cabelo louro, tipo de pele 5
👱🏿	cabelo louro, cara, loira, loiro, loura, louro, pessoa com cabelo loiro, pessoa com cabelo louro, pessoa loura, pessoa: cabelo louro, pessoa: tipo de pele 6 e cabelo louro, tipo de pele 6
🧑🏻‍❤‍💋‍🧑🏼	amor, aniversário, beijo, beijo: pessoa, pessoa, tipo de pele 1–2 e tipo de pele 3, casal, pessoa, romance, tipo de pele 1–2, tipo de pele 3
🧑🏻‍❤‍💋‍🧑🏽	amor, aniversário, beijo, beijo: pessoa, pessoa, tipo de pele 1–2 e tipo de pele 4, casal, pessoa, romance, tipo de pele 1–2, tipo de pele 4
🧑🏻‍❤‍💋‍🧑🏾	amor, aniversário, beijo, beijo: pessoa, pessoa, tipo de pele 1–2 e tipo de pele 5, casal, pessoa, romance, tipo de pele 1–2, tipo de pele 5
🧑🏻‍❤‍💋‍🧑🏿	amor, aniversário, beijo, beijo: pessoa, pessoa, tipo de pele 1–2 e tipo de pele 6, casal, pessoa, romance, tipo de pele 1–2, tipo de pele 6
🧑🏼‍❤‍💋‍🧑🏻	amor, aniversário, beijo, beijo: pessoa, pessoa, tipo de pele 3 e tipo de pele 1–2, casal, pessoa, romance, tipo de pele 1–2, tipo de pele 3
🧑🏼‍❤‍💋‍🧑🏽	amor, aniversário, beijo, beijo: pessoa, pessoa, tipo de pele 3 e tipo de pele 4, casal, pessoa, romance, tipo de pele 3, tipo de pele 4
🧑🏼‍❤‍💋‍🧑🏾	amor, aniversário, beijo, beijo: pessoa, pessoa, tipo de pele 3 e tipo de pele 5, casal, pessoa, romance, tipo de pele 3, tipo de pele 5
🧑🏼‍❤‍💋‍🧑🏿	amor, aniversário, beijo, beijo: pessoa, pessoa, tipo de pele 3 e tipo de pele 6, casal, pessoa, romance, tipo de pele 3, tipo de pele 6
🧑🏽‍❤‍💋‍🧑🏻	amor, aniversário, beijo, beijo: pessoa, pessoa, tipo de pele 4 e tipo de pele 1–2, casal, pessoa, romance, tipo de pele 1–2, tipo de pele 4
🧑🏽‍❤‍💋‍🧑🏼	amor, aniversário, beijo, beijo: pessoa, pessoa, tipo de pele 4 e tipo de pele 3, casal, pessoa, romance, tipo de pele 3, tipo de pele 4
🧑🏽‍❤‍💋‍🧑🏾	amor, aniversário, beijo, beijo: pessoa, pessoa, tipo de pele 4 e tipo de pele 5, casal, pessoa, romance, tipo de pele 4, tipo de pele 5
🧑🏽‍❤‍💋‍🧑🏿	amor, aniversário, beijo, beijo: pessoa, pessoa, tipo de pele 4 e tipo de pele 6, casal, pessoa, romance, tipo de pele 4, tipo de pele 6
🧑🏾‍❤‍💋‍🧑🏻	amor, aniversário, beijo, beijo: pessoa, pessoa, tipo de pele 5 e tipo de pele 1–2, casal, pessoa, romance, tipo de pele 1–2, tipo de pele 5
🧑🏾‍❤‍💋‍🧑🏼	amor, aniversário, beijo, beijo: pessoa, pessoa, tipo de pele 5 e tipo de pele 3, casal, pessoa, romance, tipo de pele 3, tipo de pele 5
🧑🏾‍❤‍💋‍🧑🏽	amor, aniversário, beijo, beijo: pessoa, pessoa, tipo de pele 5 e tipo de pele 4, casal, pessoa, romance, tipo de pele 4, tipo de pele 5
🧑🏾‍❤‍💋‍🧑🏿	amor, aniversário, beijo, beijo: pessoa, pessoa, tipo de pele 5 e tipo de pele 6, casal, pessoa, romance, tipo de pele 5, tipo de pele 6
🧑🏿‍❤‍💋‍🧑🏻	amor, aniversário, beijo, beijo: pessoa, pessoa, tipo de pele 6 e tipo de pele 1–2, casal, pessoa, romance, tipo de pele 1–2, tipo de pele 6
🧑🏿‍❤‍💋‍🧑🏼	amor, aniversário, beijo, beijo: pessoa, pessoa, tipo de pele 6 e tipo de pele 3, casal, pessoa, romance, tipo de pele 3, tipo de pele 6
🧑🏿‍❤‍💋‍🧑🏽	amor, aniversário, beijo, beijo: pessoa, pessoa, tipo de pele 6 e tipo de pele 4, casal, pessoa, romance, tipo de pele 4, tipo de pele 6
🧑🏿‍❤‍💋‍🧑🏾	amor, aniversário, beijo, beijo: pessoa, pessoa, tipo de pele 6 e tipo de pele 5, casal, pessoa, romance, tipo de pele 5, tipo de pele 6
🧑🏻‍❤‍🧑🏼	amor, casal, casal com coração, casal com coração: pessoa, pessoa, tipo de pele 1–2 e tipo de pele 3, casal com um coração, coração, pessoa, romance, tipo de pele 1–2, tipo de pele 3
🧑🏻‍❤‍🧑🏽	amor, casal, casal com coração, casal com coração: pessoa, pessoa, tipo de pele 1–2 e tipo de pele 4, casal com um coração, coração, pessoa, romance, tipo de pele 1–2, tipo de pele 4
🧑🏻‍❤‍🧑🏾	amor, casal, casal com coração, casal com coração: pessoa, pessoa, tipo de pele 1–2 e tipo de pele 5, casal com um coração, coração, pessoa, romance, tipo de pele 1–2, tipo de pele 5
🧑🏻‍❤‍🧑🏿	amor, casal, casal com coração, casal com coração: pessoa, pessoa, tipo de pele 1–2 e tipo de pele 6, casal com um coração, coração, pessoa, romance, tipo de pele 1–2, tipo de pele 6
🧑🏼‍❤‍🧑🏻	amor, casal, casal com coração, casal com coração: pessoa, pessoa, tipo de pele 3 e tipo de pele 1–2, casal com um coração, coração, pessoa, romance, tipo de pele 1–2, tipo de pele 3
🧑🏼‍❤‍🧑🏽	amor, casal, casal com coração, casal com coração: pessoa, pessoa, tipo de pele 3 e tipo de pele 4, casal com um coração, coração, pessoa, romance, tipo de pele 3, tipo de pele 4
🧑🏼‍❤‍🧑🏾	amor, casal, casal com coração, casal com coração: pessoa, pessoa, tipo de pele 3 e tipo de pele 5, casal com um coração, coração, pessoa, romance, tipo de pele 3, tipo de pele 5
🧑🏼‍❤‍🧑🏿	amor, casal, casal com coração, casal com coração: pessoa, pessoa, tipo de pele 3 e tipo de pele 6, casal com um coração, coração, pessoa, romance, tipo de pele 3, tipo de pele 6
🧑🏽‍❤‍🧑🏻	amor, casal, casal com coração, casal com coração: pessoa, pessoa, tipo de pele 4 e tipo de pele 1–2, casal com um coração, coração, pessoa, romance, tipo de pele 1–2, tipo de pele 4
🧑🏽‍❤‍🧑🏼	amor, casal, casal com coração, casal com coração: pessoa, pessoa, tipo de pele 4 e tipo de pele 3, casal com um coração, coração, pessoa, romance, tipo de pele 3, tipo de pele 4
🧑🏽‍❤‍🧑🏾	amor, casal, casal com coração, casal com coração: pessoa, pessoa, tipo de pele 4 e tipo de pele 5, casal com um coração, coração, pessoa, romance, tipo de pele 4, tipo de pele 5
🧑🏽‍❤‍🧑🏿	amor, casal, casal com coração, casal com coração: pessoa, pessoa, tipo de pele 4 e tipo de pele 6, casal com um coração, coração, pessoa, romance, tipo de pele 4, tipo de pele 6
